bid,source,metric,stage3_v0_metric_v0_status,stage3_v0_metric_v1_status,stage3_v1_metric_v1_status,stage3_v0_metric_v0,stage3_v0_metric_v1,stage3_v1_metric_v1,effect_value,interpretation
B1,E3_Baseline_primitive,semantic_face_acc,OK,OK,OK,0.8948333333333334,0.9151666666666667,0.9151666666666667,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,support_coverage,OK,OK,OK,0.43933333333333335,0.4406666666666667,0.4406666666666667,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,F,OK,OK,OK,0.7694956320843259,0.7696744227994229,0.7696744227994229,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,precision,OK,OK,OK,0.7713333333333333,0.7858333333333334,0.7858333333333334,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,recall,OK,OK,OK,0.7676666666666667,0.7541666666666667,0.7541666666666667,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,h_err,OK,OK,OK,0.5973087174153449,0.5973087174153449,0.5973087174153449,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,vol_ratio,OK,OK,OK,0.7117182528525458,0.7117090636972382,0.7117090636972382,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,hausdorff,OK,OK,OK,3.7751048661097872,3.8747860827303597,3.8747860827303597,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,chamfer,OK,OK,OK,0.386203223027598,0.39248916191735084,0.39248916191735084,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,footprint_IoU,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,edge_ok,OK,OK,OK,1,1,1,0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,open_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,nonmanifold_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B1,E3_Baseline_primitive,n_faces,OK,OK,OK,11.0,11.0,11.0,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,roof_cov,OK,OK,OK,0.4776666666666667,0.485,0.485,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,wall_cov,OK,OK,OK,0.8913333333333333,0.8866666666666667,0.8866666666666667,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,ground_cov,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,semantic_face_acc,OK,OK,OK,0.9083333333333333,0.9278333333333333,0.9278333333333333,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,support_coverage,OK,OK,OK,0.4726666666666666,0.4713333333333334,0.4713333333333334,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,F,OK,OK,OK,0.7890801562995036,0.7890601900739177,0.7890601900739177,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,precision,OK,OK,OK,0.7875,0.7983333333333333,0.7983333333333333,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,recall,OK,OK,OK,0.7906666666666666,0.78,0.78,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,h_err,OK,OK,OK,0.5632176605880943,0.5632176605880943,0.5632176605880943,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,vol_ratio,OK,OK,OK,0.9503017829414001,0.9502958997595523,0.9502958997595523,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,hausdorff,OK,OK,OK,3.481679251061597,3.5614360466663486,3.5614360466663486,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,chamfer,OK,OK,OK,0.36086485959664527,0.3678816134609635,0.3678816134609635,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,footprint_IoU,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,edge_ok,OK,OK,OK,1,1,1,0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,open_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,nonmanifold_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B1,E4_Mutual_primitive,n_faces,OK,OK,OK,11.0,11.0,11.0,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,roof_cov,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,wall_cov,OK,OK,OK,0.9876666666666667,0.984,0.984,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,ground_cov,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,semantic_face_acc,OK,OK,OK,0.9708333333333333,0.9835,0.9835,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,support_coverage,OK,OK,OK,0.8466666666666667,0.8476666666666667,0.8476666666666667,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,F,OK,OK,OK,0.9994166597181691,0.9989161035566309,0.9989161035566309,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,precision,OK,OK,OK,0.9993333333333333,0.9981666666666666,0.9981666666666666,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,recall,OK,OK,OK,0.9995,0.9996666666666667,0.9996666666666667,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,h_err,OK,OK,OK,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,vol_ratio,OK,OK,OK,2.012147367894347,2.012147367894346,2.012147367894346,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,hausdorff,OK,OK,OK,0.5589936959968972,0.6865941658982172,0.6865941658982172,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,chamfer,OK,OK,OK,0.16568023262714543,0.1659385091913499,0.1659385091913499,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,footprint_IoU,OK,OK,OK,1.0,1.0,1.0,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,edge_ok,OK,OK,OK,1,1,1,0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,open_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,nonmanifold_edges,OK,OK,OK,0.0,0.0,0.0,0.0,NO_NUMERIC_CHANGE
B2,E0_GT_clean_upper_bound,n_faces,OK,OK,OK,11.0,11.0,11.0,0.0,NO_NUMERIC_CHANGE
B2,E1_Baseline_rendered,roof_cov,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,wall_cov,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,ground_cov,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,semantic_face_acc,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,support_coverage,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,F,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,precision,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,recall,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,h_err,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,vol_ratio,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,hausdorff,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,chamfer,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,footprint_IoU,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
B2,E1_Baseline_rendered,edge_ok,SOURCE_MISSING,SOURCE_MISSING,SOURCE_MISSING,,,,,NA
