phase,run_id,path,date,git_state,tracked_file_count,tracked_bytes,manifest_count,manifest_paths,version_record_count,version_paths,report_or_index_count,report_or_index_paths,retracted_marker,superseded_marker,linked_document_count,proposed_storage_class,issues,run_root
P2,20260708_e5_c001_readout_ablation,phases/p2-gsjso/runs/e5_c001/20260708_e5_c001_readout_ablation,20260708,tracked_record_present,13,705731,1,phases/p2-gsjso/runs/e5_c001/20260708_e5_c001_readout_ablation/manifest.json,1,phases/p2-gsjso/runs/e5_c001/20260708_e5_c001_readout_ablation/versions.txt,0,,no,no,1,A+D/C,missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260708_e5_c001_render_audit,phases/p2-gsjso/runs/e5_c001/20260708_e5_c001_render_audit,20260708,tracked_record_present,7,125970,0,,1,phases/p2-gsjso/runs/e5_c001/20260708_e5_c001_render_audit/versions.txt,0,,no,no,1,A+D/C,missing_tracked_manifest;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260708_e5_c001_s1_cause_audit,phases/p2-gsjso/runs/e5_c001/20260708_e5_c001_s1_cause_audit,20260708,tracked_record_present,9,37255,0,,1,phases/p2-gsjso/runs/e5_c001/20260708_e5_c001_s1_cause_audit/versions.txt,0,,no,no,2,A+D/C,missing_tracked_manifest;missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260709_e5_c001_corrected_s1,phases/p2-gsjso/runs/e5_c001/20260709_e5_c001_corrected_s1,20260709,tracked_record_present,18,139789,1,phases/p2-gsjso/runs/e5_c001/20260709_e5_c001_corrected_s1/manifest.json,1,phases/p2-gsjso/runs/e5_c001/20260709_e5_c001_corrected_s1/versions.txt,0,,no,no,2,A+D/C,missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260709_e5_c001_corrected_s1_recheck,phases/p2-gsjso/runs/e5_c001/20260709_e5_c001_corrected_s1_recheck,20260709,tracked_record_present,29,6382713,1,phases/p2-gsjso/runs/e5_c001/20260709_e5_c001_corrected_s1_recheck/manifest.json,2,phases/p2-gsjso/runs/e5_c001/20260709_e5_c001_corrected_s1_recheck/snapshots/versions.txt;phases/p2-gsjso/runs/e5_c001/20260709_e5_c001_corrected_s1_recheck/versions.txt,0,,no,no,3,A+D/C,missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260709_e5_c001_s1_full_factor,phases/p2-gsjso/runs/e5_c001/20260709_e5_c001_s1_full_factor,20260709,tracked_record_present,15,73826,1,phases/p2-gsjso/runs/e5_c001/20260709_e5_c001_s1_full_factor/manifest.json,1,phases/p2-gsjso/runs/e5_c001/20260709_e5_c001_s1_full_factor/versions.txt,0,,no,no,1,A+D/C,missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260710_e5_c001_s2_direction_position,phases/p2-gsjso/runs/e5_c001/20260710_e5_c001_s2_direction_position,20260710,tracked_record_present,17,105860,1,phases/p2-gsjso/runs/e5_c001/20260710_e5_c001_s2_direction_position/manifest.json,1,phases/p2-gsjso/runs/e5_c001/20260710_e5_c001_s2_direction_position/versions.txt,0,,no,no,1,A+D/C,missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260710_e5_c001_s2p_interaction,phases/p2-gsjso/runs/e5_c001/20260710_e5_c001_s2p_interaction,20260710,tracked_record_present,17,59642,1,phases/p2-gsjso/runs/e5_c001/20260710_e5_c001_s2p_interaction/manifest.json,1,phases/p2-gsjso/runs/e5_c001/20260710_e5_c001_s2p_interaction/versions.txt,0,,no,no,3,A+D/C,missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260713_e5_c001_s3_semantic_guided,phases/p2-gsjso/runs/e5_c001/20260713_e5_c001_s3_semantic_guided,20260713,tracked_record_present,30,133035,2,phases/p2-gsjso/runs/e5_c001/20260713_e5_c001_s3_semantic_guided/config_gate_manifest.json;phases/p2-gsjso/runs/e5_c001/20260713_e5_c001_s3_semantic_guided/manifest.json,1,phases/p2-gsjso/runs/e5_c001/20260713_e5_c001_s3_semantic_guided/versions.txt,0,,no,no,2,A+D/C,missing_tracked_report_or_index,phases/p2-gsjso/runs
P2,20260713_e5_c001_s3_track0,phases/p2-gsjso/runs/e5_c001/20260713_e5_c001_s3_track0,20260713,tracked_record_present,10,293151,3,phases/p2-gsjso/runs/e5_c001/20260713_e5_c001_s3_track0/semantic_region_manifest.json;phases/p2-gsjso/runs/e5_c001/20260713_e5_c001_s3_track0/smoke_c00118_run/semantic_region_manifest.json;phases/p2-gsjso/runs/e5_c001/20260713_e5_c001_s3_track0/t0_2_t0_3_manifest.json,0,,0,,no,no,3,A+D/C,missing_tracked_versions;missing_tracked_report_or_index,phases/p2-gsjso/runs
