building_id,subset,variant,hypothesis,als_baseline_status,als_baseline_reason,dim_baseline_status,dim_baseline_reason,dim_baseline_bucket_v1,variant_status,variant_reason,variant_bucket_v1,variant_rf_pt_density,variant_rf_nodata_frac,variant_rf_rmse_lod22,variant_has_lod22,variant_val3dity_valid,baseline_pair_category,variant_pair_category
DEBY_LOD2_4906975,eval,wall_removed,H-wall,success,success,failure,val3dity_invalid,validity,failure,val3dity_invalid,validity,203.603043,0.000138,1.051790,True,False,ALS_only,ALS_only
DEBY_LOD2_4906975,eval,thinned,H-density,success,success,failure,val3dity_invalid,validity,failure,val3dity_invalid,validity,20.951536,0.000554,1.696709,True,False,ALS_only,ALS_only
DEBY_LOD2_4906976,dev,wall_removed,H-wall,success,success,success,success,success,success,success,success,385.470795,0.000000,1.390363,True,True,both_success,both_success
DEBY_LOD2_4906976,dev,thinned,H-density,success,success,success,success,success,success,success,success,20.781734,0.000912,3.302533,True,True,both_success,both_success
DEBY_LOD2_4906977,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,212.697449,0.000000,1.013293,True,True,both_success,both_success
DEBY_LOD2_4906977,eval,thinned,H-density,success,success,success,success,success,success,success,success,22.114098,0.000471,2.402054,True,True,both_success,both_success
DEBY_LOD2_4906980,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,119.108574,0.027778,0.986439,True,True,both_success,both_success
DEBY_LOD2_4906980,eval,thinned,H-density,success,success,success,success,success,success,success,success,34.971428,0.027778,2.578989,True,True,both_success,both_success
DEBY_LOD2_4906981,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,245.996475,0.000000,1.662423,True,True,both_success,both_success
DEBY_LOD2_4906981,eval,thinned,H-density,success,success,success,success,success,failure,val3dity_invalid,validity,19.587324,0.000000,3.767200,True,False,both_success,ALS_only
DEBY_LOD2_4906982,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,331.862823,0.000000,1.473061,True,True,both_success,both_success
DEBY_LOD2_4906982,eval,thinned,H-density,success,success,success,success,success,success,success,success,13.590178,0.000181,3.751443,True,True,both_success,both_success
DEBY_LOD2_4906983,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,136.007507,0.000000,0.314233,True,True,both_success,both_success
DEBY_LOD2_4906983,eval,thinned,H-density,success,success,success,success,success,success,success,success,10.060671,0.001608,1.085824,True,True,both_success,both_success
DEBY_LOD2_4906984,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,73.472618,0.000000,11.096543,True,True,both_success,both_success
DEBY_LOD2_4906984,eval,thinned,H-density,success,success,success,success,success,success,success,success,12.195122,0.002028,10.786975,True,True,both_success,both_success
DEBY_LOD2_4906985,eval,wall_removed,H-wall,success,success,failure,val3dity_invalid,validity,failure,val3dity_invalid,validity,150.056519,0.000000,0.923689,True,False,ALS_only,ALS_only
DEBY_LOD2_4906985,eval,thinned,H-density,success,success,failure,val3dity_invalid,validity,success,success,success,15.837807,0.000285,3.351450,True,True,ALS_only,both_success
DEBY_LOD2_4906986,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,118.521187,0.000000,0.756631,True,True,both_success,both_success
DEBY_LOD2_4906986,eval,thinned,H-density,success,success,success,success,success,success,success,success,11.396387,0.003178,2.782297,True,True,both_success,both_success
DEBY_LOD2_4906987,dev,wall_removed,H-wall,success,success,success,success,success,success,success,success,134.368927,0.000000,0.650003,True,True,both_success,both_success
DEBY_LOD2_4906987,dev,thinned,H-density,success,success,success,success,success,success,success,success,9.463627,0.006472,2.093201,True,True,both_success,both_success
DEBY_LOD2_4906988,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,68.675728,0.017176,0.490748,True,True,both_success,both_success
DEBY_LOD2_4906988,eval,thinned,H-density,success,success,success,success,success,success,success,success,9.382524,0.017176,0.929187,True,True,both_success,both_success
DEBY_LOD2_4906991,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,58.085712,0.167905,0.198848,True,True,both_success,both_success
DEBY_LOD2_4906991,eval,thinned,H-density,success,success,success,success,success,success,success,success,8.439640,0.175334,0.225444,True,True,both_success,both_success
DEBY_LOD2_4907018,eval,wall_removed,H-wall,success,success,success,success,success,failure,val3dity_invalid,validity,78.293762,0.034951,0.252895,True,False,both_success,ALS_only
DEBY_LOD2_4907018,eval,thinned,H-density,success,success,success,success,success,success,success,success,9.993921,0.041748,0.268721,True,True,both_success,both_success
DEBY_LOD2_4907020,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,57.796902,0.120363,0.519495,True,True,both_success,both_success
DEBY_LOD2_4907020,eval,thinned,H-density,success,success,success,success,success,success,success,success,10.950761,0.154428,2.097584,True,True,both_success,both_success
DEBY_LOD2_4907023,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,98.547485,0.016484,0.345309,True,True,both_success,both_success
DEBY_LOD2_4907023,eval,thinned,H-density,success,success,success,success,success,success,success,success,10.880450,0.023352,0.908066,True,True,both_success,both_success
DEBY_LOD2_4907024,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,69.924049,0.042424,0.284168,True,True,both_success,both_success
DEBY_LOD2_4907024,eval,thinned,H-density,success,success,success,success,success,success,success,success,10.278388,0.054545,1.100090,True,True,both_success,both_success
DEBY_LOD2_4907025,eval,wall_removed,H-wall,success,success,failure,val3dity_invalid,validity,success,success,success,159.365875,0.029286,1.119600,True,True,ALS_only,both_success
DEBY_LOD2_4907025,eval,thinned,H-density,success,success,failure,val3dity_invalid,validity,success,success,success,14.614959,0.038871,3.187881,True,True,ALS_only,both_success
DEBY_LOD2_4907173,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,310.503326,0.000000,0.448837,True,True,both_success,both_success
DEBY_LOD2_4907173,eval,thinned,H-density,success,success,success,success,success,success,success,success,12.697150,0.000662,2.123598,True,True,both_success,both_success
DEBY_LOD2_4907178,eval,wall_removed,H-wall,failure,val3dity_invalid,success,success,success,failure,val3dity_invalid,validity,486.770874,0.023286,0.594087,True,False,DIM_only,both_fail
DEBY_LOD2_4907178,eval,thinned,H-density,failure,val3dity_invalid,success,success,success,success,success,success,15.658667,0.029754,1.276622,True,True,DIM_only,DIM_only
DEBY_LOD2_4907179,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,212.714279,0.035994,0.320649,True,True,both_success,both_success
DEBY_LOD2_4907179,eval,thinned,H-density,success,success,success,success,success,success,success,success,13.220564,0.056338,0.926204,True,True,both_success,both_success
DEBY_LOD2_4907180,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,339.311157,0.220998,0.947945,True,True,both_success,both_success
DEBY_LOD2_4907180,eval,thinned,H-density,success,success,success,success,success,failure,val3dity_invalid,validity,14.481140,0.226831,1.215077,True,False,both_success,ALS_only
DEBY_LOD2_4907182,dev,wall_removed,H-wall,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,50.358974,0.178947,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_4907182,dev,thinned,H-density,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,9.437908,0.194737,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_4907183,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,562.822876,0.020733,0.420908,True,True,both_success,both_success
DEBY_LOD2_4907183,eval,thinned,H-density,success,success,success,success,success,success,success,success,19.327635,0.029717,1.198825,True,True,both_success,both_success
DEBY_LOD2_4907184,eval,wall_removed,H-wall,failure,val3dity_invalid,success,success,success,success,success,success,523.066650,0.001479,0.981054,True,True,DIM_only,DIM_only
DEBY_LOD2_4907184,eval,thinned,H-density,failure,val3dity_invalid,success,success,success,failure,val3dity_invalid,validity,20.172108,0.002959,1.937638,True,False,DIM_only,both_fail
DEBY_LOD2_4907196,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,776.099670,0.063047,0.575810,True,True,both_success,both_success
DEBY_LOD2_4907196,eval,thinned,H-density,success,success,success,success,success,success,success,success,18.995638,0.063047,1.273679,True,True,both_success,both_success
DEBY_LOD2_4907201,eval,wall_removed,H-wall,success,success,success,success,success,failure,val3dity_invalid,validity,411.046600,0.017016,0.620730,True,False,both_success,ALS_only
DEBY_LOD2_4907201,eval,thinned,H-density,success,success,success,success,success,success,success,success,16.884718,0.023560,2.331493,True,True,both_success,both_success
DEBY_LOD2_4907204,dev,wall_removed,H-wall,success,success,success,success,success,success,success,success,384.606476,0.002225,0.983408,True,True,both_success,both_success
DEBY_LOD2_4907204,dev,thinned,H-density,success,success,success,success,success,success,success,success,20.388393,0.003337,2.027694,True,True,both_success,both_success
DEBY_LOD2_4907205,eval,wall_removed,H-wall,success,success,success,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,77.663040,0.121718,0.000000,False,True,both_success,ALS_only
DEBY_LOD2_4907205,eval,thinned,H-density,success,success,success,success,success,success,success,success,8.696133,0.136038,0.546647,True,True,both_success,both_success
DEBY_LOD2_4907206,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,525.420776,0.000000,0.922517,True,True,both_success,both_success
DEBY_LOD2_4907206,eval,thinned,H-density,success,success,success,success,success,success,success,success,11.043370,0.001238,1.905877,True,True,both_success,both_success
DEBY_LOD2_4907207,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,232.730728,0.271538,1.537696,True,True,both_success,both_success
DEBY_LOD2_4907207,eval,thinned,H-density,success,success,success,success,success,success,success,success,14.346609,0.285385,2.982680,True,True,both_success,both_success
DEBY_LOD2_4907506,eval,wall_removed,H-wall,failure,val3dity_invalid,success,success,success,success,success,success,286.373627,0.116505,0.879516,True,True,DIM_only,DIM_only
DEBY_LOD2_4907506,eval,thinned,H-density,failure,val3dity_invalid,success,success,success,success,success,success,20.297487,0.121801,2.325601,True,True,DIM_only,DIM_only
DEBY_LOD2_4907507,dev,wall_removed,H-wall,success,success,success,success,success,success,success,success,512.970032,0.001761,0.586230,True,True,both_success,both_success
DEBY_LOD2_4907507,dev,thinned,H-density,success,success,success,success,success,success,success,success,19.834215,0.001761,1.975276,True,True,both_success,both_success
DEBY_LOD2_4907509,dev,wall_removed,H-wall,success,success,success,success,success,success,success,success,64.667824,0.104570,0.473996,True,True,both_success,both_success
DEBY_LOD2_4907509,dev,thinned,H-density,success,success,success,success,success,success,success,success,14.042328,0.121611,1.634481,True,True,both_success,both_success
DEBY_LOD2_4907510,eval,wall_removed,H-wall,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,success,success,success,42.160000,0.164927,4.454366,True,True,ALS_only,both_success
DEBY_LOD2_4907510,eval,thinned,H-density,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,success,success,success,13.089974,0.187891,6.273996,True,True,ALS_only,both_success
DEBY_LOD2_4907514,eval,wall_removed,H-wall,failure,val3dity_invalid,success,success,success,success,success,success,546.799988,0.000000,0.612049,True,True,DIM_only,DIM_only
DEBY_LOD2_4907514,eval,thinned,H-density,failure,val3dity_invalid,success,success,success,success,success,success,19.165972,0.000833,2.517683,True,True,DIM_only,DIM_only
DEBY_LOD2_4907515,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,464.527008,0.000000,1.062746,True,True,both_success,both_success
DEBY_LOD2_4907515,eval,thinned,H-density,success,success,success,success,success,success,success,success,19.436989,0.000000,2.777759,True,True,both_success,both_success
DEBY_LOD2_4907516,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,524.666687,0.000000,0.868695,True,True,both_success,both_success
DEBY_LOD2_4907516,eval,thinned,H-density,success,success,success,success,success,success,success,success,19.366058,0.001401,2.118053,True,True,both_success,both_success
DEBY_LOD2_4907517,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,541.401001,0.000000,1.032813,True,True,both_success,both_success
DEBY_LOD2_4907517,eval,thinned,H-density,success,success,success,success,success,success,success,success,20.873096,0.000000,1.735958,True,True,both_success,both_success
DEBY_LOD2_4907518,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,448.736328,0.000000,1.445218,True,True,both_success,both_success
DEBY_LOD2_4907518,eval,thinned,H-density,success,success,success,success,success,success,success,success,19.797014,0.000000,3.725241,True,True,both_success,both_success
DEBY_LOD2_4907519,eval,wall_removed,H-wall,success,success,failure,val3dity_invalid,validity,failure,val3dity_invalid,validity,114.776375,0.464508,1.624121,True,False,ALS_only,ALS_only
DEBY_LOD2_4907519,eval,thinned,H-density,success,success,failure,val3dity_invalid,validity,success,success,success,12.503014,0.468964,4.574786,True,True,ALS_only,both_success
DEBY_LOD2_4907520,eval,wall_removed,H-wall,success,success,failure,val3dity_invalid,validity,success,success,success,452.358154,0.000000,0.777070,True,True,ALS_only,both_success
DEBY_LOD2_4907520,eval,thinned,H-density,success,success,failure,val3dity_invalid,validity,success,success,success,15.995972,0.001006,2.825136,True,True,ALS_only,both_success
DEBY_LOD2_4907521,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,92.765045,0.000000,0.986486,True,True,both_success,both_success
DEBY_LOD2_4907521,eval,thinned,H-density,success,success,success,success,success,success,success,success,10.135537,0.002473,2.691302,True,True,both_success,both_success
DEBY_LOD2_4908023,dev,wall_removed,H-wall,success,success,success,success,success,success,success,success,613.303345,0.000000,0.546008,True,True,both_success,both_success
DEBY_LOD2_4908023,dev,thinned,H-density,success,success,success,success,success,success,success,success,19.820225,0.000000,1.191172,True,True,both_success,both_success
DEBY_LOD2_4908024,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,821.977539,0.000000,0.277368,True,True,both_success,both_success
DEBY_LOD2_4908024,eval,thinned,H-density,success,success,success,success,success,success,success,success,16.853933,0.000000,0.825026,True,True,both_success,both_success
DEBY_LOD2_4908025,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,735.724121,0.000000,0.170469,True,True,both_success,both_success
DEBY_LOD2_4908025,eval,thinned,H-density,success,success,success,success,success,success,success,success,15.356322,0.000000,0.582290,True,True,both_success,both_success
DEBY_LOD2_4908026,dev,wall_removed,H-wall,success,success,success,success,success,success,success,success,606.954529,0.000000,0.244056,True,True,both_success,both_success
DEBY_LOD2_4908026,dev,thinned,H-density,success,success,success,success,success,success,success,success,16.863636,0.000000,0.609904,True,True,both_success,both_success
DEBY_LOD2_4908027,dev,wall_removed,H-wall,success,success,success,success,success,success,success,success,586.023010,0.000000,0.164827,True,True,both_success,both_success
DEBY_LOD2_4908027,dev,thinned,H-density,success,success,success,success,success,success,success,success,16.965517,0.000000,0.567245,True,True,both_success,both_success
DEBY_LOD2_4908028,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,438.045441,0.000000,0.280021,True,True,both_success,both_success
DEBY_LOD2_4908028,eval,thinned,H-density,success,success,success,success,success,success,success,success,15.318182,0.000000,0.724451,True,True,both_success,both_success
DEBY_LOD2_4908050,eval,wall_removed,H-wall,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,37.527779,0.181818,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_4908050,eval,thinned,H-density,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,pointcloud_unusable_no_planes,coverage,8.655738,0.191288,,False,True,ALS_only,ALS_only
DEBY_LOD2_4908166,eval,wall_removed,H-wall,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,39.096775,0.211864,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_4908166,eval,thinned,H-density,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,8.602151,0.211864,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_4908176,eval,wall_removed,H-wall,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,36.551723,0.188811,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_4908176,eval,thinned,H-density,success,success,failure,missing_lod22_geometry,roof_matching_assembly_failure,failure,missing_lod22_geometry,roof_matching_assembly_failure,8.666667,0.202797,0.000000,False,True,ALS_only,ALS_only
DEBY_LOD2_4908352,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,45.740742,0.076923,0.150164,True,True,both_success,both_success
DEBY_LOD2_4908352,eval,thinned,H-density,success,success,success,success,success,success,success,success,7.805825,0.119658,0.195882,True,True,both_success,both_success
DEBY_LOD2_4908353,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,159.471695,0.000000,0.381788,True,True,both_success,both_success
DEBY_LOD2_4908353,eval,thinned,H-density,success,success,success,success,success,success,success,success,18.456261,0.000000,0.941945,True,True,both_success,both_success
DEBY_LOD2_4908354,eval,wall_removed,H-wall,success,success,failure,val3dity_invalid,validity,success,success,success,46.040817,0.147826,0.805523,True,True,ALS_only,both_success
DEBY_LOD2_4908354,eval,thinned,H-density,success,success,failure,val3dity_invalid,validity,success,success,success,16.799999,0.130435,1.137287,True,True,ALS_only,both_success
DEBY_LOD2_4959322,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,539.683472,0.000000,2.176673,True,True,both_success,both_success
DEBY_LOD2_4959322,eval,thinned,H-density,success,success,success,success,success,success,success,success,27.269943,0.000000,4.819562,True,True,both_success,both_success
DEBY_LOD2_4959323,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,286.891083,0.000000,2.009263,True,True,both_success,both_success
DEBY_LOD2_4959323,eval,thinned,H-density,success,success,success,success,success,success,success,success,24.842415,0.000736,4.666405,True,True,both_success,both_success
DEBY_LOD2_4959324,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,168.681824,0.005650,1.474646,True,True,both_success,both_success
DEBY_LOD2_4959324,eval,thinned,H-density,success,success,success,success,success,success,success,success,27.613636,0.005650,2.019391,True,True,both_success,both_success
DEBY_LOD2_4959325,dev,wall_removed,H-wall,success,success,success,success,success,failure,val3dity_invalid,validity,157.551712,0.000909,1.529963,True,False,both_success,ALS_only
DEBY_LOD2_4959325,dev,thinned,H-density,success,success,success,success,success,success,success,success,20.188278,0.002121,3.700388,True,True,both_success,both_success
DEBY_LOD2_4959326,eval,wall_removed,H-wall,success,success,failure,val3dity_invalid,validity,success,success,success,146.708740,0.000000,0.546671,True,True,ALS_only,both_success
DEBY_LOD2_4959326,eval,thinned,H-density,success,success,failure,val3dity_invalid,validity,success,success,success,14.499244,0.002469,1.472180,True,True,ALS_only,both_success
DEBY_LOD2_4959327,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,171.844757,0.000000,1.185911,True,True,both_success,both_success
DEBY_LOD2_4959327,eval,thinned,H-density,success,success,success,success,success,success,success,success,17.308468,0.000000,3.000187,True,True,both_success,both_success
DEBY_LOD2_4959336,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,104.689919,0.128900,0.257236,True,True,both_success,both_success
DEBY_LOD2_4959336,eval,thinned,H-density,success,success,success,success,success,success,success,success,11.512196,0.141626,0.256178,True,True,both_success,both_success
DEBY_LOD2_4959340,dev,wall_removed,H-wall,success,success,success,success,success,success,success,success,85.811172,0.022742,0.684842,True,True,both_success,both_success
DEBY_LOD2_4959340,dev,thinned,H-density,success,success,success,success,success,success,success,success,10.130492,0.024042,2.937967,True,True,both_success,both_success
DEBY_LOD2_4959457,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,217.094620,0.000000,2.697096,True,True,both_success,both_success
DEBY_LOD2_4959457,eval,thinned,H-density,success,success,success,success,success,success,success,success,19.895430,0.002735,4.816228,True,True,both_success,both_success
DEBY_LOD2_4959458,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,757.225769,0.000000,1.627657,True,True,both_success,both_success
DEBY_LOD2_4959458,eval,thinned,H-density,success,success,success,success,success,success,success,success,20.599001,0.000416,4.324410,True,True,both_success,both_success
DEBY_LOD2_4959459,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,358.955811,0.000000,2.319428,True,True,both_success,both_success
DEBY_LOD2_4959459,eval,thinned,H-density,success,success,success,success,success,failure,val3dity_invalid,validity,26.401606,0.000000,3.246056,True,False,both_success,ALS_only
DEBY_LOD2_4959460,eval,wall_removed,H-wall,success,success,success,success,success,failure,val3dity_invalid,validity,402.057983,0.000000,6.652171,True,False,both_success,ALS_only
DEBY_LOD2_4959460,eval,thinned,H-density,success,success,success,success,success,failure,val3dity_invalid,validity,15.676666,0.001596,3.575243,True,False,both_success,ALS_only
DEBY_LOD2_4959461,dev,wall_removed,H-wall,success,success,success,success,success,success,success,success,139.595764,0.009103,1.308820,True,True,both_success,both_success
DEBY_LOD2_4959461,dev,thinned,H-density,success,success,success,success,success,success,success,success,15.829288,0.011034,3.761974,True,True,both_success,both_success
DEBY_LOD2_4959463,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,109.508194,0.000000,1.031515,True,True,both_success,both_success
DEBY_LOD2_4959463,eval,thinned,H-density,success,success,success,success,success,success,success,success,16.049181,0.000000,1.742881,True,True,both_success,both_success
DEBY_LOD2_4959464,eval,wall_removed,H-wall,success,success,success,success,success,success,success,success,173.588104,0.000000,0.905075,True,True,both_success,both_success
