variant,arm,outcome,spec,n,status,cook_threshold,n_cook_gt_4_over_n,cook_gt_4_over_n_buildings
main,raw_acmp,assembled,observation_only,64,ok,0.062500,4,DEBY_LOD2_104586480;DEBY_LOD2_42364659;DEBY_LOD2_4906999;DEBY_LOD2_4908167
main,raw_acmp,assembled,attributes_plus_observation,26,ok,0.153846,8,DEBY_LOD2_104586480;DEBY_LOD2_4907169;DEBY_LOD2_4907175;DEBY_LOD2_4907181;DEBY_LOD2_4908046;DEBY_LOD2_4908169;DEBY_LOD2_4908176;DEBY_LOD2_8568392
main,raw_acmp,val3dity_valid,attributes_only,26,ok,0.153846,4,DEBY_LOD2_104586480;DEBY_LOD2_4907169;DEBY_LOD2_4908046;DEBY_LOD2_4908176
main,raw_acmp,val3dity_valid,observation_only,64,ok,0.062500,5,DEBY_LOD2_104586480;DEBY_LOD2_107802038;DEBY_LOD2_42364659;DEBY_LOD2_4906999;DEBY_LOD2_4908167
main,raw_acmp,val3dity_valid,attributes_plus_observation,26,ok,0.153846,7,DEBY_LOD2_104586480;DEBY_LOD2_4907033;DEBY_LOD2_4907169;DEBY_LOD2_4907181;DEBY_LOD2_4908046;DEBY_LOD2_4908169;DEBY_LOD2_8568392
main,raw_acmp,rf_rmse_lod22,attributes_only,23,ok,0.173913,5,DEBY_LOD2_108247350;DEBY_LOD2_42364659;DEBY_LOD2_4907016;DEBY_LOD2_4907175;DEBY_LOD2_8568392
main,raw_acmp,rf_rmse_lod22,observation_only,37,ok,0.108108,1,DEBY_LOD2_4908167
main,raw_acmp,rf_rmse_lod22,attributes_plus_observation,23,ok,0.173913,6,DEBY_LOD2_108247350;DEBY_LOD2_4907016;DEBY_LOD2_4907175;DEBY_LOD2_4908169;DEBY_LOD2_4959758;DEBY_LOD2_8568392
main,raw_acmp,rf_roof_planes,attributes_only,26,ok,0.153846,0,none
main,raw_acmp,rf_roof_planes,observation_only,64,ok,0.062500,5,DEBY_LOD2_104586480;DEBY_LOD2_42364659;DEBY_LOD2_4907168;DEBY_LOD2_4907169;DEBY_LOD2_4907508
main,raw_acmp,rf_roof_planes,attributes_plus_observation,26,ok,0.153846,2,DEBY_LOD2_104586480;DEBY_LOD2_4907175
robust_exclusion,raw_dense,assembled,attributes_only,141,ok,0.028369,11,DEBY_LOD2_42364659;DEBY_LOD2_4907165;DEBY_LOD2_4907169;DEBY_LOD2_4907176;DEBY_LOD2_4907198;DEBY_LOD2_4907508;DEBY_LOD2_4907510;DEBY_LOD2_4908163;DEBY_LOD2_4908165;DEBY_LOD2_4908178;DEBY_LOD2_4959465
robust_exclusion,raw_dense,assembled,observation_only,196,ok,0.020408,8,DEBY_LOD2_42364659;DEBY_LOD2_4907166;DEBY_LOD2_4907167;DEBY_LOD2_4907168;DEBY_LOD2_4907171;DEBY_LOD2_4907182;DEBY_LOD2_4908163;DEBY_LOD2_4959320
robust_exclusion,raw_dense,assembled,attributes_plus_observation,141,ok,0.028369,15,DEBY_LOD2_42364657;DEBY_LOD2_42364659;DEBY_LOD2_4907017;DEBY_LOD2_4907165;DEBY_LOD2_4907169;DEBY_LOD2_4907176;DEBY_LOD2_4907182;DEBY_LOD2_4907198;DEBY_LOD2_4907508;DEBY_LOD2_4907510;DEBY_LOD2_4908163;DEBY_LOD2_4908165;DEBY_LOD2_4908178;DEBY_LOD2_4959465;DEBY_LOD2_4959758
