variant,arm,outcome,outcome_kind,spec,fit_type,n,predictor,coef,se,ci_low,ci_high,status
main,raw_dense,rf_rmse_lod22,continuous,attributes_only,huber_rlm,131,label_proxy_frac_all,-0.038754,0.051041,-0.138795,0.061287,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_only,huber_rlm,121,pt_density_m2_reg,0.351723,0.080058,0.194809,0.508636,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_only,huber_rlm,121,coverage_frac_reg,-0.081234,0.081507,-0.240988,0.078519,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_only,huber_rlm,121,local_plane_rms_m,0.317942,0.077764,0.165525,0.470359,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_only,huber_rlm,121,floater_frac,0.010397,0.072933,-0.132551,0.153345,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,attributes_only,huber_rlm,121,label_proxy_frac_all,-0.152463,0.074779,-0.299030,-0.005896,ok
main,raw_dense,rf_rmse_lod22,continuous,observation_only,huber_rlm,131,median_incidence_deg,-0.003056,0.052597,-0.106146,0.100034,ok
main,raw_dense,rf_rmse_lod22,continuous,observation_only,huber_rlm,131,median_pair_angle_deg,0.103034,0.053876,-0.002562,0.208630,ok
main,raw_dense,rf_rmse_lod22,continuous,observation_only,huber_rlm,131,n_views_nadir,0.201638,0.077524,0.049690,0.353586,ok
main,raw_dense,rf_rmse_lod22,continuous,observation_only,huber_rlm,131,recon_score_median,-0.164580,0.078354,-0.318153,-0.011007,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,observation_only,huber_rlm,125,median_incidence_deg,-0.058689,0.083141,-0.221646,0.104267,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,observation_only,huber_rlm,125,median_pair_angle_deg,0.260642,0.085946,0.092188,0.429096,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,observation_only,huber_rlm,125,n_views_nadir,0.435532,0.121752,0.196898,0.674166,ok
main_cook_excluded,raw_dense,rf_rmse_lod22,continuous,observation_only,huber_rlm,125,recon_score_median,-0.361376,0.122234,-0.600954,-0.121798,ok
main,raw_dense,rf_rmse_lod22,continuous,attributes_plus_observation,huber_rlm,131,pt_density_m2_reg,0.299452,0.065103,0.171850,0.427054,ok
