arm,replicate,run_name,z_min,z_max,n_gaussians,fraction_of_all,opacity_p50,ckpt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,686.0000,688.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,688.0000,690.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,690.0000,692.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,692.0000,694.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,694.0000,696.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,696.0000,698.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,698.0000,700.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,520.0000,522.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,522.0000,524.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,524.0000,526.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,526.0000,528.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,528.0000,530.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,530.0000,532.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,532.0000,534.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,534.0000,536.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,536.0000,538.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,538.0000,540.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,540.0000,542.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,542.0000,544.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,544.0000,546.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,546.0000,548.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,548.0000,550.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,550.0000,552.0000,2,0.00000370,0.0039,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/ckpt/final.pt
