basename,archive_member,uncompressed_bytes,compressed_bytes,crc32_hex,sha256
DJI_20241217084457_0072_D.JPG,Images/DJI_20241217084457_0072_D.JPG,6479872,6427043,dc8d7759,24aa80e132ed7668f62b6bacedbc01eb4b77c6d4d634155a63b650a76ffbb6d7
DJI_20241217084459_0073_D.JPG,Images/DJI_20241217084459_0073_D.JPG,6770688,6717582,3dc63464,3a9e6775cac85aa05a0bc440c2b3901e87e846a5c813d792f8cb0c4546f98277
DJI_20241217084501_0074_D.JPG,Images/DJI_20241217084501_0074_D.JPG,7086080,7030932,b8dbe7ae,3b81f8418e092a2d675ad968ee6e7236333780d21dbdd01e8730b2425fb3f506
DJI_20241217084503_0075_D.JPG,Images/DJI_20241217084503_0075_D.JPG,7675904,7619918,35afba39,8a8b15f053349eec6068502adef8af4c54b61f6271d615636ab70e17724d65fd
DJI_20241217084505_0076_D.JPG,Images/DJI_20241217084505_0076_D.JPG,7761920,7701727,1d934738,a4a1f65324c93eb5af2c1ea3607ab9c09f9e2cf97c97a6406823241d41269a5a
DJI_20241217084507_0077_D.JPG,Images/DJI_20241217084507_0077_D.JPG,7827456,7767699,4393f9c2,c4da04da9ca5d27e445d7ba4b4eddb2e0cfd1989fd7d592fa4b7d7475e80dd00
DJI_20241217084509_0078_D.JPG,Images/DJI_20241217084509_0078_D.JPG,7954432,7894351,b1fde79c,ccb011717a8e253b60c5b23a99155e2d2c94e351aa23e2f8f7891a6a5ad0d6f8
DJI_20241217084511_0079_D.JPG,Images/DJI_20241217084511_0079_D.JPG,8200192,8138672,9a610268,646484db96c909aca26a8a3fb07671295eed87eedef48446fdc6dbdd3322e0bd
DJI_20241217084513_0080_D.JPG,Images/DJI_20241217084513_0080_D.JPG,7925760,7870266,109b262a,0e19f87f69030fc772bdad20524997be3f6e1e97d1edf4e71ccb2f8ae64ef612
DJI_20241217084515_0081_D.JPG,Images/DJI_20241217084515_0081_D.JPG,8273920,8216050,b6bdf6b9,f94009d2007ebeeb55828654f3a09f42b7418606b30196ce4ac3df79f236dd48
DJI_20241217084517_0082_D.JPG,Images/DJI_20241217084517_0082_D.JPG,8335360,8279590,9756cb8c,c166479ffcd189ff764d9b9170dcde16fdeeb5ad422abf4fc412c2d1c3432454
