building_id,in_full_199,in_control_93,in_failure_8,paired_category,coverage_control_population,dim_failure_bucket_v1,floor_area_m2,perimeter_m,exterior_vertex_count,part_count,height_m,height_source_files,height_coordinate_count
DEBY_LOD2_4907036,yes,no,no,ALS_only,no,coverage,187.848,55.409,8,1,22.950,690_5336.gml,49
DEBY_LOD2_4907156,yes,no,no,both_fail,no,aoi_edge_excluded,295.441,74.910,13,1,22.180,690_5336.gml,87
DEBY_LOD2_4907164,yes,no,no,both_fail,no,aoi_edge_excluded,322.770,77.098,13,1,20.390,690_5336.gml,87
DEBY_LOD2_4907165,yes,no,no,both_success,no,success,262.125,71.131,9,1,10.385,690_5336.gml,72
DEBY_LOD2_4907166,yes,no,no,both_fail,no,aoi_edge_excluded,160.195,50.657,9,1,20.670,690_5336.gml,62
DEBY_LOD2_4907167,yes,no,no,ALS_only,no,coverage,203.195,58.178,8,1,20.840,690_5336.gml,51
DEBY_LOD2_4907168,yes,no,no,ALS_only,no,coverage,207.379,58.768,9,1,20.850,690_5336.gml,56
DEBY_LOD2_4907169,yes,no,no,ALS_only,no,coverage,317.445,80.761,21,1,22.680,690_5336.gml,145
DEBY_LOD2_4907170,yes,no,no,both_success,no,success,239.910,62.945,16,1,22.060,690_5336.gml,108
DEBY_LOD2_4907171,yes,no,no,both_success,no,success,189.008,55.325,17,1,23.180,690_5336.gml,115
DEBY_LOD2_4907172,yes,no,no,both_success,no,success,165.273,51.416,15,1,22.525,690_5336.gml,101
DEBY_LOD2_4907173,yes,yes,no,both_success,yes,success,377.953,85.842,17,1,22.790,690_5336.gml,115
DEBY_LOD2_4907174,yes,no,no,ALS_only,no,coverage,260.426,81.846,11,1,11.430,690_5336.gml,80
DEBY_LOD2_4907175,yes,no,no,ALS_only,no,coverage,413.891,96.859,31,1,12.184,690_5336.gml,275
DEBY_LOD2_4907176,yes,no,no,DIM_only,no,success,515.387,91.142,11,1,9.780,690_5336.gml,154
DEBY_LOD2_4907177,yes,no,no,both_success,no,success,95.570,44.977,16,1,20.910,690_5336.gml,143
DEBY_LOD2_4907178,yes,yes,no,both_success,yes,success,192.957,56.550,14,1,24.270,690_5336.gml,107
DEBY_LOD2_4907179,yes,yes,no,both_success,yes,success,160.359,54.902,11,1,24.190,690_5336.gml,100
DEBY_LOD2_4907180,yes,yes,no,both_success,yes,success,386.109,86.291,19,1,23.994,690_5336.gml,156
DEBY_LOD2_4907181,yes,no,no,ALS_only,no,coverage,190.789,57.822,19,1,4.671,690_5336.gml,114
DEBY_LOD2_4907182,yes,yes,yes,ALS_only,yes,roof_matching_assembly_failure,95.004,43.441,10,1,7.134,690_5336.gml,79
DEBY_LOD2_4907183,yes,yes,no,both_success,yes,success,361.680,80.502,14,1,22.660,690_5336.gml,107
DEBY_LOD2_4907184,yes,yes,no,DIM_only,yes,success,337.875,83.203,39,1,23.120,690_5336.gml,245
DEBY_LOD2_4907185,yes,no,no,both_success,no,success,160.980,50.971,10,1,20.200,690_5336.gml,69
DEBY_LOD2_4907186,yes,no,no,both_success,no,success,167.836,51.834,11,1,21.670,690_5336.gml,73
DEBY_LOD2_4907187,yes,no,no,ALS_only,no,coverage,119.906,50.807,29,1,9.430,690_5336.gml,254
DEBY_LOD2_4907188,yes,no,no,both_success,no,success,165.881,51.799,8,1,18.504,690_5336.gml,65
DEBY_LOD2_4907194,yes,no,no,both_fail,no,aoi_edge_excluded,212.727,59.001,11,1,20.020,690_5336.gml,86
DEBY_LOD2_4907195,yes,no,no,both_success,no,success,177.840,59.796,12,1,21.800,690_5336.gml,93
DEBY_LOD2_4907196,yes,yes,no,both_success,yes,success,427.391,100.127,15,1,22.353,690_5336.gml,124
DEBY_LOD2_4907198,yes,no,no,both_success,no,success,359.797,100.026,30,1,18.554,690_5336.gml,238
DEBY_LOD2_4907199,yes,no,no,ALS_only,no,coverage,98.346,41.023,4,1,9.010,690_5336.gml,30
DEBY_LOD2_4907201,yes,yes,no,both_success,yes,success,190.867,59.476,13,1,20.200,690_5336.gml,105
DEBY_LOD2_4907202,yes,no,no,both_success,no,success,160.461,58.377,12,1,7.502,690_5336.gml,95
DEBY_LOD2_4907204,yes,yes,no,both_success,yes,success,224.359,65.513,21,1,21.330,690_5336.gml,156
DEBY_LOD2_4907205,yes,yes,no,both_success,yes,success,105.059,44.973,14,1,5.550,690_5336.gml,112
DEBY_LOD2_4907206,yes,yes,no,both_success,yes,success,201.945,57.798,22,1,21.731,690_5336.gml,149
DEBY_LOD2_4907207,yes,yes,no,both_success,yes,success,324.508,91.535,16,1,23.172,690_5334.gml,177
DEBY_LOD2_4907208,yes,no,no,both_fail,no,aoi_edge_excluded,284.496,67.986,16,1,26.500,690_5336.gml,154
DEBY_LOD2_4907505,yes,no,no,both_success,no,success,217.312,59.413,7,1,21.620,690_5334.gml,50
DEBY_LOD2_4907506,yes,yes,no,both_success,yes,success,283.363,69.507,14,1,21.340,690_5334.gml,92
DEBY_LOD2_4907507,yes,yes,no,both_success,yes,success,283.699,70.037,12,1,21.095,690_5334.gml,77
DEBY_LOD2_4907508,yes,no,no,ALS_only,no,coverage,131.098,61.065,7,1,4.094,690_5334.gml,63
DEBY_LOD2_4907509,yes,yes,no,both_success,yes,success,322.402,86.610,16,1,11.700,690_5334.gml,159
DEBY_LOD2_4907510,yes,yes,yes,ALS_only,yes,roof_matching_assembly_failure,119.363,49.275,10,1,3.100,690_5334.gml,72
DEBY_LOD2_4907514,yes,yes,no,both_success,yes,success,300.688,84.287,23,1,22.800,690_5334.gml,228
DEBY_LOD2_4907515,yes,yes,no,both_success,yes,success,306.219,81.357,23,1,18.610,690_5334.gml,213
DEBY_LOD2_4907516,yes,yes,no,both_success,yes,success,178.775,53.573,4,1,16.030,690_5334.gml,80
DEBY_LOD2_4907517,yes,yes,no,both_success,yes,success,196.965,58.732,10,1,16.030,690_5334.gml,143
DEBY_LOD2_4907518,yes,yes,no,both_success,yes,success,251.199,65.176,10,1,17.100,690_5334.gml,142
DEBY_LOD2_4907519,yes,yes,no,both_success,yes,success,3981.406,279.440,44,1,15.270,690_5334.gml,602
DEBY_LOD2_4907520,yes,yes,no,ALS_only,yes,validity,248.691,63.199,4,1,17.500,690_5334.gml,45
DEBY_LOD2_4907521,yes,yes,no,ALS_only,yes,validity,302.898,69.869,12,1,17.900,690_5334.gml,105
DEBY_LOD2_4908023,yes,yes,no,both_success,yes,success,21.914,19.430,6,1,3.911,690_5336.gml,38
DEBY_LOD2_4908024,yes,yes,no,both_success,yes,success,21.670,19.336,4,1,3.886,690_5336.gml,30
DEBY_LOD2_4908025,yes,yes,no,both_success,yes,success,21.580,19.308,4,1,3.912,690_5336.gml,30
DEBY_LOD2_4908026,yes,yes,no,both_success,yes,success,21.631,19.326,4,1,3.876,690_5336.gml,30
DEBY_LOD2_4908027,yes,yes,no,both_success,yes,success,21.586,19.320,4,1,3.906,690_5336.gml,30
DEBY_LOD2_4908028,yes,yes,no,both_success,yes,success,21.635,19.335,4,1,6.344,690_5336.gml,30
DEBY_LOD2_4908044,yes,no,no,ALS_only,no,coverage,46.303,28.033,4,1,2.428,690_5336.gml,30
DEBY_LOD2_4908045,yes,no,no,ALS_only,no,coverage,55.840,31.492,4,1,2.485,690_5336.gml,30
DEBY_LOD2_4908046,yes,no,no,ALS_only,no,coverage,139.031,61.113,4,1,2.957,690_5336.gml,30
DEBY_LOD2_4908048,yes,no,no,ALS_only,no,coverage,68.219,36.476,9,1,2.817,690_5336.gml,69
DEBY_LOD2_4908049,yes,no,no,ALS_only,no,coverage,49.086,28.819,4,1,2.987,690_5336.gml,30
DEBY_LOD2_4908050,yes,yes,yes,ALS_only,yes,roof_matching_assembly_failure,131.674,58.568,4,1,2.857,690_5336.gml,30
DEBY_LOD2_4908051,yes,no,no,ALS_only,no,coverage,141.529,59.105,7,1,2.510,690_5336.gml,48
DEBY_LOD2_4908052,yes,no,no,ALS_only,no,coverage,143.561,63.052,7,1,8.743,690_5336.gml,55
DEBY_LOD2_4908053,yes,no,no,ALS_only,no,coverage,36.309,24.194,7,1,6.734,690_5336.gml,55
DEBY_LOD2_4908054,yes,no,no,ALS_only,no,coverage,33.605,23.216,4,1,6.892,690_5336.gml,30
DEBY_LOD2_4908059,yes,no,no,both_fail,no,aoi_edge_excluded,87.068,39.205,6,1,4.300,690_5336.gml,51
DEBY_LOD2_4908157,yes,no,no,ALS_only,no,coverage,165.051,59.071,12,1,3.540,690_5336.gml,86
DEBY_LOD2_4908158,yes,no,no,ALS_only,no,coverage,182.586,69.010,8,1,10.758,690_5336.gml,62
DEBY_LOD2_4908159,yes,no,no,both_fail,no,coverage,37.635,24.601,6,1,4.892,690_5336.gml,38
DEBY_LOD2_4908160,yes,no,no,ALS_only,no,coverage,8.492,12.358,5,1,1.040,690_5336.gml,37
DEBY_LOD2_4908161,yes,no,no,ALS_only,no,coverage,454.500,173.050,23,1,3.494,690_5336.gml,144
DEBY_LOD2_4908162,yes,no,no,ALS_only,no,coverage,104.742,47.427,7,1,7.645,690_5336.gml,51
DEBY_LOD2_4908163,yes,no,no,ALS_only,no,validity,56.262,30.958,6,1,6.639,690_5336.gml,51
DEBY_LOD2_4908164,yes,no,no,ALS_only,no,coverage,33.271,24.003,6,1,4.645,690_5336.gml,38
DEBY_LOD2_4908165,yes,no,no,ALS_only,no,coverage,8.826,12.903,4,1,2.555,690_5336.gml,30
DEBY_LOD2_4908166,yes,yes,yes,ALS_only,yes,roof_matching_assembly_failure,29.086,22.550,10,1,2.629,690_5336.gml,66
DEBY_LOD2_4908167,yes,no,no,ALS_only,no,coverage,33.592,23.203,6,1,2.778,690_5336.gml,38
DEBY_LOD2_4908168,yes,no,no,both_success,no,success,28.832,22.000,6,1,7.304,690_5336.gml,44
DEBY_LOD2_4908169,yes,no,no,ALS_only,no,coverage,16.934,17.049,10,1,2.563,690_5336.gml,60
DEBY_LOD2_4908170,yes,no,no,ALS_only,no,coverage,72.814,37.688,6,1,6.607,690_5336.gml,38
