bid,source,stage3_algo_version,metric_version,status,metric_artifact_dir,readout_artifact_dir,failure_reason,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,roof_support_cov,wall_support_cov,ground_support_cov,support_cov,non_manifold_edges,source_family,footprint_buffer_m,bid_int
B0,E1_Baseline_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E1_Baseline_rendered/B0,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E1_Baseline_rendered/B0,,23,10,12,1,0.7083333333333334,0.9666666666666667,1.0,0.9468333333333333,1.9237778930714862e-15,9.821561306426032e-15,0.5643333333333334,0.9431012572505374,0.9261666666666667,0.9606666666666667,0.46317344274640604,1.1037195319762478,2.032316039035035,0.24164808654486314,1.0,True,0,0,12,12,CLOSED,0.744,0.687,0.24,0.5643333333333334,0,E1_Baseline_rendered,0.75,0
B0,E2_Mutual_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E2_Mutual_rendered/B0,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E2_Mutual_rendered/B0,,23,10,12,1,0.7706666666666667,0.9623333333333334,1.0,0.946,1.851991012631141e-15,9.829558326425327e-15,0.5923333333333333,0.959110599478714,0.9518333333333333,0.9665,0.5267500991966507,1.101200743096035,1.9228446365893324,0.22915601091957324,1.0,True,0,0,12,12,CLOSED,0.86,0.692,0.23,0.5923333333333333,0,E2_Mutual_rendered,0.75,0
B1,E1_Baseline_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E1_Baseline_rendered/B1,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E1_Baseline_rendered/B1,,11,4,6,1,0.876,0.8636666666666667,0.0,0.9076666666666666,2.5912085159055575e-15,7.822965893790503e-15,0.4983333333333333,0.8391250330425588,0.8766666666666667,0.8046666666666666,1.6901273512442305,0.791373106324835,1.815001553346551,0.39348311830437976,1.0,True,0,0,6,6,CLOSED,0.982,0.53,0.002,0.4983333333333333,0,E1_Baseline_rendered,0.75,1
B1,E2_Mutual_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E2_Mutual_rendered/B1,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E2_Mutual_rendered/B1,,11,4,6,1,0.7803333333333333,0.9293333333333333,0.963,0.9568333333333333,2.6029297002103288e-15,7.37887668394044e-15,0.48933333333333334,0.9140608933454877,0.924,0.9043333333333333,0.32589166941419023,0.8318275308772364,1.3294199845074028,0.26164930122034225,1.0,True,0,0,6,6,CLOSED,0.917,0.519,0.055,0.48933333333333334,0,E2_Mutual_rendered,0.75,1
B2,E1_Baseline_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E1_Baseline_rendered/B2,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E1_Baseline_rendered/B2,,11,4,6,1,1.0,0.987,1.0,0.9745,1.1842351594773425e-15,6.69808929350998e-15,0.5056666666666667,0.9964135931532435,0.9946666666666667,0.9981666666666666,0.5234961877382975,2.071946822557437,0.8350199114506536,0.19720129823536003,1.0,True,0,0,6,6,CLOSED,1.0,0.409,0.119,0.5056666666666667,0,E1_Baseline_rendered,0.75,2
B2,E2_Mutual_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E2_Mutual_rendered/B2,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E2_Mutual_rendered/B2,,11,4,6,1,1.0,0.9883333333333333,1.0,0.9735,1.1763443728944331e-15,6.990299993591321e-15,0.49,0.9931585836549756,0.9903333333333333,0.996,0.4710039968325521,2.081555328295899,0.8650417498916951,0.2004784417331288,1.0,True,0,0,6,6,CLOSED,1.0,0.402,0.098,0.49,0,E2_Mutual_rendered,0.75,2
B8,E1_Baseline_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E1_Baseline_rendered/B8,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E1_Baseline_rendered/B8,,15,6,8,1,0.9816666666666667,0.9816666666666667,1.0,0.9668333333333333,1.4743677862870585e-15,4.167089298285007e-15,0.496,0.9959158229436867,0.995,0.9968333333333333,0.2493086345062192,1.589819017680507,0.7714359738555728,0.19343811126845106,1.0,True,0,0,8,8,CLOSED,1.0,0.395,0.057,0.496,0,E1_Baseline_rendered,0.75,8
B8,E2_Mutual_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E2_Mutual_rendered/B8,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E2_Mutual_rendered/B8,,15,6,8,1,1.0,0.9823333333333333,0.606,0.9568333333333333,1.5089057761730021e-15,4.453538276848183e-15,0.513,0.9175338841974635,0.9036666666666666,0.9318333333333333,0.46113781590596403,1.5768500644137617,0.7712779498861765,0.2181518403308031,1.0,True,0,0,8,8,CLOSED,1.0,0.448,0.052,0.513,0,E2_Mutual_rendered,0.75,8
B6,E1_Baseline_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E1_Baseline_rendered/B6,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E1_Baseline_rendered/B6,,23,10,12,1,0.6693333333333333,0.9326666666666666,1.0,0.9273333333333333,1.5163540457066645e-15,5.11940160046375e-15,0.4626666666666666,0.947825830842272,0.9505,0.9451666666666667,3.627471515617838,0.6782715244356421,3.5667136390646914,0.23813073131969748,1.0,True,0,0,12,12,CLOSED,0.903,0.408,0.067,0.4626666666666666,0,E1_Baseline_rendered,0.75,6
B6,E2_Mutual_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E2_Mutual_rendered/B6,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E2_Mutual_rendered/B6,,23,10,12,1,0.5246666666666666,0.932,1.0,0.937,1.5949491021093687e-15,5.483238945021996e-15,0.41733333333333333,0.931374727863768,0.9376666666666666,0.9251666666666667,3.38937412340141,0.6638984274781619,3.6235083886001966,0.23824001664625477,1.0,True,0,0,12,12,CLOSED,0.756,0.376,0.071,0.41733333333333333,0,E2_Mutual_rendered,0.75,6
B3,E1_Baseline_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E1_Baseline_rendered/B3,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E1_Baseline_rendered/B3,,83,40,42,1,0.14966666666666667,0.609,0.7763333333333333,0.7798333333333334,1.2347575861805968e-15,7.458152980196018e-15,0.25266666666666665,0.40331385102574696,0.3948333333333333,0.4121666666666667,2.4719599680153728,0.9650653233730663,11.121050384368926,1.0849839789180125,1.0,True,0,0,42,42,CLOSED,0.302,0.443,0.056,0.25266666666666665,0,E1_Baseline_rendered,0.75,3
B3,E2_Mutual_rendered_buffer_0.75m,Stage3Algo-v1,Metric-v1,OK,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/metric_v1/buffer_0.75m/E2_Mutual_rendered/B3,results/footprint_conditioned_readout/FC_S3_mutual_loss_alignment_g2_target_definition/phase5_footprint_sensitivity/readout/buffer_0.75m/E2_Mutual_rendered/B3,,83,40,42,1,0.156,0.6216666666666667,0.896,0.7798333333333334,1.2154140225948219e-15,7.645558626752743e-15,0.25533333333333336,0.43840797720797725,0.4265,0.451,1.8207417446001521,0.9731816247712521,11.183994129120826,1.0762153717867158,1.0,True,0,0,42,42,CLOSED,0.276,0.465,0.056,0.25533333333333336,0,E2_Mutual_rendered,0.75,3
