source_id,source_role,condition_id,seed,building_id,prediction_roof_surface_count,published_score_time_z_shift_m,published_rms_m,recomputed_zero_shift_rms_m,canonical_shift_m,datum_corrected_rms_m,published_hausdorff_m,recomputed_zero_shift_hausdorff_m,datum_corrected_hausdorff_m
02_seed1002,honest,02,1002,DEBY_LOD2_4907184,5,0.0,45.979404637,45.97940463723689,-45.7,0.3891479132769993,46.878611867,46.878611866622464,2.2795756851328406
02_seed1002,honest,02,1002,DEBY_LOD2_4907185,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_4907186,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_4907188,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_4907195,1,0.0,67.565602746,67.56560274626003,-45.7,23.811356876270366,91.841064174,91.84106417377234,46.14106417377229
02_seed1002,honest,02,1002,DEBY_LOD2_4907196,6,0.0,45.937595302,45.93759530178133,-45.7,0.38936477565134014,47.512422951,47.51242295115412,1.8124229511540761
02_seed1002,honest,02,1002,DEBY_LOD2_4907198,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_4907201,6,0.0,45.929425957,45.9294259573411,-45.7,0.30868226692809464,47.683740525,47.68374052453555,1.9837405245355058
02_seed1002,honest,02,1002,DEBY_LOD2_4907202,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_4907204,7,0.0,46.257773441,46.257773441437756,-45.7,0.8810562130457654,49.103139609,49.103139609399136,3.4031396093990907
02_seed1002,honest,02,1002,DEBY_LOD2_4907205,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_4907206,2,0.0,45.76565473,45.76565472994642,-45.7,0.2178406131128201,46.082820181,46.08282018079649,0.3828201807964433
02_seed1002,honest,02,1002,DEBY_LOD2_4908168,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_4908178,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_60098,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_4907207,8,0.0,46.977719601,46.97771960131212,-45.7,1.7138956982773073,50.398635464,50.39863546355457,4.698635463554524
02_seed1002,honest,02,1002,DEBY_LOD2_4907165,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_4907177,0,0.0,,,-45.7,,,,
02_seed1002,honest,02,1002,DEBY_LOD2_4907179,7,0.0,46.920833387,46.92083338723869,-45.7,1.629382751560689,51.075198148,51.07519814848672,5.375198148486675
