footprint_buffer_m,split,metric,e1_mean,e2_mean,raw_delta_mean_e2_minus_e1,directional_delta_mean_positive_favors_e2
0.75,hard_diagnostic,roof_cov,0.4254666666666667,0.3972666666666666,-0.028200000000000013,-0.028200000000000013
0.75,hard_diagnostic,wall_cov,0.7621333333333333,0.7466,-0.015533333333333333,-0.015533333333333333
0.75,hard_diagnostic,ground_cov,0.9486000000000001,0.7610666666666667,-0.18753333333333333,-0.18753333333333333
0.75,hard_diagnostic,support_cov,0.4173333333333333,0.3953333333333333,-0.022,-0.022
0.75,hard_diagnostic,h_err,1.5711891579719601,1.4038240511538151,-0.16736510681814504,0.16736510681814504
0.75,hard_diagnostic,chamfer,0.6644246764752383,0.6875409702923232,0.023116293817084965,-0.023116293817084965
0.75,easier_control,F,0.941541325239427,0.9437531171791527,0.002211791939725627,0.002211791939725627
0.75,easier_control,roof_cov,0.8227333333333332,0.8208,-0.0019333333333333203,-0.0019333333333333203
0.75,easier_control,wall_cov,0.9488000000000001,0.9619333333333333,0.01313333333333333,0.01313333333333333
0.75,easier_control,ground_cov,0.8,0.9138,0.11379999999999998,0.11379999999999998
0.75,easier_control,support_cov,0.5009333333333333,0.5034,0.0024666666666666283,0.0024666666666666283
0.75,easier_control,h_err,0.612305639090214,0.41139747803215665,-0.20090816105805728,0.20090816105805728
0.75,easier_control,chamfer,0.2517713887852493,0.22758748301519685,-0.02418390577005245,0.02418390577005245
0.75,roof_complex_candidate,F,0.5204345098470916,0.5183211863247238,-0.002113323522367853,-0.002113323522367853
0.75,roof_complex_candidate,roof_cov,0.15266666666666664,0.15388888888888888,0.0012222222222222172,0.0012222222222222172
0.75,roof_complex_candidate,wall_cov,0.6261111111111112,0.6281111111111111,0.0020000000000000018,0.0020000000000000018
0.75,roof_complex_candidate,ground_cov,0.9143333333333334,0.9351111111111111,0.020777777777777784,0.020777777777777784
0.75,roof_complex_candidate,support_cov,0.27655555555555555,0.27144444444444443,-0.005111111111111122,-0.005111111111111122
0.75,roof_complex_candidate,h_err,1.3325542446903853,1.0060432772111412,-0.32651096747924413,0.32651096747924413
0.75,roof_complex_candidate,chamfer,0.9832726551677009,0.9925116725510099,0.009239017383309086,-0.009239017383309086
0.75,ground_sensitive,F,0.9603255835497935,0.8979272934170589,-0.0623982901327346,-0.0623982901327346
0.75,ground_sensitive,roof_cov,0.739,0.6925555555555555,-0.046444444444444434,-0.046444444444444434
0.75,ground_sensitive,wall_cov,0.959111111111111,0.932,-0.027111111111111086,-0.027111111111111086
0.75,ground_sensitive,ground_cov,1.0,0.6666666666666666,-0.3333333333333333,-0.3333333333333333
0.75,ground_sensitive,support_cov,0.5657777777777778,0.5315555555555554,-0.034222222222222244,-0.034222222222222244
0.75,ground_sensitive,h_err,1.331235211668187,1.424398077649026,0.093162865980839,-0.093162865980839
0.75,ground_sensitive,chamfer,0.20179724881542702,0.22955721822690767,0.02775996941148065,-0.02775996941148065
1.5,all_10,F,0.815573447198856,0.8151272420814314,-0.00044620511742483047,-0.00044620511742483047
1.5,all_10,roof_cov,0.6130666666666666,0.5734666666666667,-0.03959999999999999,-0.03959999999999999
1.5,all_10,wall_cov,0.8515333333333333,0.8562333333333333,0.004700000000000015,0.004700000000000015
1.5,all_10,ground_cov,0.7886,0.8853333333333333,0.09673333333333332,0.09673333333333332
1.5,all_10,support_cov,0.4508,0.44303333333333333,-0.007766666666666683,-0.007766666666666683
1.5,all_10,h_err,1.0604016165727288,0.8848561776087687,-0.17554543896396005,0.17554543896396005
1.5,all_10,chamfer,0.4518339527475888,0.45555461676217124,0.0037206640145824284,-0.0037206640145824284
1.5,hard_diagnostic,F,0.711302382739795,0.6888123007222431,-0.022490082017551837,-0.022490082017551837
1.5,hard_diagnostic,roof_cov,0.42526666666666674,0.3261333333333333,-0.09913333333333334,-0.09913333333333334
1.5,hard_diagnostic,wall_cov,0.7607333333333333,0.7520666666666667,-0.008666666666666645,-0.008666666666666645
1.5,hard_diagnostic,ground_cov,0.9772000000000001,0.9707333333333332,-0.006466666666666687,-0.006466666666666687
1.5,hard_diagnostic,support_cov,0.4138666666666667,0.3828,-0.031066666666666687,-0.031066666666666687
1.5,hard_diagnostic,h_err,1.470448661090805,1.2641339124821223,-0.20631474860868257,0.20631474860868257
1.5,hard_diagnostic,chamfer,0.6506301436438211,0.6778718021130641,0.027241658469243084,-0.027241658469243084
1.5,easier_control,F,0.9198445116579173,0.9414421834406195,0.021597671782702176,0.021597671782702176
1.5,easier_control,roof_cov,0.8008666666666666,0.8208,0.01993333333333336,0.01993333333333336
1.5,easier_control,wall_cov,0.9423333333333334,0.9603999999999999,0.018066666666666675,0.018066666666666675
1.5,easier_control,ground_cov,0.6,0.7999333333333334,0.19993333333333335,0.19993333333333335
1.5,easier_control,support_cov,0.48773333333333335,0.5032666666666666,0.015533333333333321,0.015533333333333321
1.5,easier_control,h_err,0.6503545720546526,0.5055784427354151,-0.1447761293192375,0.1447761293192375
1.5,easier_control,chamfer,0.2530377618513565,0.2332374314112783,-0.01980033044007823,0.01980033044007823
1.5,roof_complex_candidate,F,0.5360620263003613,0.5265644720546886,-0.009497554245672724,-0.009497554245672724
1.5,roof_complex_candidate,roof_cov,0.15233333333333332,0.15377777777777776,0.0014444444444444426,0.0014444444444444426
1.5,roof_complex_candidate,wall_cov,0.624,0.6254444444444446,0.0014444444444444704,0.0014444444444444704
1.5,roof_complex_candidate,ground_cov,0.9620000000000001,0.9512222222222221,-0.010777777777777811,-0.010777777777777811
1.5,roof_complex_candidate,support_cov,0.2763333333333333,0.2711111111111111,-0.005222222222222239,-0.005222222222222239
1.5,roof_complex_candidate,h_err,1.2348406896587107,0.9529011331310121,-0.2819395565276987,0.2819395565276987
1.5,roof_complex_candidate,chamfer,0.9708603268078105,0.9869418098816451,0.016081483073834796,-0.016081483073834796
1.5,ground_sensitive,F,0.9603831733684988,0.9296356295696598,-0.030747543798838855,-0.030747543798838855
1.5,ground_sensitive,roof_cov,0.739,0.5741111111111111,-0.16488888888888886,-0.16488888888888886
1.5,ground_sensitive,wall_cov,0.9592222222222221,0.9435555555555556,-0.015666666666666645,-0.015666666666666645
1.5,ground_sensitive,ground_cov,1.0,0.9998888888888889,-0.00011111111111109888,-0.00011111111111109888
1.5,ground_sensitive,support_cov,0.5604444444444445,0.5108888888888888,-0.049555555555555575,-0.049555555555555575
1.5,ground_sensitive,h_err,1.3045303846989982,1.3940337277495043,0.08950334305050604,-0.08950334305050604
1.5,ground_sensitive,chamfer,0.19008381566336277,0.22753999157917873,0.03745617591581595,-0.03745617591581595
