family,arm,replicate,run_name,building_id,target_four,has_lod22,pred_direction_mode_count,ref_direction_mode_count,mode_count_delta,pred_mode_azimuths_deg,ref_mode_azimuths_deg,pred_roof_face_count,ref_roof_face_count,pred_sloped_face_count,ref_sloped_face_count,mode_definition,cityjson
s2,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_4907198,false,true,1,2,-1,213.9,68.8;248.8,2,4,2,3,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json
s2,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_4907199,false,false,0,0,0,,,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json
s2,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_4907202,true,true,1,0,1,340.1,,1,2,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json
s2,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_4908168,false,false,0,1,-1,,332.1,0,1,0,1,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json
s2,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_4908178,false,false,0,2,-2,,158.7;338.7,0,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json
s2,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_4908179,false,false,0,0,0,,,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json
s2,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_60098,true,true,1,2,-1,250.4,68.9;248.9,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json
s2,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_8568391,false,true,1,0,1,13.2,,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json
s2,arm1,r1,gs_e5_C001_s2_arm1_dense_r1,DEBY_LOD2_8568392,false,false,0,0,0,,,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r1_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_108247349,false,false,0,0,0,,,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_108247350,false,true,1,0,1,357.5,,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_108247351,false,false,0,0,0,,,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4907184,true,true,4,4,0,57.0;157.0;251.8;339.1,67.4;157.6;247.4;337.6,5,4,5,4,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4907185,false,true,2,2,0,93.7;321.0,68.8;248.8,4,2,2,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4907186,true,true,1,2,-1,283.9,68.6;248.6,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4907188,false,true,1,2,-1,338.3,68.8;248.8,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4907194,false,false,0,2,-2,,69.6;249.6,0,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4907195,false,true,1,2,-1,323.4,69.0;249.0,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4907198,false,true,1,2,-1,344.1,68.8;248.8,2,4,2,3,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4907199,false,false,0,0,0,,,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4907202,true,false,0,0,0,,,0,2,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4908168,false,false,0,1,-1,,332.1,0,1,0,1,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
s2,arm1,r2,gs_e5_C001_s2_arm1_dense_r2,DEBY_LOD2_4908178,false,false,0,2,-2,,158.7;338.7,0,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2_405_repair_20260710_C001/e5p_s2_direction_position_20260710_C001/base/cityjson/gs_e5_C001_s2_arm1_dense_r2_run_1.city.json
