building_id,source_files,part_count,intersecting_part_count,area_m2,min_x,min_y,max_x,max_y
DEBY_LOD2_4907206,690_5336.gml,1,1,201.945,690806.425,5336001.916,690823.630,5336021.659
DEBY_LOD2_4907207,690_5334.gml,1,1,324.508,690788.830,5335983.620,690818.040,5336007.760
DEBY_LOD2_4907208,690_5336.gml,1,1,284.496,690774.410,5335988.900,690794.220,5336011.890
DEBY_LOD2_4907505,690_5334.gml,1,1,217.312,690808.993,5335926.234,690827.231,5335946.563
DEBY_LOD2_4907506,690_5334.gml,1,1,283.363,690815.103,5335938.588,690840.087,5335958.626
DEBY_LOD2_4907507,690_5334.gml,1,1,283.699,690835.377,5335931.107,690860.812,5335950.845
DEBY_LOD2_4907508,690_5334.gml,1,1,131.098,690804.080,5335911.220,690829.380,5335924.130
DEBY_LOD2_4907509,690_5334.gml,1,1,322.402,690819.610,5335885.760,690841.300,5335915.580
DEBY_LOD2_4907510,690_5334.gml,1,1,119.363,690833.800,5335893.300,690847.430,5335910.840
DEBY_LOD2_4907514,690_5334.gml,1,1,300.688,690851.990,5335916.930,690873.800,5335942.960
DEBY_LOD2_4907515,690_5334.gml,1,1,306.219,690865.680,5335911.860,690887.160,5335938.040
DEBY_LOD2_4907516,690_5334.gml,1,1,178.775,690887.950,5335913.060,690904.810,5335930.760
DEBY_LOD2_4907517,690_5334.gml,1,1,196.965,690899.730,5335906.980,690917.390,5335926.180
DEBY_LOD2_4907518,690_5334.gml,1,1,251.199,690917.420,5335898.420,690937.120,5335919.180
DEBY_LOD2_4907519,690_5334.gml,1,1,3981.406,690884.270,5335833.300,690986.280,5335900.640
DEBY_LOD2_4907520,690_5334.gml,1,1,248.691,690955.560,5335883.810,690975.600,5335904.690
DEBY_LOD2_4907521,690_5334.gml,1,1,302.898,690974.470,5335874.970,690997.090,5335897.340
DEBY_LOD2_4908023,690_5336.gml,1,1,21.914,690906.287,5336108.243,690911.891,5336115.248
DEBY_LOD2_4908024,690_5336.gml,1,1,21.670,690908.460,5336097.503,690915.476,5336103.016
DEBY_LOD2_4908025,690_5336.gml,1,1,21.580,690909.935,5336101.243,690916.943,5336106.756
DEBY_LOD2_4908026,690_5336.gml,1,1,21.631,690911.411,5336105.005,690918.407,5336110.526
DEBY_LOD2_4908027,690_5336.gml,1,1,21.586,690912.866,5336108.765,690919.863,5336114.276
DEBY_LOD2_4908028,690_5336.gml,1,1,21.635,690914.313,5336112.485,690921.329,5336117.976
DEBY_LOD2_4908044,690_5336.gml,1,1,46.303,690864.498,5336320.695,690874.524,5336328.759
DEBY_LOD2_4908045,690_5336.gml,1,1,55.840,690872.577,5336316.978,690884.212,5336325.685
DEBY_LOD2_4908046,690_5336.gml,1,1,139.031,690904.478,5336288.343,690919.042,5336313.529
DEBY_LOD2_4908048,690_5336.gml,1,1,68.219,690895.529,5336266.093,690904.937,5336279.910
DEBY_LOD2_4908049,690_5336.gml,1,1,49.086,690901.219,5336280.116,690909.662,5336290.373
DEBY_LOD2_4908050,690_5336.gml,1,1,131.674,690886.646,5336244.099,690900.674,5336268.144
DEBY_LOD2_4908051,690_5336.gml,1,1,141.529,690844.222,5336262.888,690858.208,5336287.058
DEBY_LOD2_4908052,690_5336.gml,1,1,143.561,690827.218,5336254.088,690841.700,5336280.344
DEBY_LOD2_4908053,690_5336.gml,1,1,36.309,690836.540,5336278.364,690844.053,5336286.482
DEBY_LOD2_4908054,690_5336.gml,1,1,33.605,690838.903,5336284.501,690846.242,5336292.162
DEBY_LOD2_4908059,690_5336.gml,1,1,87.068,690778.010,5336329.410,690792.410,5336340.360
DEBY_LOD2_4908157,690_5336.gml,1,1,165.051,690810.697,5336135.545,690828.420,5336150.745
DEBY_LOD2_4908158,690_5336.gml,1,1,182.586,690804.482,5336154.126,690832.884,5336170.379
DEBY_LOD2_4908159,690_5336.gml,1,1,37.635,690822.895,5336147.992,690830.672,5336156.124
DEBY_LOD2_4908160,690_5336.gml,1,1,8.492,690813.077,5336204.630,690816.532,5336209.218
DEBY_LOD2_4908161,690_5336.gml,1,1,454.500,690802.171,5336165.470,690833.095,5336206.510
DEBY_LOD2_4908162,690_5336.gml,1,1,104.742,690828.447,5336182.700,690843.070,5336197.194
