building_id,arm,run,iteration,observation_phase,scope,gaussians_total,seed_lineage_count,opacity_median,cum_prune_candidates,cum_pruned,cum_prune_seed_protected,seed_protect_active,source_path
DEBY_LOD2_42364609,Aprime,r1,19000,post_dynamics,all_seed_lineage,7376,7376,0.02788686379790306,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,19500,post_dynamics,all_seed_lineage,7376,7376,0.02784889005124569,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,20000,post_dynamics,all_seed_lineage,7376,7376,0.02699349634349346,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,20500,post_dynamics,all_seed_lineage,7376,7376,0.02576623670756817,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,21000,post_dynamics,all_seed_lineage,7376,7376,0.025239896029233932,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,21500,post_dynamics,all_seed_lineage,7376,7376,0.02507495880126953,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,22000,post_dynamics,all_seed_lineage,7376,7376,0.024270210415124893,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,22500,post_dynamics,all_seed_lineage,7376,7376,0.023814411833882332,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,23000,post_dynamics,all_seed_lineage,7376,7376,0.023640364408493042,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,23500,post_dynamics,all_seed_lineage,7376,7376,0.023276688531041145,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,24000,post_dynamics,all_seed_lineage,7376,7376,0.02300471067428589,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,24500,post_dynamics,all_seed_lineage,7376,7376,0.022326303645968437,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,25000,post_dynamics,all_seed_lineage,7376,7376,0.02213551290333271,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,25500,post_dynamics,all_seed_lineage,7376,7376,0.021255336701869965,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,26000,post_dynamics,all_seed_lineage,7376,7376,0.021329082548618317,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,26500,post_dynamics,all_seed_lineage,7376,7376,0.020910993218421936,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,27000,post_dynamics,all_seed_lineage,7376,7376,0.020315084606409073,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,27500,post_dynamics,all_seed_lineage,7376,7376,0.020347390323877335,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,28000,post_dynamics,all_seed_lineage,7376,7376,0.02024048939347267,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,28500,post_dynamics,all_seed_lineage,7376,7376,0.019200867041945457,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,29000,post_dynamics,all_seed_lineage,7376,7376,0.01939726062119007,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
DEBY_LOD2_42364609,Aprime,r1,29500,post_dynamics,all_seed_lineage,7376,7376,0.01880420371890068,13916,13916,0,False,phases/p2-gsjso/runs/20260726_fusion_w1_aprime/training/by_building/DEBY_LOD2_42364609/arm_Aprime/r1/audit/seed_lineage.csv
