building_id,paired_category,both_attempted,exclude_from_comparison,exclude_reason,footprint_area_m2,footprint_centroid_in_box,footprint_fully_inside_box,footprint_bbox_intersects_box,als_status,als_reason,als_rf_pt_density,als_rf_nodata_frac,als_has_lod22,als_val3dity_valid,dim_status,dim_reason,dim_rf_pt_density,dim_rf_nodata_frac,dim_has_lod22,dim_val3dity_valid,dim_coverage_nodata_max,dim_coverage_density_min_pts_m2,dim_coverage_pass,dim_coverage_pass_strict,dim_coverage_pass_loose,reference_mismatch_exclude,reference_mismatch_reason,coverage_control_population,als_failure_bucket_v1,dim_failure_bucket_v1
DEBY_LOD2_4906981,both_success,yes,no,,1419.988,yes,yes,yes,success,success,19.260017,0.002641,True,True,success,success,517.514771,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906982,both_success,yes,no,,1385.406,yes,yes,yes,success,success,11.336961,0.004693,True,True,success,success,361.879425,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906983,both_success,yes,no,,932.787,yes,yes,yes,success,success,13.181086,0.002412,True,True,success,success,145.045303,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906984,both_success,yes,no,,246.428,yes,yes,yes,success,success,11.370409,0.033469,True,True,success,success,79.525352,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906985,ALS_only,yes,no,,875.803,yes,yes,yes,success,success,11.117597,0.002284,True,True,failure,val3dity_invalid,173.282333,0.000000,True,False,0.30,20.0,yes,yes,yes,no,,yes,success,validity
DEBY_LOD2_4906986,both_success,yes,no,,236.227,yes,yes,yes,success,success,17.976570,0.005297,True,True,success,success,123.288139,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906987,both_success,yes,no,,231.477,yes,yes,yes,success,success,17.446623,0.009709,True,True,success,success,137.221146,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906988,both_success,yes,no,,130.994,yes,no,yes,success,success,18.236641,0.000000,True,True,success,success,70.709923,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906989,both_success,yes,no,,320.910,yes,yes,yes,success,success,18.886631,0.003118,True,True,success,success,124.195457,0.314108,True,True,0.30,20.0,no,no,yes,no,,no,success,success
DEBY_LOD2_4906990,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,292.582,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_4906991,both_success,yes,no,,167.684,yes,no,yes,success,success,19.387815,0.000000,True,True,success,success,57.967312,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4906997,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,193.582,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_4906998,DIM_only,yes,no,,326.336,yes,no,yes,failure,val3dity_invalid,17.925018,0.001528,True,False,success,success,79.478508,0.466769,True,True,0.30,20.0,no,no,no,no,,no,validity,success
DEBY_LOD2_4906999,ALS_only,yes,no,,221.160,yes,no,yes,success,success,18.097395,0.000000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907000,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,198.246,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_4907011,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,194.988,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_4907012,ALS_only,yes,no,,51.113,yes,no,yes,success,success,19.352942,0.000000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907013,ALS_only,yes,no,,116.320,yes,no,yes,success,success,19.905781,0.000000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907014,ALS_only,yes,no,,149.949,yes,no,yes,success,success,19.078465,0.000000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907015,ALS_only,yes,no,,168.434,yes,yes,yes,success,success,19.121662,0.000000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907016,ALS_only,yes,no,,282.211,yes,yes,yes,success,success,18.437555,0.000885,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907017,ALS_only,yes,no,,287.672,yes,yes,yes,success,success,18.566957,0.000000,True,True,failure,val3dity_invalid,15.333333,0.989565,True,False,0.30,20.0,no,no,no,no,,no,success,validity
DEBY_LOD2_4907018,both_success,yes,no,,257.297,yes,yes,yes,success,success,18.664070,0.002913,True,True,success,success,82.432159,0.033981,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907019,ALS_only,yes,no,,206.424,yes,yes,yes,success,success,18.166868,0.000000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907020,both_success,yes,no,,330.555,yes,yes,yes,success,success,13.041636,0.000000,True,True,success,success,65.397591,0.120363,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907021,ALS_only,yes,no,,249.031,yes,yes,yes,success,success,10.693387,0.002000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907022,ALS_only,yes,no,,240.906,yes,yes,yes,success,success,10.895833,0.002079,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907023,both_success,yes,no,,181.232,yes,yes,yes,success,success,11.026134,0.001374,True,True,success,success,102.039108,0.016484,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907024,both_success,yes,no,,289.031,yes,yes,yes,success,success,10.915726,0.003463,True,True,success,success,72.683548,0.042424,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907025,ALS_only,yes,no,,468.750,yes,yes,yes,success,success,10.650989,0.003727,True,True,failure,val3dity_invalid,180.283051,0.029286,True,False,0.30,20.0,yes,yes,yes,no,,yes,success,validity
DEBY_LOD2_4907026,both_success,yes,no,,132.693,yes,yes,yes,success,success,10.519924,0.007533,True,True,success,success,51.347641,0.561205,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907027,ALS_only,yes,no,,264.336,yes,yes,yes,success,success,11.045628,0.006610,True,True,failure,pointcloud_unusable_no_points,4.352941,0.967894,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907028,both_success,yes,no,,199.660,yes,yes,yes,success,success,10.959799,0.003755,True,True,success,success,5.250000,0.959950,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907029,ALS_only,yes,no,,425.699,yes,yes,yes,success,success,17.692760,0.002349,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907030,ALS_only,yes,no,,177.418,yes,yes,yes,success,success,10.806818,0.008451,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907031,ALS_only,yes,no,,163.719,yes,yes,yes,success,success,10.443411,0.015267,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907032,ALS_only,yes,no,,375.523,yes,no,yes,success,success,13.380413,0.001331,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907033,ALS_only,yes,no,,128.949,yes,yes,yes,success,success,10.090730,0.019342,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907034,ALS_only,yes,no,,549.504,yes,no,yes,success,success,18.863905,0.000000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907035,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,325.258,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_4907036,ALS_only,yes,no,,187.848,yes,no,yes,success,success,11.024259,0.011984,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907156,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,295.441,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_4907164,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,322.770,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_4907165,both_success,yes,no,,262.125,yes,no,yes,success,success,19.005714,0.000000,True,True,success,success,77.752808,0.915238,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907166,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,160.195,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_4907167,ALS_only,yes,no,,203.195,yes,no,yes,success,success,18.458897,0.000000,True,True,failure,pointcloud_unusable_no_planes,8.396285,0.603681,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907168,ALS_only,yes,no,,207.379,yes,yes,yes,success,success,14.380723,0.001203,True,True,failure,missing_lod22_geometry,12.692810,0.631769,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907169,ALS_only,yes,no,,317.445,yes,yes,yes,success,success,10.604134,0.011006,True,True,failure,missing_lod22_geometry,10.222222,0.872642,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907170,both_success,yes,no,,239.910,yes,yes,yes,success,success,10.821053,0.010417,True,True,success,success,9.076517,0.605208,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907171,both_success,yes,no,,189.008,yes,yes,yes,success,success,11.210811,0.021164,True,True,success,success,8.374101,0.632275,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907172,both_success,yes,no,,165.273,yes,yes,yes,success,success,14.685016,0.012085,True,True,success,success,5.941521,0.741692,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907173,both_success,yes,no,,377.953,yes,yes,yes,success,success,16.390697,0.003311,True,True,success,success,325.398682,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907174,ALS_only,yes,no,,260.426,yes,yes,yes,success,success,18.028763,0.000000,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907175,ALS_only,yes,no,,413.891,yes,yes,yes,success,success,18.847088,0.003025,True,True,failure,missing_lod22_geometry,46.295082,0.963097,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907176,DIM_only,yes,no,,515.387,yes,yes,yes,failure,val3dity_invalid,18.671844,0.000485,True,False,success,success,48.464729,0.649199,True,True,0.30,20.0,no,no,no,no,,no,validity,success
DEBY_LOD2_4907177,both_success,yes,no,,95.570,yes,yes,yes,success,success,23.979002,0.005222,True,True,success,success,48.967033,0.762402,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907178,both_success,yes,no,,192.957,yes,yes,yes,success,success,19.578674,0.005175,True,True,success,success,525.912598,0.023286,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907179,both_success,yes,no,,160.359,yes,yes,yes,success,success,18.365931,0.007825,True,True,success,success,232.058441,0.035994,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907180,both_success,yes,no,,386.109,yes,yes,yes,success,success,17.182291,0.004537,True,True,success,success,357.850250,0.220998,True,True,0.30,20.0,yes,no,yes,no,,yes,success,success
DEBY_LOD2_4907181,ALS_only,yes,no,,190.789,yes,yes,yes,success,success,20.052494,0.000000,True,True,failure,missing_lod22_geometry,40.751678,0.608924,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907182,ALS_only,yes,no,,95.004,yes,yes,yes,success,success,20.158312,0.002632,True,True,failure,missing_lod22_geometry,51.718849,0.176316,False,True,0.30,20.0,yes,yes,yes,no,,yes,success,roof_matching_assembly_failure
DEBY_LOD2_4907183,both_success,yes,no,,361.680,yes,yes,yes,success,success,19.507948,0.000000,True,True,success,success,625.346497,0.020733,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907184,DIM_only,yes,no,,337.875,yes,yes,yes,failure,val3dity_invalid,20.818384,0.002219,True,False,success,success,584.373352,0.001479,True,True,0.30,20.0,yes,yes,yes,no,,yes,validity,success
DEBY_LOD2_4907185,both_success,yes,no,,160.980,yes,yes,yes,success,success,20.142857,0.000000,True,True,success,success,50.248062,0.599379,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907186,both_success,yes,no,,167.836,yes,yes,yes,success,success,19.851412,0.001484,True,True,success,success,10.594059,0.700297,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907187,ALS_only,yes,no,,119.906,yes,yes,yes,success,success,17.583158,0.012474,True,True,failure,pointcloud_unusable_no_points,0.000000,1.000000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907188,both_success,yes,no,,165.881,yes,no,yes,success,success,19.337349,0.000000,True,True,success,success,13.064327,0.484940,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907194,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,212.727,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_4907195,both_success,yes,no,,177.840,yes,no,yes,success,success,20.670422,0.000000,True,True,success,success,14.962963,0.581690,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907196,both_success,yes,no,,427.391,yes,yes,yes,success,success,20.091496,0.004670,True,True,success,success,806.388550,0.059545,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907198,both_success,yes,no,,359.797,yes,yes,yes,success,success,19.810848,0.000000,True,True,success,success,21.594631,0.481919,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907199,ALS_only,yes,no,,98.346,yes,no,yes,success,success,19.226463,0.000000,True,True,failure,pointcloud_unusable_no_points,10.666667,0.954198,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907201,both_success,yes,no,,190.867,yes,yes,yes,success,success,19.306879,0.010471,True,True,success,success,440.111847,0.017016,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907202,both_success,yes,no,,160.461,yes,no,yes,success,success,19.725000,0.001560,True,True,success,success,106.250847,0.539782,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907204,both_success,yes,no,,224.359,yes,yes,yes,success,success,19.104677,0.001112,True,True,success,success,456.031219,0.002225,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907205,both_success,yes,no,,105.059,yes,yes,yes,success,success,19.057692,0.007160,True,True,success,success,78.315216,0.121718,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907206,both_success,yes,no,,201.945,yes,yes,yes,success,success,19.103960,0.000000,True,True,success,success,540.851501,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907207,both_success,yes,no,,324.508,yes,no,yes,success,success,21.055384,0.000000,True,True,success,success,256.655518,0.263077,True,True,0.30,20.0,yes,no,yes,no,,yes,success,success
DEBY_LOD2_4907208,both_fail,no,yes,aoi_edge_centroid_outside_roofer_box,284.496,no,no,yes,failure,missing_roofer_output,,,False,,failure,missing_roofer_output,,,False,,0.30,20.0,no,no,no,no,,no,aoi_edge_excluded,aoi_edge_excluded
DEBY_LOD2_4907505,both_success,yes,no,,217.312,yes,yes,yes,success,success,18.839907,0.009195,True,True,success,success,102.405800,0.682759,True,True,0.30,20.0,no,no,no,no,,no,success,success
DEBY_LOD2_4907506,both_success,yes,no,,283.363,yes,yes,yes,success,success,21.106985,0.001765,True,True,success,success,407.400604,0.116505,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907507,both_success,yes,no,,283.699,yes,yes,yes,success,success,21.074734,0.010563,True,True,success,success,667.520264,0.001761,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907508,ALS_only,yes,no,,131.098,yes,yes,yes,success,success,17.836191,0.000000,True,True,failure,missing_lod22_geometry,42.571430,0.840000,False,True,0.30,20.0,no,no,no,no,,no,success,coverage
DEBY_LOD2_4907509,both_success,yes,no,,322.402,yes,yes,yes,success,success,18.909372,0.000000,True,True,success,success,74.460205,0.104570,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907510,ALS_only,yes,no,,119.363,yes,yes,yes,success,success,17.338947,0.008351,True,True,failure,missing_lod22_geometry,54.109451,0.160752,False,True,0.30,20.0,yes,yes,yes,no,,yes,success,roof_matching_assembly_failure
DEBY_LOD2_4907514,both_success,yes,no,,300.688,yes,yes,yes,success,success,21.956375,0.006667,True,True,success,success,705.563354,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907515,both_success,yes,no,,306.219,yes,yes,yes,success,success,18.067600,0.007365,True,True,success,success,581.191467,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907516,both_success,yes,no,,178.775,yes,yes,yes,success,success,19.268635,0.004202,True,True,success,success,638.263306,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
DEBY_LOD2_4907517,both_success,yes,no,,196.965,yes,yes,yes,success,success,19.236641,0.002538,True,True,success,success,645.314697,0.000000,True,True,0.30,20.0,yes,yes,yes,no,,yes,success,success
