building_id,als_plane_f1,dim_plane_f1,delta_plane_f1_als_minus_dim,dim_internal_boundary_hausdorff_m,dim_internal_boundary_chamfer_m,dim_height_nmad_m,dim_point_count,dim_density_pts_m2,dim_hole_ratio,dim_density_cv,dim_plane_rmse_m,image_texture_sample_count,image_texture_gradient_median,image_texture_gradient_p10,image_gray_std_median,image_brightness_median,image_shadow_ratio_median,image_incidence_deg_median,texture_deficit_score
DEBY_LOD2_4906974,0.6667,1.0000,-0.3333,2.4627,1.5666,0.0715,101683,322.4633,0.0000,0.65000,0.23388,8,0.03189,0.03030,0.1603,0.3118,0.3014,8.2136,0.35511
DEBY_LOD2_4906976,0.8571,0.7500,0.1071,2.0970,0.2259,0.0498,167939,614.9855,0.0000,1.35002,0.61907,8,0.02576,0.02246,0.1424,0.3255,0.1729,7.1369,0.50468
DEBY_LOD2_4906977,0.6154,0.2500,0.3654,n/a,n/a,0.0480,137632,259.3082,0.0000,0.53231,0.57820,8,0.01405,0.01109,0.0521,0.6000,0.0000,13.5683,0.52000
DEBY_LOD2_4906980,0.5000,0.6667,-0.1667,n/a,n/a,0.3499,11188,249.0317,0.0000,1.21066,4.08917,8,0.04594,0.03412,0.1434,0.3706,0.1252,9.2198,0.56033
DEBY_LOD2_4906981,0.5000,0.5455,-0.0455,13.2407,1.3745,0.0905,791109,557.1237,0.0000,2.93537,2.78973,6,0.01934,0.01457,0.1082,0.6157,0.0074,13.8373,0.71135
DEBY_LOD2_4906982,0.4000,0.3077,0.0923,n/a,n/a,0.2232,523617,377.9520,0.0000,0.71048,0.19338,8,0.04208,0.03897,0.1872,0.4725,0.0166,5.9526,0.32625
DEBY_LOD2_4906983,0.6667,0.6667,0.0000,n/a,n/a,0.0309,140222,150.3259,0.0000,0.43093,0.04601,8,0.04050,0.03839,0.0802,0.3235,0.0313,11.8681,0.31772
DEBY_LOD2_4906984,0.8571,0.3333,0.5238,n/a,n/a,0.0438,7379,29.9438,0.5363,1.57788,1.72936,8,0.03188,0.02682,0.1314,0.3431,0.0663,11.8458,0.81516
DEBY_LOD2_4906986,0.4444,0.5000,-0.0556,n/a,n/a,0.0441,29889,126.5266,0.0000,0.32691,0.27512,8,0.03111,0.02711,0.2177,0.5039,0.0051,14.5686,0.36099
DEBY_LOD2_4906987,0.0000,0.2500,-0.2500,n/a,n/a,0.0089,32553,140.6317,0.0000,0.36820,0.27127,8,0.04992,0.03857,0.1726,0.4725,0.0191,4.8936,0.30584
DEBY_LOD2_4906988,0.6667,0.5000,0.1667,n/a,n/a,0.1177,9578,73.1179,0.0000,0.29162,0.42980,8,0.04940,0.04452,0.1657,0.3784,0.0847,7.9400,0.34017
DEBY_LOD2_4906991,0.5000,0.6667,-0.1667,n/a,n/a,0.0890,9947,59.3199,0.0000,0.20624,0.47905,6,0.04277,0.03749,0.1883,0.4020,0.0290,15.4142,0.35478
DEBY_LOD2_4907018,0.1053,0.1176,-0.0124,n/a,n/a,0.7867,20736,80.5917,0.0154,0.42816,0.60636,4,0.02398,0.02298,0.2317,0.6255,0.0564,19.3425,0.61652
DEBY_LOD2_4907020,1.0000,0.5714,0.4286,5.3595,0.7575,0.0744,20566,62.2166,0.0515,0.86878,1.17473,6,0.02693,0.02554,0.2225,0.5784,0.0695,16.9596,0.74161
DEBY_LOD2_4907023,1.0000,1.0000,0.0000,0.1248,0.1175,0.0983,18768,103.5579,0.0000,0.61454,0.69707,8,0.02374,0.02326,0.2218,0.4451,0.1091,12.9145,0.59089
DEBY_LOD2_4907024,1.0000,1.0000,0.0000,0.5786,0.1686,0.0802,20785,71.9127,0.0070,0.56162,0.66369,8,0.02211,0.02007,0.2197,0.5078,0.1192,15.5964,0.67387
DEBY_LOD2_4907173,0.6000,0.4286,0.1714,2.8140,0.5925,0.0587,124294,328.8610,0.0000,0.82159,0.68260,8,0.02332,0.02209,0.2048,0.4314,0.0357,10.2446,0.56522
DEBY_LOD2_4907178,0.2222,0.1429,0.0794,n/a,n/a,0.1488,101914,528.1695,0.0052,0.92165,0.58998,8,0.01933,0.01126,0.1894,0.3725,0.1215,10.0531,0.62567
DEBY_LOD2_4907179,0.3636,0.2500,0.1136,n/a,n/a,0.2003,36609,228.2940,0.0062,1.38141,0.61776,8,0.02251,0.01776,0.1912,0.3059,0.1870,11.0006,0.69954
DEBY_LOD2_4907180,0.6000,0.3333,0.2667,0.0816,0.0381,0.2303,109296,283.0703,0.2031,1.16543,0.81257,8,0.02658,0.02223,0.2067,0.3667,0.0402,9.4762,0.69598
DEBY_LOD2_4907183,0.4444,0.2000,0.2444,1.3593,0.3300,0.0588,226646,626.6479,0.0028,0.73844,0.73129,8,0.02520,0.01943,0.1854,0.3157,0.1154,12.5995,0.55333
DEBY_LOD2_4907196,0.5000,0.7273,-0.2273,2.8123,0.3564,0.1989,326601,764.1738,0.0350,0.61520,0.92417,8,0.02713,0.01830,0.1905,0.4078,0.1085,8.8293,0.52725
DEBY_LOD2_4907201,0.8571,0.5714,0.2857,n/a,n/a,0.0310,83452,437.2259,0.0052,0.54513,0.52396,8,0.02542,0.02004,0.2514,0.4020,0.2173,16.4187,0.49615
DEBY_LOD2_4907204,0.5000,0.4000,0.1000,1.1144,0.3244,0.1117,101104,450.6349,0.0000,0.43069,0.49459,8,0.02743,0.02300,0.2651,0.5157,0.1678,11.5272,0.35851
DEBY_LOD2_4907205,0.4000,0.6667,-0.2667,n/a,n/a,0.1095,5584,53.1511,0.2736,1.35721,0.20449,7,0.02506,0.01975,0.1357,0.3176,0.1851,4.3379,0.70766
DEBY_LOD2_4907206,1.0000,1.0000,0.0000,0.4631,0.3666,0.0872,111173,550.5113,0.0000,0.20940,0.69578,8,0.02962,0.02529,0.2244,0.4392,0.1317,12.1491,0.32973
DEBY_LOD2_4907207,0.8000,0.2000,0.6000,1.6245,0.7054,0.0316,63790,196.5745,0.1852,1.30862,0.55842,8,0.02189,0.01989,0.1452,0.4529,0.0624,17.7157,0.72820
DEBY_LOD2_4907506,0.5000,0.7273,-0.2273,1.7441,0.2327,0.0730,112311,396.3503,0.0915,1.42587,1.10943,8,0.02697,0.02276,0.2156,0.3902,0.0925,5.3862,0.70157
DEBY_LOD2_4907507,0.6667,0.8000,-0.1333,1.4604,0.3197,0.1090,207486,731.3596,0.0000,1.13696,0.90621,8,0.02842,0.02457,0.1973,0.3745,0.1127,10.4495,0.46981
DEBY_LOD2_4907509,0.6667,0.2857,0.3810,3.5554,0.7307,0.1997,22735,70.5176,0.0588,0.79866,0.64041,4,0.03485,0.03332,0.2425,0.3314,0.0988,17.5084,0.61793
DEBY_LOD2_4907514,0.6316,0.7368,-0.1053,1.9049,0.4573,0.3470,229373,762.8272,0.0000,1.02615,0.68872,8,0.02762,0.02554,0.2175,0.4020,0.0750,8.1878,0.44133
DEBY_LOD2_4907515,1.0000,0.8571,0.1429,3.0166,0.3773,0.1532,191571,625.6013,0.0000,0.72279,0.48849,8,0.02453,0.01969,0.1991,0.3765,0.1256,9.4829,0.44497
DEBY_LOD2_4907516,0.6667,0.5000,0.1667,0.9752,0.3114,0.1133,123350,689.9734,0.0000,0.65377,0.86580,8,0.02716,0.02163,0.2284,0.4706,0.1109,10.1725,0.44149
DEBY_LOD2_4907517,0.7692,0.6667,0.1026,4.4443,0.7933,0.1369,134322,681.9587,0.0000,0.66984,0.79674,8,0.02450,0.02315,0.1643,0.3902,0.0624,8.7632,0.48215
DEBY_LOD2_4907518,0.5000,0.5000,0.0000,2.7631,0.7088,0.0787,161921,644.5925,0.0000,0.88853,0.42689,8,0.03121,0.01860,0.1973,0.5000,0.0537,9.0466,0.36663
DEBY_LOD2_4907519,0.6667,0.0870,0.5797,n/a,n/a,0.0378,115080,28.9044,0.6339,2.57892,1.17509,6,0.04686,0.04280,0.2085,0.3647,0.1384,15.6172,0.77458
DEBY_LOD2_4908023,1.0000,1.0000,0.0000,n/a,n/a,0.0108,16849,768.8692,0.0000,0.20168,0.04021,8,0.04920,0.02219,0.1015,0.3588,0.1184,10.1038,0.11449
DEBY_LOD2_4908024,1.0000,1.0000,0.0000,n/a,n/a,0.0349,21489,991.6474,0.0000,0.27073,0.03298,8,0.02079,0.01789,0.0784,0.1569,0.6786,10.2174,0.28265
DEBY_LOD2_4908025,1.0000,1.0000,0.0000,n/a,n/a,0.0089,18996,880.2595,0.0000,0.26993,0.03632,8,0.02066,0.01742,0.0832,0.1039,0.8547,10.0359,0.29126
DEBY_LOD2_4908026,1.0000,1.0000,0.0000,n/a,n/a,0.0386,15544,718.5983,0.0000,0.24038,0.04820,8,0.02151,0.01738,0.0972,0.1275,0.7644,10.5445,0.31689
DEBY_LOD2_4908027,1.0000,1.0000,0.0000,n/a,n/a,0.0053,14633,677.8931,0.0000,0.22038,0.04779,8,0.02498,0.01766,0.0947,0.1216,0.7938,11.5815,0.27342
DEBY_LOD2_4908028,1.0000,1.0000,0.0000,n/a,n/a,0.0267,10931,505.2461,0.0000,0.28049,0.03402,8,0.02028,0.01565,0.0959,0.1255,0.8362,11.4644,0.35416
DEBY_LOD2_4908352,1.0000,1.0000,0.0000,n/a,n/a,0.0390,1318,44.2074,0.0323,0.57140,0.05920,7,0.02378,0.02113,0.1741,0.3098,0.0386,18.0922,0.60228
DEBY_LOD2_4908353,0.8000,0.3333,0.4667,n/a,n/a,0.0360,26037,178.9202,0.0000,0.34123,0.22274,8,0.05453,0.03285,0.2240,0.4039,0.1734,11.9521,0.27429
DEBY_LOD2_4959322,1.0000,1.0000,0.0000,0.5428,0.3284,0.1653,329959,842.7942,0.0000,1.17840,0.79965,8,0.03121,0.02707,0.2098,0.4216,0.0853,9.4590,0.42952
DEBY_LOD2_4959323,0.6667,0.7143,-0.0476,5.5233,0.2387,0.0320,719289,529.3650,0.0000,1.83623,2.08283,7,0.02433,0.02290,0.1804,0.2863,0.0429,12.4707,0.65362
DEBY_LOD2_4959324,0.6667,0.5000,0.1667,n/a,n/a,0.4979,16877,383.1241,0.0000,2.28111,1.90170,5,0.02467,0.02095,0.1773,0.6471,0.0136,16.2851,0.67060
DEBY_LOD2_4959325,0.8571,0.4516,0.4055,2.5506,0.4752,0.0516,168320,204.0223,0.0000,0.54854,1.44051,8,0.04297,0.03493,0.2110,0.4412,0.1313,11.5507,0.45470
DEBY_LOD2_4959327,0.8571,0.8571,0.0000,1.6153,0.5884,0.2737,100711,203.3826,0.0000,0.45064,0.98535,8,0.05385,0.04952,0.1926,0.4039,0.0614,9.9354,0.40004
DEBY_LOD2_4959336,0.8000,0.6667,0.1333,10.8332,1.9645,0.0636,58521,96.0862,0.0753,0.69531,0.42192,8,0.03949,0.03757,0.2697,0.5235,0.1303,15.4124,0.54348
DEBY_LOD2_4959340,1.0000,1.0000,0.0000,1.0451,0.2773,0.0483,38076,98.9699,0.0000,0.58443,0.34384,8,0.02152,0.01964,0.1621,0.7059,0.0410,7.4132,0.53685
DEBY_LOD2_4959457,1.0000,0.5000,0.5000,n/a,n/a,0.0094,538005,392.1822,0.0838,1.98874,2.25692,7,0.05275,0.05116,0.2044,0.4118,0.1323,11.0112,0.64580
DEBY_LOD2_4959458,0.8000,0.8000,0.0000,0.1231,0.0997,0.0265,610121,1014.5163,0.0000,0.96870,0.61423,8,0.03548,0.02774,0.1986,0.3902,0.1343,6.0166,0.35217
DEBY_LOD2_4959459,0.0000,0.0000,0.0000,n/a,n/a,n/a,179887,482.2837,0.0000,0.80298,3.61165,8,0.03634,0.03534,0.1654,0.3804,0.1380,4.7246,0.50356
DEBY_LOD2_4959460,0.4615,0.1538,0.3077,n/a,n/a,0.0091,1686913,358.9627,0.2238,1.51990,0.65202,8,0.03847,0.02803,0.2139,0.5059,0.0668,5.2999,0.61495
DEBY_LOD2_4959461,0.3636,0.3200,0.0436,17.9439,4.2688,0.0977,158007,174.3233,0.0000,0.58345,0.79861,8,0.04282,0.03362,0.1627,0.7020,0.0115,11.7053,0.44331
DEBY_LOD2_4959463,1.0000,0.6667,0.3333,n/a,n/a,0.0058,8460,137.9985,0.0000,0.45333,2.49194,0,n/a,n/a,n/a,n/a,n/a,n/a,0.58214
DEBY_LOD2_4959464,1.0000,0.5000,0.5000,n/a,n/a,0.0076,41711,190.1555,0.0000,0.23495,0.28862,8,0.03075,0.02481,0.2366,0.5275,0.1417,10.4424,0.33246
DEBY_LOD2_4959793,1.0000,1.0000,0.0000,1.0744,0.4815,0.0144,47138,243.0671,0.0052,0.36421,0.36634,8,0.02610,0.02350,0.2243,0.4059,0.2070,8.8648,0.47892
DEBY_LOD2_8573849,0.6087,0.4000,0.2087,3.6126,0.6032,0.1036,179980,214.0827,0.0012,0.33056,0.68189,8,0.03041,0.02662,0.2113,0.4471,0.1469,8.1987,0.47540
