schema_version,condition_id,seed,checkpoint_step,checkpoint_sha256,iter,term,raw,weighted,share,roof_share
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,700,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,800,pho,0.1806131899356842,0.1806131899356842,0.9155219813486152,0.9282041259659611
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,800,dep,6.212827682495117,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,800,nrm,0.4861024022102356,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,800,nc,0.3333146274089813,0.016665732488036156,0.08447801865138486,0.07179587403403885
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,800,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,800,str.cp,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,800,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,900,pho,0.1699610948562622,0.1699610948562622,0.895292072618182,0.9084109908665914
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,900,dep,5.524560928344727,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,900,nrm,0.44874435663223267,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,900,nc,0.39755234122276306,0.019877618178725243,0.10470792738181794,0.09158900913340863
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,900,str.na,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,900,str.cp,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,900,plane,0.0,0.0,0.0,0.0
jointbuildgs.pilot_1wave.scoring.v1,01,1001,20000,484208e4835a29764c52e3f7e3a44874f6a3dbd323501ecb0a913ad0184281c6,1000,pho,0.17986594140529633,0.17986594140529633,0.9264291404301566,0.8868987339667977
