building_id,als_has_lod22,dim_has_lod22,sparse_has_lod22,acmp_has_lod22,gs_sparse_has_lod22,gs_dense_has_lod22,gs_acmp_has_lod22,n_views_nadir,n_views_oblique,n_views_total,median_intersection_deg,median_incidence_deg,roof_area_covered_frac,roof_lowtex_frac,roof_grad_p10,occlusion_frac_approx,footprint_area_m2,n_exterior_vertices
DEBY_LOD2_4907201,1,1,,,,,,11.0,281.0,292.0,,61.52,1.0,0.6509,0.0028,0.0,190.867,13
DEBY_LOD2_4907202,1,1,,,,,,,,,,,,,,,160.461,12
DEBY_LOD2_4907204,1,1,,,,,,11.0,314.0,325.0,,61.84,1.0,0.6503,0.002,0.0,224.359,21
DEBY_LOD2_4907205,1,1,,,,,,7.0,288.0,295.0,,59.56,1.0,0.6033,0.0044,0.75,105.059,14
DEBY_LOD2_4907206,1,1,,,,,,13.0,304.0,317.0,,60.22,1.0,0.6017,0.0028,0.0,201.945,22
DEBY_LOD2_4907207,1,1,,,,,,8.0,252.0,260.0,,63.17,1.0,0.6527,0.0044,0.0,324.508,16
DEBY_LOD2_4907208,0,0,,,,,,,,,,,,,,,284.496,16
DEBY_LOD2_4907505,1,1,,,,,,,,,,,,,,,217.312,7
DEBY_LOD2_4907506,1,1,,,,,,14.0,269.0,283.0,,56.1,1.0,0.6475,0.0028,0.0,283.363,14
DEBY_LOD2_4907507,1,1,,,,,,27.0,270.0,297.0,,54.4,1.0,0.5761,0.0039,0.045,283.699,12
DEBY_LOD2_4907508,1,0,0,1,1,1,1,,,,,,,,,,131.098,7
DEBY_LOD2_4907509,1,1,,,,,,4.0,238.0,242.0,,59.37,0.875,0.5413,0.0044,0.117,322.402,16
DEBY_LOD2_4907510,1,0,0,1,1,1,1,7.0,250.0,260.0,,58.99,1.0,,0.0438,0.488,119.363,10
DEBY_LOD2_4907514,1,1,,,,,,14.0,251.0,265.0,,56.8,0.992,0.6724,0.0039,0.0,300.688,23
DEBY_LOD2_4907515,1,1,,,,,,28.0,247.0,275.0,,51.85,0.983,0.6881,0.0039,0.064,306.219,23
DEBY_LOD2_4907516,1,1,,,,,,34.0,247.0,281.0,,47.33,1.0,0.6843,0.0039,0.086,178.775,4
DEBY_LOD2_4907517,1,1,,,,,,30.0,194.0,224.0,,56.7,1.0,0.7031,0.0039,0.027,196.965,10
DEBY_LOD2_4907518,1,1,,,,,,26.0,213.0,239.0,,59.42,1.0,0.6989,0.0028,0.0,251.199,10
DEBY_LOD2_4907519,1,1,,,,,,6.0,209.0,215.0,,65.08,0.583,0.446,0.0056,0.0,3981.406,44
DEBY_LOD2_4907520,1,1,,,,,,,,,,,,,,,248.691,4
DEBY_LOD2_4907521,1,1,,,,,,,,,,,,,,,302.898,12
DEBY_LOD2_4908023,1,1,1,1,0,1,1,23.0,354.0,377.0,,57.54,1.0,0.3414,0.0056,0.342,21.914,6
DEBY_LOD2_4908024,1,1,,,,,,24.0,343.0,367.0,,57.55,1.0,0.667,0.0044,0.586,21.67,4
DEBY_LOD2_4908025,1,1,,,,,,22.0,354.0,376.0,,57.83,1.0,0.6591,0.0044,0.564,21.58,4
DEBY_LOD2_4908026,1,1,,,,,,22.0,361.0,383.0,,57.23,1.0,0.6336,0.0044,0.539,21.631,4
DEBY_LOD2_4908027,1,1,,,,,,23.0,354.0,377.0,,57.16,1.0,0.6534,0.0044,0.436,21.586,4
DEBY_LOD2_4908028,1,1,,,,,,21.0,359.0,380.0,,56.07,1.0,0.6925,0.0044,0.384,21.635,4
DEBY_LOD2_4908044,1,0,0,0,0,0,0,0.0,182.0,,,,,,,,46.303,4
DEBY_LOD2_4908045,1,0,0,0,0,0,0,0.0,196.0,,,,,,,,55.84,4
DEBY_LOD2_4908046,1,0,0,0,0,1,0,,,,,,,,,,139.031,4
DEBY_LOD2_4908048,1,0,0,0,0,0,0,,,,,,,,,,68.219,9
DEBY_LOD2_4908049,1,0,0,0,0,0,0,0.0,221.0,,,,,,,,49.086,4
DEBY_LOD2_4908050,1,0,0,0,0,0,0,4.0,266.0,272.0,,60.36,1.0,,0.0236,0.82,131.674,4
DEBY_LOD2_4908051,1,0,0,0,0,0,0,0.0,205.0,,,,,,,,141.529,7
DEBY_LOD2_4908052,1,0,0,0,0,0,0,0.0,188.0,,,,,,,,143.561,7
DEBY_LOD2_4908053,1,0,0,0,0,0,0,0.0,181.0,,,,,,,,36.309,7
DEBY_LOD2_4908054,1,0,0,1,0,0,0,21.0,159.0,,,15.0,,,0.0254,,33.605,4
DEBY_LOD2_4908059,0,0,,,,,,,,,,,,,,,87.068,6
DEBY_LOD2_4908157,1,0,0,1,0,0,0,0.0,289.0,,,,,,,,165.051,12
DEBY_LOD2_4908158,1,0,0,0,0,0,0,0.0,278.0,,,,,,,,182.586,8
DEBY_LOD2_4908159,1,0,0,0,0,0,0,0.0,271.0,,,,,,,,37.635,6
DEBY_LOD2_4908160,1,0,0,0,0,0,0,3.0,210.0,,,17.1,,,0.0207,,8.492,5
DEBY_LOD2_4908161,1,0,0,1,0,0,0,0.0,255.0,,,,,,,,454.5,23
DEBY_LOD2_4908162,1,0,0,0,0,0,0,0.0,246.0,,,,,,,,104.742,7
DEBY_LOD2_4908163,1,1,,,,,,,,,,,,,,,56.262,6
DEBY_LOD2_4908164,1,0,0,0,0,0,0,0.0,242.0,,,,,,,,33.271,6
DEBY_LOD2_4908165,1,0,0,0,0,0,0,,,,,,,,,,8.826,4
DEBY_LOD2_4908166,1,0,0,0,0,0,0,4.0,277.0,281.0,,61.97,1.0,,0.0149,0.797,29.086,10
DEBY_LOD2_4908167,1,0,0,1,0,0,0,8.0,283.0,,,10.3,,,0.0215,,33.592,6
DEBY_LOD2_4908168,1,1,,,,,,,,,,,,,,,28.832,6
DEBY_LOD2_4908169,1,0,0,1,0,0,0,13.0,267.0,,,15.6,,,0.0223,,16.934,10
DEBY_LOD2_4908170,1,0,0,0,0,0,0,0.0,273.0,,,,,,,,72.814,6
DEBY_LOD2_4908172,0,0,,,,,,,,,,,,,,,39.803,6
DEBY_LOD2_4908176,1,0,0,1,0,1,0,9.0,303.0,312.0,,57.61,1.0,,0.0331,0.804,35.621,4
DEBY_LOD2_4908178,1,1,,,,,,,,,,,,,,,113.412,4
DEBY_LOD2_4908179,0,0,,,,,,,,,,,,,,,118.25,7
DEBY_LOD2_4908351,1,1,,,,,,,,,,,,,,,55.188,6
DEBY_LOD2_4908352,1,1,,,,,,7.0,247.0,254.0,,58.76,1.0,0.5526,0.0056,0.549,29.814,6
DEBY_LOD2_4908353,1,1,,,,,,8.0,249.0,257.0,,58.76,1.0,0.3802,0.0062,0.265,145.523,8
DEBY_LOD2_4908354,1,1,,,,,,,,,,,,,,,29.193,4
DEBY_LOD2_4959314,0,0,,,,,,,,,,,,,,,833.102,17
DEBY_LOD2_4959320,1,1,,,,,,,,,,,,,,,4781.938,52
DEBY_LOD2_4959322,1,1,,,,,,31.0,347.0,378.0,,59.81,1.0,0.5368,0.0039,0.0,391.506,4
DEBY_LOD2_4959323,1,1,,,,,,7.0,371.0,378.0,,61.94,0.857,0.5817,0.0059,0.0,1358.777,12
DEBY_LOD2_4959324,1,1,,,,,,5.0,351.0,356.0,,59.21,1.0,0.6462,0.0028,0.438,44.051,5
DEBY_LOD2_4959325,1,1,,,,,,9.0,261.0,270.0,,68.08,0.683,0.4613,0.0044,0.0,825.008,21
DEBY_LOD2_4959326,1,1,,,,,,,,,,,,,,,1821.695,22
DEBY_LOD2_4959327,1,1,,,,,,21.0,207.0,228.0,,72.42,0.917,0.2745,0.0098,0.0,495.18,34
DEBY_LOD2_4959336,1,1,,,,,,11.0,161.0,172.0,,80.65,0.883,0.5347,0.0028,0.0,609.047,15
DEBY_LOD2_4959340,1,1,,,,,,12.0,199.0,211.0,,72.94,0.915,0.731,0.002,0.0,384.723,10
DEBY_LOD2_4959457,1,1,,,,,,7.0,361.0,368.0,,63.0,0.867,0.3316,0.0071,0.572,1371.824,11
DEBY_LOD2_4959458,1,1,,,,,,45.0,348.0,393.0,,61.41,0.973,0.5706,0.0039,0.0,601.391,9
DEBY_LOD2_4959459,1,1,,,,,,36.0,425.0,461.0,,59.2,1.0,0.3744,0.0078,0.09,372.99,4
DEBY_LOD2_4959460,1,1,,,,,,52.0,325.0,377.0,,56.7,0.55,0.4465,0.0056,0.0,4699.41,17
DEBY_LOD2_4959461,1,1,,,,,,10.0,229.0,239.0,,67.02,0.754,0.4646,0.0028,0.0,906.402,14
DEBY_LOD2_4959463,1,1,,,,,,0.0,178.0,178.0,,79.73,1.0,,,0.743,61.305,6
DEBY_LOD2_4959464,1,1,,,,,,23.0,157.0,180.0,,62.14,1.0,0.6137,0.0028,0.151,219.352,22
DEBY_LOD2_4959465,0,0,,,,,,,,,,,,,,,212.27,10
DEBY_LOD2_4959753,1,1,,,,,,,,,,,,,,,49.793,7
DEBY_LOD2_4959758,1,0,0,1,0,0,0,,,,,,,,,,116.969,24
DEBY_LOD2_4959759,0,0,,,,,,,,,,,,,,,59.047,6
DEBY_LOD2_4959793,1,1,,,,,,26.0,394.0,420.0,,59.88,1.0,0.523,0.0044,0.311,193.93,4
DEBY_LOD2_60042,1,1,,,,,,,,,,,,,,,3629.75,187
DEBY_LOD2_60097,1,1,,,,,,,,,,,,,,,161.023,9
DEBY_LOD2_60098,1,1,,,,,,,,,,,,,,,195.93,16
DEBY_LOD2_60109,0,0,,,,,,,,,,,,,,,1838.387,13
DEBY_LOD2_8568391,1,0,0,0,0,0,0,4.0,290.0,,,12.3,,,0.0201,,55.535,4
DEBY_LOD2_8568392,1,0,0,0,0,0,0,4.0,270.0,,,14.5,,,0.0168,,5.797,4
DEBY_LOD2_8568403,1,1,,,,,,,,,,,,,,,28.219,4
DEBY_LOD2_8573617,1,0,0,0,0,0,0,0.0,148.0,,,,,,,,34.758,4
DEBY_LOD2_8573847,0,0,,,,,,,,,,,,,,,696.578,29
DEBY_LOD2_8573848,1,1,,,,,,,,,,,,,,,1780.969,40
DEBY_LOD2_8573849,1,1,,,,,,19.0,192.0,211.0,,68.17,0.8,0.5135,0.0056,0.144,840.703,40
