bid,true_type_eval_only,optional_roof_archetype,pipeline_success,val3dity_status,val3dity_valid,h_err,recall_coverage,pred_precision,F_score,vol_ratio,footprint_IoU,Hausdorff,Chamfer,edge_ok,failure_reason
77,tri-slope,hip-like,True,BLOCKED_DEPENDENCY,,1.7763568394002505e-15,0.8691666666666666,0.9425,0.9043491260349587,1.0113815738013499,0.9353973018114606,2.697351738248196,0.31800030054827794,True,VAL3DITY_BLOCKED_DEPENDENCY
78,hip,gable-like,True,BLOCKED_DEPENDENCY,,1.7763568394002505e-15,0.8428333333333333,0.9016666666666666,0.8712579217222381,0.8513199466984209,0.94088971268286,2.716662511498503,0.34240074880515003,True,VAL3DITY_BLOCKED_DEPENDENCY
79,gable,flat-like,True,BLOCKED_DEPENDENCY,,1.7763568394002505e-15,0.991,0.9866666666666667,0.988828585875611,1.0908054321202292,0.9987517664212726,0.8028915731693332,0.18930659614943135,True,VAL3DITY_BLOCKED_DEPENDENCY
80,hip,hip-like,True,BLOCKED_DEPENDENCY,,0.03200000000000003,0.8306666666666667,0.8985,0.8632528192771085,0.9096534079504256,0.9976076640430475,3.3783283694713866,0.3873629813705626,True,VAL3DITY_BLOCKED_DEPENDENCY
81,hip,gable-like,True,BLOCKED_DEPENDENCY,,0.0010000000000012221,0.8928333333333334,0.9135,0.9030484406717106,0.963408687367509,0.9874731504901757,2.4149924149896917,0.2844376076097718,True,VAL3DITY_BLOCKED_DEPENDENCY
82,hip,hip-like,True,BLOCKED_DEPENDENCY,,3.552713678800501e-15,0.8928333333333334,0.9156666666666666,0.9041058581390348,0.9211160869657496,0.9872166343155294,3.059727084878721,0.29019932111183067,True,VAL3DITY_BLOCKED_DEPENDENCY
83,hip,gable-like,True,BLOCKED_DEPENDENCY,,0.0,0.8745,0.9123333333333333,0.8930161365544258,0.9164543755785983,0.999981063506137,3.1895381644596914,0.33301010331847547,True,VAL3DITY_BLOCKED_DEPENDENCY
84,gable,complex-like,True,BLOCKED_DEPENDENCY,,0.0,0.7835,0.8493333333333334,0.8150895171991426,0.7225425856269241,0.9867515515505735,5.567741282814615,0.46825477452462727,True,VAL3DITY_BLOCKED_DEPENDENCY
85,gable,gable-like,True,BLOCKED_DEPENDENCY,,0.0,0.8196666666666667,0.8155,0.817578024666191,0.3487670298146591,0.9981618055118006,3.6630592310224817,0.44377863136551476,True,VAL3DITY_BLOCKED_DEPENDENCY
86,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.37769999999999726,0.8698333333333333,0.9011666666666667,0.8852228182445575,1.1367672838596863,0.9918339350511614,3.185087169360264,0.3202252258037275,True,VAL3DITY_BLOCKED_DEPENDENCY
87,complex,hip-like,True,BLOCKED_DEPENDENCY,,1.6019999999999968,0.8086666666666666,0.8985,0.8512197598359855,0.7340298524630714,0.9999645807074868,3.8036838385851346,0.38088770215924517,True,VAL3DITY_BLOCKED_DEPENDENCY
88,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.0589999999999975,0.876,0.9448333333333333,0.9091156064073227,0.9577073744101391,0.9955776358731117,2.4133085855279997,0.2915656291587848,True,VAL3DITY_BLOCKED_DEPENDENCY
89,gable,gable-like,True,BLOCKED_DEPENDENCY,,0.0,0.8858333333333334,0.9238333333333333,0.9044343648308466,0.9327853696431653,0.9991651289007732,2.312595281119094,0.27650487677388425,True,VAL3DITY_BLOCKED_DEPENDENCY
90,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.33899999999999864,0.8588333333333333,0.899,0.8784577605006163,0.8488679076675996,0.9993697969154686,2.7324211651053534,0.32992340250109664,True,VAL3DITY_BLOCKED_DEPENDENCY
91,hip,hip-like,True,BLOCKED_DEPENDENCY,,0.0,0.9026666666666666,0.9285,0.9154011104032037,0.44528779481026576,0.9947986750234412,2.5328666398420583,0.27601416867819606,True,VAL3DITY_BLOCKED_DEPENDENCY
92,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,0.0,0.979,0.9841666666666666,0.9815765345105697,0.9930931483353401,0.9999436872198896,1.2502117685000527,0.2045332300856562,True,VAL3DITY_BLOCKED_DEPENDENCY
93,tri-slope,hip-like,True,BLOCKED_DEPENDENCY,,0.0,0.9828333333333333,0.9898333333333333,0.986320913596936,1.001114517360576,0.9997101564923246,1.3523905909459504,0.20261808739829662,True,VAL3DITY_BLOCKED_DEPENDENCY
94,complex,gable-like,True,BLOCKED_DEPENDENCY,,3.696999999999999,0.7398333333333333,0.8466666666666667,0.7896529747522499,0.9109259605387143,0.9831666593439332,4.111750024900615,0.488009533214806,True,VAL3DITY_BLOCKED_DEPENDENCY
95,tri-slope,hip-like,True,BLOCKED_DEPENDENCY,,0.955999999999996,0.867,0.9133333333333333,0.8895637521063472,0.8855950580280321,0.9788655483710809,4.544688128990204,0.34439425640926047,True,VAL3DITY_BLOCKED_DEPENDENCY
96,hip,gable-like,True,BLOCKED_DEPENDENCY,,0.14199999999999946,0.7906666666666666,0.8896666666666667,0.8372502810288964,0.8297764667291011,0.9999502594445555,7.569323090721978,0.5398156564729192,True,VAL3DITY_BLOCKED_DEPENDENCY
97,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,0.7210000000000001,0.8666666666666667,0.9273333333333333,0.8959742351046699,0.9053436876689309,0.9998240301812272,2.5270333096839392,0.32373377286928945,True,VAL3DITY_BLOCKED_DEPENDENCY
98,hip,hip-like,True,BLOCKED_DEPENDENCY,,0.2639999999999958,0.8955,0.9105,0.902937707641196,1.3220362088791404,0.999705322959847,2.9892221935401038,0.312515769889296,True,VAL3DITY_BLOCKED_DEPENDENCY
99,hip,hip-like,True,BLOCKED_DEPENDENCY,,0.09409999999999741,0.8831666666666667,0.907,0.8949246811283865,1.4170705952750084,0.9856122916081776,2.632000383754214,0.29621048994595206,True,VAL3DITY_BLOCKED_DEPENDENCY
100,gable,flat-like,True,BLOCKED_DEPENDENCY,,3.552713678800501e-15,0.9556666666666667,0.9588333333333333,0.9572473810974725,1.0902468720923524,0.9999774606839551,1.0416917458999344,0.21853612792619637,True,VAL3DITY_BLOCKED_DEPENDENCY
101,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.05799999999999983,0.9058333333333334,0.9066666666666666,0.9062498084291187,0.7942758604796507,0.9806650242024934,2.230908155329416,0.2724068327941179,True,VAL3DITY_BLOCKED_DEPENDENCY
102,complex,hip-like,True,BLOCKED_DEPENDENCY,,2.115999999999996,0.7068333333333333,0.796,0.7487714317400467,0.420198752622525,0.9960945883146617,6.43848957120124,0.6569535450001123,True,VAL3DITY_BLOCKED_DEPENDENCY
103,gable,gable-like,True,BLOCKED_DEPENDENCY,,3.552713678800501e-15,0.9933333333333333,0.9938333333333333,0.9935832704297017,1.000000000000007,0.9999999999999989,0.7664878585242747,0.2005103433022415,True,VAL3DITY_BLOCKED_DEPENDENCY
104,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,1.0,1.0,1.0,1.0000000000000053,0.9999999999999917,0.23098557881684537,0.06484289141064387,True,VAL3DITY_BLOCKED_DEPENDENCY
105,tri-slope,gable-like,True,BLOCKED_DEPENDENCY,,3.552713678800501e-15,0.7545,0.8536666666666667,0.8010258057829827,0.8378806724506811,0.999953648464781,5.420301768195252,0.5062401633810247,True,VAL3DITY_BLOCKED_DEPENDENCY
106,gable,gable-like,True,BLOCKED_DEPENDENCY,,3.347999999999999,0.8625,0.92,0.8903225806451613,0.911495175064253,0.9999809690711623,3.488421744113072,0.3495160948693113,True,VAL3DITY_BLOCKED_DEPENDENCY
107,complex,hip-like,True,BLOCKED_DEPENDENCY,,0.1649999999999956,0.8583333333333333,0.911,0.8838828183873398,1.05575327479716,0.9999626641078139,2.51384781023443,0.32654745016190834,True,VAL3DITY_BLOCKED_DEPENDENCY
108,tri-slope,hip-like,True,BLOCKED_DEPENDENCY,,0.8350000000000009,0.8761666666666666,0.921,0.8980241120281925,0.9455225915614187,0.9985555543358605,2.3619037801445355,0.3120235359701786,True,VAL3DITY_BLOCKED_DEPENDENCY
109,complex,gable-like,True,BLOCKED_DEPENDENCY,,3.552713678800501e-15,0.8673333333333333,0.9021666666666667,0.8844071457725032,0.6209051827926159,0.9984262407216282,2.7120328624522276,0.35464188089886983,True,VAL3DITY_BLOCKED_DEPENDENCY
110,gable,flat-like,True,BLOCKED_DEPENDENCY,,0.9310000000000009,0.9876666666666667,0.9933333333333333,0.9904918952268776,0.9951397945044904,0.999999999999999,1.0105170406409612,0.19908029345689565,True,VAL3DITY_BLOCKED_DEPENDENCY
111,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,1.0,1.0,1.0,1.0017213147115518,0.9963261623886684,0.24872467526686684,0.05733182386564786,True,VAL3DITY_BLOCKED_DEPENDENCY
112,flat,flat-like,True,BLOCKED_DEPENDENCY,,0.0,1.0,1.0,1.0,1.0016091121591324,0.9983221528896661,0.19159761709853743,0.06021211153586968,True,VAL3DITY_BLOCKED_DEPENDENCY
113,flat,flat-like,True,BLOCKED_DEPENDENCY,,4.440892098500626e-16,1.0,1.0,1.0,0.9999690136436776,0.9999999999999999,0.247046611479334,0.06777264378839386,True,VAL3DITY_BLOCKED_DEPENDENCY
