building_id,setting,run_name,coverage_pre_minobs,coverage_post_minobs,coverage_post_sor,has_lod22,val3dity_valid,completeness,correctness,ref_rms_m,shell_bucket
DEBY_LOD2_60098,sor_weak,gs_e5_C001_acmp_r2,0.9987244897959183,0.4336734693877551,0.288265306122449,true,true,0.5000,1.0000,6.1451,조립
DEBY_LOD2_60098,sor_off,gs_e5_C001_sparse_r1,1.0,0.20408163265306123,0.20408163265306123,true,true,0.5000,1.0000,3.3399,조립
DEBY_LOD2_60098,sor_off,gs_e5_C001_sparse_r2,0.9974489795918368,0.3163265306122449,0.3163265306122449,true,false,1.0000,0.6667,3.6536,무효·붕괴
DEBY_LOD2_60098,sor_off,gs_e5_C001_dense_r1,1.0,0.36989795918367346,0.36989795918367346,true,true,1.0000,0.5000,4.5574,조립
DEBY_LOD2_60098,sor_off,gs_e5_C001_dense_r2,1.0,0.37244897959183676,0.37244897959183676,true,false,0.5000,0.2500,7.2520,무효·붕괴
DEBY_LOD2_60098,sor_off,gs_e5_C001_acmp_r1,0.9974489795918368,0.475765306122449,0.475765306122449,true,false,1.0000,0.6667,6.6100,무효·붕괴
DEBY_LOD2_60098,sor_off,gs_e5_C001_acmp_r2,0.9987244897959183,0.4336734693877551,0.4336734693877551,true,true,1.0000,0.6667,2.2332,조립
DEBY_LOD2_60098,voxel03,gs_e5_C001_sparse_r1,1.0,0.047193877551020405,0.003826530612244898,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel03,gs_e5_C001_sparse_r2,0.9987244897959183,0.07653061224489796,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel03,gs_e5_C001_dense_r1,1.0,0.09693877551020408,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel03,gs_e5_C001_dense_r2,1.0,0.09311224489795919,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel03,gs_e5_C001_acmp_r1,0.9974489795918368,0.14158163265306123,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel03,gs_e5_C001_acmp_r2,0.9987244897959183,0.10714285714285714,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel02,gs_e5_C001_sparse_r1,1.0,0.012755102040816327,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel02,gs_e5_C001_sparse_r2,0.9974489795918368,0.011479591836734694,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel02,gs_e5_C001_dense_r1,1.0,0.01403061224489796,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel02,gs_e5_C001_dense_r2,1.0,0.01403061224489796,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel02,gs_e5_C001_acmp_r1,0.9974489795918368,0.01020408163265306,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,voxel02,gs_e5_C001_acmp_r2,0.9987244897959183,0.02040816326530612,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_60098,relaxed,gs_e5_C001_sparse_r1,1.0,1.0,1.0,true,false,1.0000,0.0571,22.6082,무효·붕괴
DEBY_LOD2_60098,relaxed,gs_e5_C001_sparse_r2,0.9987244897959183,0.9987244897959183,0.9987244897959183,true,false,1.0000,0.0645,19.0156,무효·붕괴
DEBY_LOD2_60098,relaxed,gs_e5_C001_dense_r1,1.0,1.0,1.0,true,false,1.0000,0.0455,15.8661,무효·붕괴
DEBY_LOD2_60098,relaxed,gs_e5_C001_dense_r2,1.0,1.0,1.0,true,false,1.0000,0.0833,15.5170,무효·붕괴
DEBY_LOD2_60098,relaxed,gs_e5_C001_acmp_r1,0.9974489795918368,0.9974489795918368,0.9974489795918368,true,true,1.0000,0.1333,14.6832,조립
DEBY_LOD2_60098,relaxed,gs_e5_C001_acmp_r2,0.9987244897959183,0.9987244897959183,0.9987244897959183,true,false,1.0000,0.0408,14.0725,무효·붕괴
DEBY_LOD2_8568391,base,gs_e5_C001_sparse_r1,1.0,0.2850678733031674,0.13574660633484162,true,true,0.0000,0.0000,9.9430,조립
DEBY_LOD2_8568391,base,gs_e5_C001_sparse_r2,0.995475113122172,0.07692307692307693,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,base,gs_e5_C001_dense_r1,1.0,0.06334841628959276,0.02262443438914027,true,true,0.0000,0.0000,10.8430,조립
DEBY_LOD2_8568391,base,gs_e5_C001_dense_r2,1.0,0.20361990950226244,0.08597285067873303,true,true,1.0000,1.0000,1.3269,조립
DEBY_LOD2_8568391,base,gs_e5_C001_acmp_r1,0.995475113122172,0.049773755656108594,0.01809954751131222,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,base,gs_e5_C001_acmp_r2,1.0,0.1085972850678733,0.027149321266968326,true,true,0.0000,0.0000,37.8450,무효·붕괴
DEBY_LOD2_8568391,minobs2,gs_e5_C001_sparse_r1,1.0,0.8868778280542986,0.7601809954751131,true,true,0.0000,0.0000,9.9045,조립
DEBY_LOD2_8568391,minobs2,gs_e5_C001_sparse_r2,0.995475113122172,0.23529411764705882,0.167420814479638,true,true,1.0000,1.0000,3.7773,조립
DEBY_LOD2_8568391,minobs2,gs_e5_C001_dense_r1,1.0,0.5067873303167421,0.39819004524886875,true,true,0.0000,0.0000,11.1598,조립
DEBY_LOD2_8568391,minobs2,gs_e5_C001_dense_r2,1.0,0.7149321266968326,0.5475113122171946,true,true,1.0000,0.5000,10.6314,조립
DEBY_LOD2_8568391,minobs2,gs_e5_C001_acmp_r1,0.995475113122172,0.21266968325791855,0.09502262443438914,true,true,0.0000,0.0000,44.4406,무효·붕괴
DEBY_LOD2_8568391,minobs2,gs_e5_C001_acmp_r2,1.0,0.6877828054298643,0.35294117647058826,true,true,1.0000,1.0000,3.3914,조립
DEBY_LOD2_8568391,minobs1,gs_e5_C001_sparse_r1,1.0,1.0,1.0,true,false,0.0000,0.0000,16.8640,무효·붕괴
DEBY_LOD2_8568391,minobs1,gs_e5_C001_sparse_r2,0.995475113122172,0.995475113122172,0.9773755656108597,true,true,0.0000,0.0000,14.8315,조립
DEBY_LOD2_8568391,minobs1,gs_e5_C001_dense_r1,1.0,1.0,1.0,true,true,0.0000,0.0000,11.8102,조립
DEBY_LOD2_8568391,minobs1,gs_e5_C001_dense_r2,1.0,1.0,1.0,true,true,1.0000,0.1111,9.8416,조립
DEBY_LOD2_8568391,minobs1,gs_e5_C001_acmp_r1,0.995475113122172,0.995475113122172,0.8506787330316742,true,true,0.0000,0.0000,26.6228,조립
DEBY_LOD2_8568391,minobs1,gs_e5_C001_acmp_r2,1.0,1.0,1.0,true,false,1.0000,0.2500,11.0707,무효·붕괴
DEBY_LOD2_8568391,sor_weak,gs_e5_C001_sparse_r1,1.0,0.2850678733031674,0.18099547511312217,true,true,0.0000,0.0000,9.9430,조립
DEBY_LOD2_8568391,sor_weak,gs_e5_C001_sparse_r2,0.995475113122172,0.07692307692307693,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,sor_weak,gs_e5_C001_dense_r1,1.0,0.06334841628959276,0.027149321266968326,true,true,0.0000,0.0000,10.8430,조립
DEBY_LOD2_8568391,sor_weak,gs_e5_C001_dense_r2,1.0,0.20361990950226244,0.12669683257918551,true,true,1.0000,1.0000,1.2353,조립
DEBY_LOD2_8568391,sor_weak,gs_e5_C001_acmp_r1,0.995475113122172,0.049773755656108594,0.02262443438914027,true,true,0.0000,0.0000,57.3445,무효·붕괴
DEBY_LOD2_8568391,sor_weak,gs_e5_C001_acmp_r2,1.0,0.1085972850678733,0.04072398190045249,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,sor_off,gs_e5_C001_sparse_r1,1.0,0.2850678733031674,0.2850678733031674,true,true,0.0000,0.0000,9.9430,조립
DEBY_LOD2_8568391,sor_off,gs_e5_C001_sparse_r2,0.995475113122172,0.07692307692307693,0.07692307692307693,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,sor_off,gs_e5_C001_dense_r1,1.0,0.06334841628959276,0.06334841628959276,true,true,0.0000,0.0000,10.8430,조립
DEBY_LOD2_8568391,sor_off,gs_e5_C001_dense_r2,1.0,0.20361990950226244,0.20361990950226244,true,true,1.0000,1.0000,1.2008,조립
DEBY_LOD2_8568391,sor_off,gs_e5_C001_acmp_r1,0.995475113122172,0.049773755656108594,0.049773755656108594,true,true,0.0000,0.0000,57.4407,무효·붕괴
DEBY_LOD2_8568391,sor_off,gs_e5_C001_acmp_r2,1.0,0.1085972850678733,0.1085972850678733,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel03,gs_e5_C001_sparse_r1,1.0,0.03167420814479638,0.013574660633484163,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel03,gs_e5_C001_sparse_r2,0.995475113122172,0.0,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel03,gs_e5_C001_dense_r1,1.0,0.004524886877828055,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel03,gs_e5_C001_dense_r2,1.0,0.04072398190045249,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel03,gs_e5_C001_acmp_r1,0.9909502262443439,0.00904977375565611,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel03,gs_e5_C001_acmp_r2,1.0,0.01809954751131222,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel02,gs_e5_C001_sparse_r1,1.0,0.004524886877828055,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel02,gs_e5_C001_sparse_r2,0.995475113122172,0.0,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel02,gs_e5_C001_dense_r1,1.0,0.0,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel02,gs_e5_C001_dense_r2,1.0,0.0,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel02,gs_e5_C001_acmp_r1,0.995475113122172,0.004524886877828055,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,voxel02,gs_e5_C001_acmp_r2,1.0,0.0,0.0,false,true,0.0000,,,미조립
DEBY_LOD2_8568391,relaxed,gs_e5_C001_sparse_r1,1.0,1.0,1.0,true,true,0.0000,0.0000,13.9668,조립
DEBY_LOD2_8568391,relaxed,gs_e5_C001_sparse_r2,0.995475113122172,0.995475113122172,0.995475113122172,true,true,0.0000,0.0000,16.9087,조립
DEBY_LOD2_8568391,relaxed,gs_e5_C001_dense_r1,1.0,1.0,1.0,true,true,0.0000,0.0000,10.8752,조립
DEBY_LOD2_8568391,relaxed,gs_e5_C001_dense_r2,1.0,1.0,1.0,true,false,1.0000,0.1000,11.9141,무효·붕괴
DEBY_LOD2_8568391,relaxed,gs_e5_C001_acmp_r1,0.9909502262443439,0.9909502262443439,0.9909502262443439,true,true,0.0000,0.0000,33.3513,조립
DEBY_LOD2_8568391,relaxed,gs_e5_C001_acmp_r2,1.0,1.0,1.0,true,true,1.0000,0.1429,14.6450,조립
