selection_rank,building_id,tier,role,calibration_exposed,later_extension_judgment_eligible,centroid_x_m,centroid_y_m,core_footprint_distance_m,als_density_pts_m2,dim_density_pts_m2,support_geomean_pts_m2,maximin_distance_m,stable_tie_sha256,selection_reason,screen_uses_correspondence_residuals,screen_roof_fixed_points,screen_roof_moving_points,screen_roof_fixed_valid_normals,screen_roof_moving_valid_normals,screen_roof_pass,screen_ground_fixed_points,screen_ground_moving_points,screen_ground_fixed_valid_normals,screen_ground_moving_valid_normals,screen_ground_pass,geometry_feasibility_pass,prior_lock1_role,prior_fit_residual_exposed
23,DEBY_LOD2_42364657,surface,trigger,true,false,691131.162553691,5336349.097399662,56.593821227,16.689976000,54.701176000,30.215249703,57.256981790,f4c12f6d06931fe6b6bbd0aba85193889cc6cbe9e8c995d1f27d9a0696aabf32,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,540,698,540,698,true,1607,1372,1605,1327,true,true,trigger,false
24,DEBY_LOD2_4959326,surface,check,true,false,691092.875367550,5336183.102069762,67.027374744,16.059464000,161.563446000,50.937435593,55.157264884,a5d6221ab9616e0efcc14fcaf005c9eb76ae2f6d102b7a8d59f33ac3c4b7aae2,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,1963,1949,true,2500,2500,2497,2387,true,true,trigger,false
25,DEBY_LOD2_4907521,surface,trigger,true,false,690985.817021740,5335886.178818226,116.870458201,20.221304000,112.250618000,47.642983437,54.287701464,e1387a4311710cb30f09d51dab8a70e56c7e156344c3da15f489fb20a04d3e23,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2071,2500,2034,2494,true,2500,2021,2500,1788,true,true,check,false
26,DEBY_LOD2_4907018,surface,check,true,false,690935.257659698,5336317.996599664,28.491360251,18.660175000,82.432159000,39.219873949,47.081241229,bf3813bf47da38ca930d546102dfc25ed69f58e1c0737f73dbda1ce9cf8a79ec,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,1986,2423,1961,2405,true,1772,2195,1772,2154,true,true,,false
27,DEBY_LOD2_4906974,surface,trigger,true,false,690965.812515733,5335951.412714191,72.527256030,18.601265000,298.867096000,74.560754103,44.201031685,3b53ba0df04cc840bb505949321844c09ec68633d6b0247753f6e074eb376ff6,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,1941,2500,1937,2321,true,2248,2500,2248,2054,true,true,,false
28,DEBY_LOD2_4906988,surface,check,true,false,691016.840615715,5336345.501552781,82.451347139,18.236641000,70.709923000,35.909768600,39.874306577,b75690b9254b857000081317ab7bf7c5185c3cc59be9f74b34b174002212c6ee,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,754,990,752,943,true,603,1196,603,1056,true,true,,false
29,DEBY_LOD2_4959322,surface,trigger,true,false,691055.323785942,5336128.804360966,111.754547581,21.183098000,808.390564000,130.859529800,34.595140550,054b75eb350d40626c80166fc111640a91c0653ee0598dfb608ed25507d9f4f4,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,2379,2351,true,1517,2500,1517,2224,true,true,trigger,false
30,DEBY_LOD2_4906970,surface,check,true,false,690929.854180369,5335942.267648718,41.494241769,19.582491000,759.703247000,121.970824368,33.764141804,6da9ec6a1ef453c32e9d501cf1b4444109e6a29ac693d7616e166c63c539de07,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,1197,2500,1151,2086,true,1063,2500,1063,1892,true,true,trigger,false
31,DEBY_LOD2_4959457,surface,trigger,true,false,691031.609180635,5336020.976801465,115.639308723,19.026808000,378.108307000,84.818595606,33.363217265,f3cf177575f06d235beee97ebcee485170bf5af45a17578cc81df43b6a3c4705,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,2257,1923,true,2500,2500,2498,2408,true,true,trigger,false
32,DEBY_LOD2_4959324,surface,check,true,false,691042.094453550,5336073.987161035,115.682254028,14.436782000,342.090912000,70.275827428,32.800381617,1b02763fcbd1d3feabca08fc56b41a9ecee728ca59dce4a81a92110f6fb7673d,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,231,590,228,532,true,441,768,441,760,true,true,check,false
33,DEBY_LOD2_4906981,surface,trigger,true,false,691005.607301739,5335944.062050009,101.523930676,19.260017000,518.116882000,99.894644277,31.114204251,9f9f6a3df086930844ebedeacddf28ecdb59767c7a6ee9606d492f2e7218db4e,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2500,2500,2418,2436,true,2500,2500,2500,2292,true,true,trigger,false
34,DEBY_LOD2_4906998,surface,check,true,false,690943.855280042,5336347.612944294,59.849381556,17.925018000,79.478508000,37.744584863,30.839049026,4d68cd4c6251664c743c9dfd73bece4693c27f174c6a50ebf79036eb93df5c33,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2439,1708,2421,1700,true,1905,2421,1904,2421,true,true,check,false
35,DEBY_LOD2_4959459,surface,trigger,true,false,691028.795238919,5336113.614315253,90.337858869,16.080320000,458.701477000,85.884029567,28.468293371,825a533dd2ce55ac17766663a9e4a57b271c6c01e579b28d6d8aaa303b68f022,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2481,2500,2358,1743,true,1289,2500,1287,2040,true,true,check,false
36,DEBY_LOD2_4906976,surface,check,true,false,690974.938640848,5335924.581824469,82.739314114,20.007313000,582.755493000,107.978569869,28.340479933,1d1ab4205ed0b5e248719a306ddf8417a71d35ffc6ad1630c5e361443faf776f,extension_allowed_tier_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;pre_role_geometry_feasibility_pass;support_seed_then_centroid_maximin,False,2038,2500,1993,1990,true,1595,2500,1595,2216,true,true,trigger,false
