run,label,bid,status,is_B104,is_B6,is_roof_complex,is_terrain_sensitive,n_evidence_points,lmu5_proxy,lmu5_roof_p10,lmu5_terrain_p90,lmu5_margin,lmu5_violation_frac,lmu6_proxy,lmu6_roof_mismatch,lmu6_wall_mismatch,lmu6_terrain_mismatch,lmu6_gate_rate,lmu6_entropy_mean,lmu7_proxy,lmu7_roof_wall_edges,lmu7_missing_adjacency_frac,lmu7_normal_parallel_violation,lmu7_height_order_violation,lmu8_proxy,lmu8_wall_ground_edges,lmu8_missing_adjacency_frac,lmu8_wall_ground_gap,lmu8_topology_penalty,F,roof_cov,wall_cov,ground_cov,support_cov,roof_support_cov,wall_support_cov,ground_support_cov,h_err,vol_ratio,chamfer,open_edges,non_manifold_edges
A1_original_mutual,Original Mutual,B0,OK,0,0,0,0,4915,0.0,16.121976470947267,0.3272486805915836,15.794727790355683,0.0,0.013470170364663856,9.116244436637659e-05,0.01262466070007864,0.0007543472202188385,0.9995930824008138,0.03684145386839079,0.09558018826534258,12.0,0.0,0.19116037653068516,0.0,0.0,12.0,0.0,0.0,0.0,0.9549243455497382,0.7483333333333333,0.9666666666666667,1.0,0.6006666666666667,0.871,0.692,0.265,0.46202842373479314,1.0815598922383673,0.2309496272258772,0,0
A1_original_mutual,Original Mutual,B1,OK,0,0,0,0,4971,0.0,16.95612030029297,0.39051494598388675,16.56560535430908,0.0,0.013178819358915373,6.141137856858196e-05,0.012724653783799483,0.0003927541965473071,0.99979883323275,0.03784042782391845,0.10829706361913165,6.0,0.0,0.2165941272382633,0.0,0.0,6.0,0.0,0.0,0.0,0.8878400125136868,0.367,0.928,0.9976666666666667,0.4096666666666667,0.658,0.504,0.091,0.6473119613823748,0.6166804284718844,0.28862987181908406,0,0
A1_original_mutual,Original Mutual,B2,OK,0,0,0,0,3824,0.0,13.960152435302735,0.3309929013252261,13.629159533977509,0.0,0.008387425990838377,5.509569503341707e-05,0.008003064376731178,0.00032926591907378146,0.9994769874476988,0.03286441391907551,0.0016333131970484073,6.0,0.0,0.0032666263940968145,0.0,0.0,6.0,0.0,0.0,0.0,0.9292056915672736,0.552,0.9633333333333334,1.0,0.426,0.728,0.431,0.204,0.5386704911186442,2.035788410993419,0.2467243373951358,0,0
A1_original_mutual,Original Mutual,B8,OK,0,0,0,0,4553,0.0,14.034090900421143,0.36539180278778066,13.668699097633363,0.0,0.012654087143851666,3.005995533315326e-05,0.012247583352259407,0.0003764438362591067,0.9927520316274984,0.04511860878419114,0.16249985510551263,8.0,0.0,0.32499971021102525,0.0,0.0,8.0,0.0,0.0,0.0,0.8992776285317277,1.0,0.9793333333333333,0.0,0.557,1.0,0.459,0.199,0.6263091740178695,1.5798931257439746,0.22233136155024188,0,0
A1_original_mutual,Original Mutual,B6,OK,0,1,0,1,3280,0.0,14.871149444580078,0.30304586887359597,14.568103575706482,0.0,0.026928005625097066,0.00013048056699730716,0.026485998014215802,0.00031152704388395303,0.999390243902439,0.07576125598290408,0.11906168392785481,12.0,0.0,0.23812336785570962,0.0,0.0,12.0,0.0,0.0,0.0,0.926834067547724,0.5293333333333333,0.94,1.0,0.4159999999999999,0.726,0.395,0.122,3.0158913768134106,0.6514979676782794,0.27100171337727874,0,0
A1_original_mutual,Original Mutual,B3,OK,0,0,1,0,28256,0.0,3.3089950561523436,1.1490310668945312,2.1599639892578124,0.0,0.013487266366970603,8.794806136263171e-05,0.013177752493688107,0.00022156581191986574,0.9956115515288788,0.049241568151010474,0.20785944369932693,42.0,0.0,0.41571888739865387,0.0,0.0,42.0,0.0,0.0,0.0,0.46068763557483733,0.15066666666666667,0.621,0.9186666666666666,0.2843333333333333,0.293,0.477,0.098,3.382978330624809,0.937636975017583,1.001439148696024,0,0
A1_original_mutual,Original Mutual,B123,OK,0,0,1,0,27205,0.0,4.512012481689453,0.4262633234262466,4.085749158263207,0.0,0.012441898119574756,5.298807293813897e-05,0.012087286541604559,0.00030162350503205545,0.9960301415181033,0.044455958412635554,0.04729938675305792,28.0,0.0,0.09459877350611584,0.0,0.0,28.0,0.0,0.0,0.0,0.5668922504528321,0.15433333333333332,0.6373333333333333,0.8723333333333333,0.3876666666666666,0.328,0.698,0.174,0.39312240538875187,0.6657199415269627,0.843979597167837,0,0
A1_original_mutual,Original Mutual,B126,OK,0,0,1,0,17960,0.0,4.163778305053711,0.44040408730506886,3.723374217748642,0.0,0.01609166288133317,8.587754354566404e-05,0.01577760461095495,0.00022818072683255278,0.9986636971046771,0.056023680005212316,0.12823620226846344,25.0,0.0,0.2564724045369269,0.0,0.0,25.0,0.0,0.0,0.0,0.5174477876106195,0.14633333333333334,0.6116666666666667,0.908,0.26999999999999996,0.207,0.502,0.079,1.0647613350602043,0.5459773547794257,1.057077187504958,0,0
A1_original_mutual,Original Mutual,B50,OK,0,0,0,1,4375,0.0,16.5704704284668,0.3993217349052429,16.171148693561555,0.0,0.023693303062070754,9.703005688922753e-05,0.023376920441988712,0.00021935256319281546,1.0,0.06101639981021705,0.028147751934961336,10.0,0.0,0.05629550386992267,0.0,0.0,10.0,0.0,0.0,0.0,0.9260741473949429,0.5423333333333333,0.9476666666666667,1.0,0.47733333333333333,0.934,0.378,0.109,0.08816410382755535,1.0255850735660317,0.25402993015160386,0,0
A1_original_mutual,Original Mutual,B104,OK,1,0,0,1,695,0.0,3.615780544281006,0.5639811933040619,3.0517993509769443,0.0,0.03068642060367139,1.9158601587184804e-05,0.029521188658364436,0.001146073343719764,0.9884892086330935,0.11318786544746237,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7393333333333333,1.0,0.682,0.52,0.1967814897753315,1.032100200441056,0.08191754093314199,0,0
A4_terrain_normal_only,A4 terrain-normal-only,B0,OK,0,0,0,0,4920,0.0,16.112615966796874,0.3082893580198289,15.804326608777044,0.0,0.03120124846897461,0.00013589942662456904,0.0291064208205494,0.001958928221800642,0.9995934959349594,0.06920417206050976,0.12543400630916332,12.0,0.0,0.25086801261832664,0.0,0.0,12.0,0.0,0.0,0.0,0.9460872820151489,0.6433333333333333,0.9693333333333334,1.0,0.583,0.798,0.707,0.248,0.25676381209989074,1.426651070616241,0.223299399451792,0,0
A4_terrain_normal_only,A4 terrain-normal-only,B1,OK,0,0,0,0,4996,0.0,16.965519523620607,0.514683049917221,16.450836473703387,0.0,0.02214202425693244,6.19866489484781e-05,0.021009587193376117,0.0010704504146078428,0.9985988791032826,0.07182691487451943,0.10697393765413592,6.0,0.0,0.21394787530827183,0.0,0.0,6.0,0.0,0.0,0.0,0.988416491020993,1.0,0.9473333333333334,1.0,0.528,1.0,0.523,0.068,0.09407621698686341,0.9246004954623194,0.2224409436218248,0,0
