bid,source,stage3_algo_version,metric_version,status,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,roof_support_cov,wall_support_cov,ground_support_cov,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,metric_artifact_dir,readout_artifact_dir,failure_reason
B3,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,OK,83,40,42,1,0.15133333333333332,0.595,0.7856666666666666,0.7943333333333333,1.2347575861805968e-15,7.458152980196018e-15,0.26499999999999996,0.294,0.435,0.066,0.4155459827689842,0.4035,0.42833333333333334,2.4719599680153728,0.9650696589013706,10.792512052760957,1.0535737803904188,1.0,True,0,0,42,42,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v0/E1_Baseline_rendered/B3,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B3,
B3,E1_Baseline_rendered,Stage3Algo-v0,Metric-v1,OK,83,40,42,1,0.14966666666666667,0.609,0.7763333333333333,0.7798333333333334,1.2347575861805968e-15,7.458152980196018e-15,0.25266666666666665,0.321,0.407,0.065,0.40331385102574696,0.3948333333333333,0.4121666666666667,2.4719599680153728,0.9650653233730663,11.121050384368926,1.0849839789180125,1.0,True,0,0,42,42,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v0/E1_Baseline_rendered/B3,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B3,
B3,E1_Baseline_rendered,Stage3Algo-v1,Metric-v1,OK,83,40,42,1,0.14966666666666667,0.609,0.7763333333333333,0.7798333333333334,1.2347575861805968e-15,7.458152980196018e-15,0.25266666666666665,0.321,0.407,0.065,0.40331385102574696,0.3948333333333333,0.4121666666666667,2.4719599680153728,0.9650653233730663,11.121050384368926,1.0849839789180125,1.0,True,0,0,42,42,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B3,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B3,
B3,E1_Baseline_rendered,Stage3Algo-v1,Metric-v0,OK,83,40,42,1,0.15133333333333332,0.595,0.7856666666666666,0.7943333333333333,1.2347575861805968e-15,7.458152980196018e-15,0.26499999999999996,0.294,0.435,0.066,0.4155459827689842,0.4035,0.42833333333333334,2.4719599680153728,0.9650696589013706,10.792512052760957,1.0535737803904188,1.0,True,0,0,42,42,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v1/E1_Baseline_rendered/B3,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B3,
B123,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,OK,55,26,28,1,0.16466666666666666,0.6383333333333333,0.9773333333333334,0.844,1.5960433524099018e-15,8.070421285510229e-15,0.36833333333333335,0.287,0.63,0.116,0.5907502467917077,0.6008333333333333,0.581,0.29203150714080905,0.9922130908308678,5.370290436034387,0.8450623199829844,1.0,True,0,0,28,28,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v0/E1_Baseline_rendered/B123,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B123,
B123,E1_Baseline_rendered,Stage3Algo-v0,Metric-v1,OK,55,26,28,1,0.167,0.647,0.9766666666666667,0.8443333333333334,1.5960433524099018e-15,8.070421285510229e-15,0.342,0.302,0.652,0.102,0.5965428132420729,0.6015,0.5916666666666667,0.29203150714080905,0.992215560786045,5.305519254153722,0.8348434343385214,1.0,True,0,0,28,28,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v0/E1_Baseline_rendered/B123,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B123,
B123,E1_Baseline_rendered,Stage3Algo-v1,Metric-v1,OK,55,26,28,1,0.167,0.647,0.9766666666666667,0.8443333333333334,1.5960433524099018e-15,8.070421285510229e-15,0.342,0.302,0.652,0.102,0.5965428132420729,0.6015,0.5916666666666667,0.29203150714080905,0.992215560786045,5.305519254153722,0.8348434343385214,1.0,True,0,0,28,28,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v1/E1_Baseline_rendered/B123,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B123,
B123,E1_Baseline_rendered,Stage3Algo-v1,Metric-v0,OK,55,26,28,1,0.16466666666666666,0.6383333333333333,0.9773333333333334,0.844,1.5960433524099018e-15,8.070421285510229e-15,0.36833333333333335,0.287,0.63,0.116,0.5907502467917077,0.6008333333333333,0.581,0.29203150714080905,0.9922130908308678,5.370290436034387,0.8450623199829844,1.0,True,0,0,28,28,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v1/E1_Baseline_rendered/B123,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v1/E1_Baseline_rendered/B123,
B126,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,OK,49,23,25,1,0.14166666666666666,0.6253333333333333,0.9923333333333333,0.7596666666666667,2.6912456319565558e-15,1.0875005912170445e-14,0.25,0.217,0.486,0.037,0.5578206848566174,0.5836666666666667,0.5341666666666667,1.233671258914974,0.27671397645651674,5.350150764033104,1.0260044449138939,1.0,True,0,0,25,25,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v0/Stage3Algo-v0/E1_Baseline_rendered/B126,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B126,
B126,E1_Baseline_rendered,Stage3Algo-v0,Metric-v1,OK,49,23,25,1,0.14133333333333334,0.6223333333333333,0.99,0.7446666666666667,2.6912456319565558e-15,1.0875005912170445e-14,0.23500000000000001,0.2,0.449,0.045,0.5614468652734549,0.5835,0.541,1.233671258914974,0.2767196310685855,5.4164174580267215,1.0299905522465689,1.0,True,0,0,25,25,CLOSED,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_metric_v1/Stage3Algo-v0/E1_Baseline_rendered/B126,results/footprint_conditioned_readout/FC_S2_baseline_rendered_recovery_stage3_v1c/phaseA_e1_recovery/stage3_matrix_readout/Stage3Algo-v0/E1_Baseline_rendered/B126,
