path,size_bytes,loadable,keys,n_points,n_roof,n_wall,n_ground,bbox_min,bbox_max,compatibility_notes,role_guess,mtime
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E4_Mutual_primitive/B50/evidence.npz,169152,True,points;normals;classes;weights;sem_probs;opacities;areas,2515,1427,1086,1,"[-27.689090728759766, -18.475872039794922, 27.05986785888672]","[-11.919342994689941, 0.19997422397136688, 39.097469329833984]",,OTHER,2026-05-06 23:36:42
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E4_Mutual_primitive/B6/evidence.npz,257331,True,points;normals;classes;weights;sem_probs;opacities;areas,3856,2027,1820,9,"[-84.18720245361328, -19.916664123535156, -58.53681182861328]","[-71.601318359375, 0.15452904999256134, -46.940670013427734]",,OTHER,2026-05-06 23:33:44
results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase1_evidence/E4_Mutual_primitive/B8/evidence.npz,181647,True,points;normals;classes;weights;sem_probs;opacities;areas,2694,1234,1440,20,"[-63.93577194213867, -15.186436653137207, 4.754448413848877]","[-51.66840744018555, 0.3196071684360504, 19.004901885986328]",,OTHER,2026-05-06 23:33:37
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B0/readout_evidence_after_stage3_v1_patch.npz,301396,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,4922,1873,2734,315,"[-100.9066162109375, -17.109697341918945, -79.14219665527344]","[-89.00975036621094, 0.01615142822265625, -63.55494689941406]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-07 23:38:37
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B1/readout_evidence_after_stage3_v1_patch.npz,294647,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,4859,3547,1232,80,"[-95.01243591308594, -19.31287956237793, -45.711612701416016]","[-80.44400024414062, -0.0013198598753660917, -25.066757202148438]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-07 23:38:48
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B104/readout_evidence_after_stage3_v1_patch.npz,40567,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,604,420,83,101,"[65.5240707397461, -15.734481811523438, 72.57460021972656]","[71.946044921875, 1.0721958875656128, 80.84033203125]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-07 23:40:57
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B123/readout_evidence_after_stage3_v1_patch.npz,1592204,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,26052,18397,6846,809,"[-50.92005157470703, -19.07488250732422, -92.51361846923828]","[-16.67641258239746, 0.5570383667945862, -60.33123016357422]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-07 23:40:05
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B126/readout_evidence_after_stage3_v1_patch.npz,1059354,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,17179,12999,3813,367,"[-65.52671813964844, -20.62230682373047, -102.4200210571289]","[-39.53386688232422, 0.1408015340566635, -73.48007202148438]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-07 23:40:32
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B2/readout_evidence_after_stage3_v1_patch.npz,233715,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,3748,2612,1051,85,"[-85.78252410888672, -14.768939971923828, -5.402878761291504]","[-73.40542602539062, 0.042724609375, 8.84615421295166]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-07 23:38:56
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B3/readout_evidence_after_stage3_v1_patch.npz,1708242,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,27799,21962,5152,685,"[-87.68944549560547, -26.659896850585938, -53.22414016723633]","[6.604780197143555, 0.31269213557243347, -2.0074660778045654]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-07 23:39:11
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B50/readout_evidence_after_stage3_v1_patch.npz,257784,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,4146,3275,850,21,"[-27.701229095458984, -19.45135498046875, 27.004695892333984]","[-11.39604377746582, 0.02347564697265625, 39.218177795410156]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-07 23:40:54
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B6/readout_evidence_after_stage3_v1_patch.npz,199088,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,3205,2086,1056,63,"[-84.3067626953125, -20.211164474487305, -58.30320739746094]","[-70.85783386230469, 0.1730804443359375, -46.903770446777344]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-07 23:39:02
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B8/readout_evidence_after_stage3_v1_patch.npz,271841,True,points;normals;classes;weights;sem_probs;confidence;view_count;normal_consistency;semantic_entropy,4372,2784,1513,75,"[-64.00155639648438, -15.306326866149902, 4.5577192306518555]","[-51.565670013427734, 0.06841278076171875, 19.327392578125]","Mutual rendered evidence, useful only as E2 reference.",E2_OR_MUTUAL_RENDERED,2026-05-07 23:38:59
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B0/readout_evidence_after_stage3_v1_patch.npz,558229,True,points;normals;classes;weights;sem_probs;opacities;areas,8349,2443,5856,50,"[-100.64857482910156, -16.932395935058594, -78.77478790283203]","[-89.24263000488281, 0.31920838356018066, -63.51799774169922]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-07 23:38:39
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B1/readout_evidence_after_stage3_v1_patch.npz,432857,True,points;normals;classes;weights;sem_probs;opacities;areas,6462,2930,3512,20,"[-94.3371810913086, -18.877147674560547, -45.612098693847656]","[-80.5792236328125, 0.26974812150001526, -25.471342086791992]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-07 23:38:49
results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B104/readout_evidence_after_stage3_v1_patch.npz,12648,True,points;normals;classes;weights;sem_probs;opacities;areas,163,109,51,3,"[66.1967544555664, -3.9834742546081543, 72.80062103271484]","[71.25654602050781, 1.7963007688522339, 79.96527862548828]",Not Baseline rendered evidence.,BASELINE_PRIMITIVE_NOT_RENDERED,2026-05-07 23:40:58
