image_idx,image_name,backend,align_a,align_b,mvs_valid_pixels,residual_abs_median_m,residual_abs_p90_m,warp_amp_plane_m,warp_amp_quadratic_m,metric_depth
392,DJI_20241217102953_0022_D.JPG,Depth Anything V2 Large vitl,-0.09628437,65.93152915,158120,7.3536,32.3679,11.0091,13.4305,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102953_0022_D.npy
393,DJI_20241217103017_0034_D.JPG,Depth Anything V2 Large vitl,-0.03024884,22.03217359,391859,2.3315,6.6175,2.5926,4.8623,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103017_0034_D.npy
394,DJI_20241217103031_0041_D.JPG,Depth Anything V2 Large vitl,-0.01324597,20.76243301,37530,0.8158,1.3560,1.5603,1.7621,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103031_0041_D.npy
395,DJI_20241217103037_0044_D.JPG,Depth Anything V2 Large vitl,-0.06030442,39.18334395,133989,1.6133,7.8877,3.5260,6.0282,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103037_0044_D.npy
396,DJI_20241217103039_0045_D.JPG,Depth Anything V2 Large vitl,-0.11977370,76.63874591,559427,3.1170,10.6880,8.2204,23.3943,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103039_0045_D.npy
397,DJI_20241217103041_0046_D.JPG,Depth Anything V2 Large vitl,-0.13786749,81.83036574,855983,3.9524,14.9120,6.5117,25.5923,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103041_0046_D.npy
398,DJI_20241217103051_0002_D.JPG,Depth Anything V2 Large vitl,-0.22958450,135.44933151,750931,5.8280,18.2333,7.4022,11.9092,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103051_0002_D.npy
399,DJI_20241217103053_0003_D.JPG,Depth Anything V2 Large vitl,-0.10264549,68.60625632,714173,3.0341,7.2524,5.2938,10.3109,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103053_0003_D.npy
400,DJI_20241217103055_0004_D.JPG,Depth Anything V2 Large vitl,-0.10703963,68.48454207,709741,2.9847,7.3525,5.5750,10.4575,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103055_0004_D.npy
401,DJI_20241217103057_0005_D.JPG,Depth Anything V2 Large vitl,-0.08634616,69.34725633,434195,2.3016,6.2220,3.4345,9.3597,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103057_0005_D.npy
402,DJI_20241217103059_0006_D.JPG,Depth Anything V2 Large vitl,-0.37341103,222.83932628,723058,20.4789,43.7352,13.5568,100.5688,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103059_0006_D.npy
403,DJI_20241217103101_0007_D.JPG,Depth Anything V2 Large vitl,-0.37640076,222.20989419,778657,20.8072,44.4586,14.2133,98.2912,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103101_0007_D.npy
404,DJI_20241217103103_0008_D.JPG,Depth Anything V2 Large vitl,-0.11740940,89.79425819,742549,2.2536,7.3054,6.6790,9.1076,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103103_0008_D.npy
405,DJI_20241217103105_0009_D.JPG,Depth Anything V2 Large vitl,-0.12214348,89.55730846,865049,2.5175,7.0503,6.6335,9.6738,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103105_0009_D.npy
406,DJI_20241217103107_0010_D.JPG,Depth Anything V2 Large vitl,-0.24612487,150.56335158,1268347,5.3654,15.4615,5.0101,6.1684,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103107_0010_D.npy
407,DJI_20241217103109_0011_D.JPG,Depth Anything V2 Large vitl,-0.12112543,84.83014704,1168191,2.8666,8.6055,7.8617,12.6257,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103109_0011_D.npy
408,DJI_20241217103111_0012_D.JPG,Depth Anything V2 Large vitl,-0.10196816,70.77331710,1018159,5.0590,7.6058,9.0566,13.0553,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103111_0012_D.npy
409,DJI_20241217103113_0013_D.JPG,Depth Anything V2 Large vitl,-0.17845028,107.69071711,1250943,4.7546,15.6499,5.7912,18.2300,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103113_0013_D.npy
410,DJI_20241217103115_0014_D.JPG,Depth Anything V2 Large vitl,-0.16475342,103.94549833,814592,3.4602,14.5804,2.6302,14.0684,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103115_0014_D.npy
411,DJI_20241217103117_0015_D.JPG,Depth Anything V2 Large vitl,-0.17079114,102.84172335,1288575,3.4930,14.1230,4.6326,13.4399,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103117_0015_D.npy
412,DJI_20241217103119_0016_D.JPG,Depth Anything V2 Large vitl,-0.17779937,107.49748249,1152708,4.0934,15.3311,5.5889,14.4771,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103119_0016_D.npy
413,DJI_20241217103121_0017_D.JPG,Depth Anything V2 Large vitl,-0.41245908,214.92519434,630077,25.5362,62.0626,10.6735,102.2189,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103121_0017_D.npy
414,DJI_20241217103123_0018_D.JPG,Depth Anything V2 Large vitl,-0.15944641,101.70868663,941623,2.9825,18.6132,6.7506,15.5527,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103123_0018_D.npy
415,DJI_20241217103125_0019_D.JPG,Depth Anything V2 Large vitl,-0.14248815,94.89195863,929665,2.2405,17.8572,5.0192,12.9769,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103125_0019_D.npy
416,DJI_20241217103127_0020_D.JPG,Depth Anything V2 Large vitl,-0.13742866,92.97581760,578985,2.1933,8.8987,5.0671,11.5067,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103127_0020_D.npy
417,DJI_20241217103457_0038_D.JPG,Depth Anything V2 Large vitl,-0.37063696,181.98682319,224914,19.2775,104.2465,31.4561,81.4392,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103457_0038_D.npy
418,DJI_20241217103459_0039_D.JPG,Depth Anything V2 Large vitl,-0.87294454,305.79044682,211013,56.8178,208.0904,7.5081,155.6871,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103459_0039_D.npy
419,DJI_20241217103501_0040_D.JPG,Depth Anything V2 Large vitl,-0.14972156,93.72029050,205184,14.2654,39.5292,5.5302,29.7146,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103501_0040_D.npy
420,DJI_20241217103541_0060_D.JPG,Depth Anything V2 Large vitl,-0.05181886,67.90288713,284653,4.5334,11.0572,6.1468,8.3847,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103541_0060_D.npy
421,DJI_20241217103543_0061_D.JPG,Depth Anything V2 Large vitl,-0.31986320,166.08740836,523017,9.0967,40.5428,7.9957,39.0962,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103543_0061_D.npy
422,DJI_20241217103545_0062_D.JPG,Depth Anything V2 Large vitl,-0.51979514,241.32002727,585723,23.5241,67.9346,23.1636,102.2841,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103545_0062_D.npy
423,DJI_20241217103547_0063_D.JPG,Depth Anything V2 Large vitl,-0.61733571,269.42841931,609383,24.7217,81.5256,4.5424,114.4783,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103547_0063_D.npy
424,DJI_20241217103549_0064_D.JPG,Depth Anything V2 Large vitl,-0.61897323,275.34751586,612666,24.7386,81.1644,1.7875,110.0425,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103549_0064_D.npy
425,DJI_20241217103551_0065_D.JPG,Depth Anything V2 Large vitl,-0.65161510,292.61412403,550117,28.6621,80.7955,10.3632,107.2322,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103551_0065_D.npy
426,DJI_20241217103553_0066_D.JPG,Depth Anything V2 Large vitl,-0.61904788,283.27442284,663217,26.5792,79.5402,10.3340,97.0595,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103553_0066_D.npy
427,DJI_20241217103609_0074_D.JPG,Depth Anything V2 Large vitl,,,0,,,,,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217103609_0074_D.npy
