run_id,building_id,arm,replicate,perturbation_type,perturbation_value,stage,status,reason,updated_utc,checkpoint,prepared_root,job_dir,gpu_id
gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,DEBY_LOD2_4907199,a1,r1,height,-1.000000000,score,failed,exit_1,2026-07-15T18:45:39.734794+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m1_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,height,-4.000000000,checkpoint_gate,complete,,2026-07-15T18:45:39.905435+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,DEBY_LOD2_4907199,a1,r1,height,-2.000000000,extract,complete,,2026-07-15T18:45:45.636195+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,height,-4.000000000,extract,complete,,2026-07-15T18:45:45.944795+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,DEBY_LOD2_4907199,a1,r1,height,-2.000000000,prepare_roofer,prepared,,2026-07-15T18:45:46.774990+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,height,-4.000000000,prepare_roofer,prepared,,2026-07-15T18:45:46.998324+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,DEBY_LOD2_4907199,a1,r1,height,-2.000000000,roofer,complete,,2026-07-15T18:45:47.493349+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,DEBY_LOD2_4907199,a1,r1,height,-4.000000000,roofer,complete,,2026-07-15T18:45:47.696479+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m4_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,DEBY_LOD2_4907199,a1,r1,height,-2.000000000,score,failed,exit_1,2026-07-15T18:45:48.218172+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_m2_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_p0p5_r1,DEBY_LOD2_4907199,a1,r1,height,0.500000000,checkpoint_gate,complete,,2026-07-15T18:45:48.384338+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p0p5_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p0p5_r1,1
