setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908178,240,454,0.5286343612334802
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908179,16,474,0.03375527426160337
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568391,24,221,0.1085972850678733
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568392,10,24,0.4166666666666667
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247349,7,402,0.017412935323383085
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247350,16,48,0.3333333333333333
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247351,73,260,0.28076923076923077
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_60098,115,784,0.14668367346938777
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907185,233,644,0.36180124223602483
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907186,63,673,0.09361069836552749
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907188,47,664,0.07078313253012049
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907194,51,850,0.06
base,gs_e5_C001_acmp_r2,acmp,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907195,220,710,0.30985915492957744
