bid,source,patch_applied,reason,ground_y,n_synthetic_ground_points,stage3_v1_patch_log
B2,E2_Mutual_rendered,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B2/stage3_v1_patch_log.json
B2,E3_Baseline_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B2/stage3_v1_patch_log.json
B2,E4_Mutual_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B2/stage3_v1_patch_log.json
B8,E0_GT_clean_upper_bound,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B8/stage3_v1_patch_log.json
B8,E1_Baseline_rendered,False,SOURCE_MISSING,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E1_Baseline_rendered/B8/stage3_v1_patch_log.json
B8,E2_Mutual_rendered,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B8/stage3_v1_patch_log.json
B8,E3_Baseline_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B8/stage3_v1_patch_log.json
B8,E4_Mutual_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B8/stage3_v1_patch_log.json
B6,E0_GT_clean_upper_bound,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B6/stage3_v1_patch_log.json
B6,E1_Baseline_rendered,False,SOURCE_MISSING,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E1_Baseline_rendered/B6/stage3_v1_patch_log.json
B6,E2_Mutual_rendered,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B6/stage3_v1_patch_log.json
B6,E3_Baseline_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B6/stage3_v1_patch_log.json
B6,E4_Mutual_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B6/stage3_v1_patch_log.json
B3,E0_GT_clean_upper_bound,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B3/stage3_v1_patch_log.json
B3,E1_Baseline_rendered,False,SOURCE_MISSING,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E1_Baseline_rendered/B3/stage3_v1_patch_log.json
B3,E2_Mutual_rendered,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B3/stage3_v1_patch_log.json
B3,E3_Baseline_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B3/stage3_v1_patch_log.json
B3,E4_Mutual_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B3/stage3_v1_patch_log.json
B123,E0_GT_clean_upper_bound,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B123/stage3_v1_patch_log.json
B123,E1_Baseline_rendered,False,SOURCE_MISSING,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E1_Baseline_rendered/B123/stage3_v1_patch_log.json
B123,E2_Mutual_rendered,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B123/stage3_v1_patch_log.json
B123,E3_Baseline_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B123/stage3_v1_patch_log.json
B123,E4_Mutual_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B123/stage3_v1_patch_log.json
B126,E0_GT_clean_upper_bound,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B126/stage3_v1_patch_log.json
B126,E1_Baseline_rendered,False,SOURCE_MISSING,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E1_Baseline_rendered/B126/stage3_v1_patch_log.json
B126,E2_Mutual_rendered,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B126/stage3_v1_patch_log.json
B126,E3_Baseline_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B126/stage3_v1_patch_log.json
B126,E4_Mutual_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B126/stage3_v1_patch_log.json
B50,E0_GT_clean_upper_bound,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B50/stage3_v1_patch_log.json
B50,E1_Baseline_rendered,False,SOURCE_MISSING,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E1_Baseline_rendered/B50/stage3_v1_patch_log.json
B50,E2_Mutual_rendered,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B50/stage3_v1_patch_log.json
B50,E3_Baseline_primitive,True,no ground evidence; inferred a read-out-only ground reference from evidence Y distribution,-10.841525173187259,21,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B50/stage3_v1_patch_log.json
B50,E4_Mutual_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B50/stage3_v1_patch_log.json
B104,E0_GT_clean_upper_bound,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E0_GT_clean_upper_bound/B104/stage3_v1_patch_log.json
B104,E1_Baseline_rendered,False,SOURCE_MISSING,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E1_Baseline_rendered/B104/stage3_v1_patch_log.json
B104,E2_Mutual_rendered,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E2_Mutual_rendered/B104/stage3_v1_patch_log.json
B104,E3_Baseline_primitive,False,ground evidence already present,,,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E3_Baseline_primitive/B104/stage3_v1_patch_log.json
B104,E4_Mutual_primitive,True,no ground evidence; inferred a read-out-only ground reference from evidence Y distribution,-2.826666426658629,9,results/footprint_conditioned_readout/Stage3_v1_auditable_readout_FC_S1_v0_v1_comparison/phase2_stage3_v1_readout/E4_Mutual_primitive/B104/stage3_v1_patch_log.json
