building_id,arm,clip_source,clip_path,clip_note,crs_xy,z_datum_history,footprint_area_m2,n_points_footprint,pt_density_m2,density_valid,density_reason,status_input,status_rf_pt_density,status_density_delta,grid_cell_m,grid_n_cells,grid_occupied_cells,coverage_frac,hole_frac,coverage_valid,coverage_reason,status_rf_nodata_frac,status_hole_delta,status_compare_note,roof_point_count,ground_point_count,local_plane_radius_m,local_plane_rms_m,local_plane_core_count,local_plane_valid,local_plane_reason,m3c2_normal_radius_m,m3c2_proj_radius_m,m3c2_core_count,m3c2_mean_m,m3c2_median_abs_m,m3c2_rms_m,m3c2_valid,m3c2_reason,ref_valid_345,ref_invalid_reason,ref_roof_surface_count,ref_lookup_miss_frac,floater_margin_m,floater_count,floater_frac,floater_valid,floater_reason,label_proxy_roof_minus_m,ground_high_count,label_proxy_frac_all,label_proxy_frac_ground,label_proxy_valid,label_proxy_reason
DEBY_LOD2_4907509,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback because raw_acmp building clip was absent,EPSG:25832,fused ACMP classified LAZ orthometric +48.0 m to ellip-unified,322.396600,55703,172.777877,true,ok,none,none,none,0.500000,1291,1285,0.995352,0.004648,true,ok,none,none,no_canonical_status_for_acmp,55435,268,0.750000,0.162387,3000,true,ok,1.000000,0.750000,2496,-1.782475,1.924912,2.045302,true,ok,true,none,7,0.000000,3.000000,23,0.000413,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907509,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907509_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,322.396600,6272,19.454299,true,ok,ALS,18.909372,0.544927,0.500000,1291,1291,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,6248,24,0.750000,0.121660,3000,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,7,0.000000,3.000000,14,0.002232,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907510,raw_dense,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907510_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,119.362900,5717,47.895954,true,ok,DIM,54.079601,-6.183647,0.500000,479,402,0.839248,0.160752,true,ok,0.160752,-0.000000,direct_comparison_same_arm_metric_not_identical_grid,3084,2633,0.750000,0.137765,2983,true,ok,1.000000,0.750000,956,-2.178479,2.079050,2.905059,true,ok,true,none,1,0.000000,3.000000,665,0.116320,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907510,raw_acmp,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_4907510_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,119.362900,15654,131.146277,true,ok,none,none,none,0.500000,479,454,0.947808,0.052192,true,ok,none,none,no_canonical_status_for_acmp,6716,8938,0.750000,0.109056,2990,true,ok,1.000000,0.750000,767,-1.468481,0.650876,2.037281,true,ok,true,none,1,0.000000,3.000000,1213,0.077488,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907510,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907510_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,119.362900,2116,17.727451,true,ok,ALS,17.338947,0.388504,0.500000,479,474,0.989562,0.010438,true,ok,0.008351,0.002087,direct_comparison_same_arm_metric_not_identical_grid,2065,51,0.750000,0.175205,2064,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,1,0.000000,3.000000,97,0.045841,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907514,raw_dense,missing_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907514_orig_classified.las,building-level clip absent,EPSG:25832,none,300.688050,0,none,false,missing_clip,DIM,702.246643,none,0.500000,1200,0,none,none,false,missing_clip,0.000000,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,9,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
DEBY_LOD2_4907514,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback because raw_acmp building clip was absent,EPSG:25832,fused ACMP classified LAZ orthometric +48.0 m to ellip-unified,300.688050,110139,366.289914,true,ok,none,none,none,0.500000,1200,1199,0.999167,0.000833,true,ok,none,none,no_canonical_status_for_acmp,109259,880,0.750000,0.162345,3000,true,ok,1.000000,0.750000,2500,-1.241110,1.621505,1.521013,true,ok,true,none,9,0.000000,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907514,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907514_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,300.688050,6912,22.987279,true,ok,ALS,21.956375,1.030904,0.500000,1200,1192,0.993333,0.006667,true,ok,0.006667,-0.000000,direct_comparison_same_arm_metric_not_identical_grid,6836,76,0.750000,0.168674,3000,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,9,0.000000,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907515,raw_dense,missing_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907515_orig_classified.las,building-level clip absent,EPSG:25832,none,306.217300,0,none,false,missing_clip,DIM,581.191467,none,0.500000,1223,0,none,none,false,missing_clip,0.000000,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,7,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
DEBY_LOD2_4907515,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback because raw_acmp building clip was absent,EPSG:25832,fused ACMP classified LAZ orthometric +48.0 m to ellip-unified,306.217300,131194,428.434318,true,ok,none,none,none,0.500000,1223,1223,1.000000,0.000000,true,ok,none,none,no_canonical_status_for_acmp,129707,1487,0.750000,0.144677,3000,true,ok,1.000000,0.750000,2500,-2.495078,2.104770,3.216663,true,ok,true,none,7,0.000000,3.000000,873,0.006654,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907515,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_4907515_orig_classified.las,,EPSG:25832,ellip-unified existing classified clip,306.217300,5610,18.320324,true,ok,ALS,18.067600,0.252724,0.500000,1223,1214,0.992641,0.007359,true,ok,0.007365,-0.000006,direct_comparison_same_arm_metric_not_identical_grid,5603,7,0.750000,0.102796,3000,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,7,0.000000,3.000000,55,0.009804,true,ok,1.000000,0,0.000000,0.000000,true,ok
DEBY_LOD2_4907516,raw_dense,missing_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_4907516_orig_classified.las,building-level clip absent,EPSG:25832,none,178.776000,0,none,false,missing_clip,DIM,638.263306,none,0.500000,714,0,none,none,false,missing_clip,0.000000,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,7,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points
DEBY_LOD2_4907516,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback because raw_acmp building clip was absent,EPSG:25832,fused ACMP classified LAZ orthometric +48.0 m to ellip-unified,178.776000,70667,395.282365,true,ok,none,none,none,0.500000,714,714,1.000000,0.000000,true,ok,none,none,no_canonical_status_for_acmp,70376,291,0.750000,0.164078,3000,true,ok,1.000000,0.750000,2500,-1.257091,1.664104,1.497547,true,ok,true,none,7,0.000057,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,0.000000,true,ok
