building_id,band_width_m,source,view_stem,all_count,upper_count,upper_z_median_local_m,upper_z_mad_m,upper_z_std_m,ground_z_q10_local_m,reference_roof_z_local_m,abs_delta_z_ref_m,alpha_threshold,crop_xyxy
DEBY_LOD2_8568391,1.500000,render_arm1p_r1,DJI_20241217084903_0195_D,199,199,-35.953920,0.052131,0.073050,-38.430000,-40.782000,4.828080,0.500000,1284;115;1400;310
DEBY_LOD2_8568391,0.500000,render_arm1p_r1,DJI_20241217095441_0023_D,1070,1070,-28.341666,0.081126,0.393301,-38.430000,-40.782000,12.440334,0.500000,670;521;921;855
DEBY_LOD2_8568391,1.000000,render_arm1p_r1,DJI_20241217095441_0023_D,2180,2180,-28.348357,0.082735,0.397873,-38.430000,-40.782000,12.433643,0.500000,670;521;921;855
DEBY_LOD2_8568391,1.500000,render_arm1p_r1,DJI_20241217095441_0023_D,3347,3347,-28.353124,0.084846,0.330314,-38.430000,-40.782000,12.428876,0.500000,670;521;921;855
DEBY_LOD2_8568392,0.500000,render_arm1p_r1,DJI_20241217084901_0194_D,0,0,,,,-40.428001,-40.927000,,0.500000,1247;0;1384;124
DEBY_LOD2_8568392,1.000000,render_arm1p_r1,DJI_20241217084901_0194_D,0,0,,,,-40.428001,-40.927000,,0.500000,1247;0;1384;124
DEBY_LOD2_8568392,1.500000,render_arm1p_r1,DJI_20241217084901_0194_D,0,0,,,,-40.428001,-40.927000,,0.500000,1247;0;1384;124
DEBY_LOD2_8568392,0.500000,render_arm1p_r1,DJI_20241217084903_0195_D,0,0,,,,-40.428001,-40.927000,,0.500000,1276;109;1400;244
DEBY_LOD2_8568392,1.000000,render_arm1p_r1,DJI_20241217084903_0195_D,0,0,,,,-40.428001,-40.927000,,0.500000,1276;109;1400;244
DEBY_LOD2_8568392,1.500000,render_arm1p_r1,DJI_20241217084903_0195_D,0,0,,,,-40.428001,-40.927000,,0.500000,1276;109;1400;244
DEBY_LOD2_8568392,0.500000,render_arm1p_r1,DJI_20241217095441_0023_D,0,0,,,,-40.428001,-40.927000,,0.500000,785;518;969;702
DEBY_LOD2_8568392,1.000000,render_arm1p_r1,DJI_20241217095441_0023_D,0,0,,,,-40.428001,-40.927000,,0.500000,785;518;969;702
DEBY_LOD2_8568392,1.500000,render_arm1p_r1,DJI_20241217095441_0023_D,0,0,,,,-40.428001,-40.927000,,0.500000,785;518;969;702
DEBY_LOD2_4907199,0.500000,render_arm1p_r2,DJI_20241217095141_0077_D,11,0,,,,-27.521000,-34.333000,,0.500000,0;506;162;602
DEBY_LOD2_4907199,1.000000,render_arm1p_r2,DJI_20241217095141_0077_D,51,0,,,,-27.521000,-34.333000,,0.500000,0;506;162;602
DEBY_LOD2_4907199,1.500000,render_arm1p_r2,DJI_20241217095141_0077_D,284,0,,,,-27.521000,-34.333000,,0.500000,0;506;162;602
DEBY_LOD2_4907199,0.500000,render_arm1p_r2,DJI_20241217095145_0079_D,9,0,,,,-27.521000,-34.333000,,0.500000,0;505;177;601
DEBY_LOD2_4907199,1.000000,render_arm1p_r2,DJI_20241217095145_0079_D,85,0,,,,-27.521000,-34.333000,,0.500000,0;505;177;601
DEBY_LOD2_4907199,1.500000,render_arm1p_r2,DJI_20241217095145_0079_D,287,0,,,,-27.521000,-34.333000,,0.500000,0;505;177;601
DEBY_LOD2_4907199,0.500000,render_arm1p_r2,DJI_20241217095147_0080_D,8,0,,,,-27.521000,-34.333000,,0.500000,0;504;176;600
DEBY_LOD2_4907199,1.000000,render_arm1p_r2,DJI_20241217095147_0080_D,84,0,,,,-27.521000,-34.333000,,0.500000,0;504;176;600
DEBY_LOD2_4907199,1.500000,render_arm1p_r2,DJI_20241217095147_0080_D,288,0,,,,-27.521000,-34.333000,,0.500000,0;504;176;600
DEBY_LOD2_4907199,0.500000,render_arm1p_r2,DJI_20241217095149_0081_D,6,0,,,,-27.521000,-34.333000,,0.500000,0;504;174;599
DEBY_LOD2_4907199,1.000000,render_arm1p_r2,DJI_20241217095149_0081_D,76,0,,,,-27.521000,-34.333000,,0.500000,0;504;174;599
DEBY_LOD2_4907199,1.500000,render_arm1p_r2,DJI_20241217095149_0081_D,266,0,,,,-27.521000,-34.333000,,0.500000,0;504;174;599
DEBY_LOD2_4907199,0.500000,render_arm1p_r2,DJI_20241217095441_0023_D,0,0,,,,-27.521000,-34.333000,,0.500000,0;761;345;1013
DEBY_LOD2_4907199,1.000000,render_arm1p_r2,DJI_20241217095441_0023_D,0,0,,,,-27.521000,-34.333000,,0.500000,0;761;345;1013
DEBY_LOD2_4907199,1.500000,render_arm1p_r2,DJI_20241217095441_0023_D,0,0,,,,-27.521000,-34.333000,,0.500000,0;761;345;1013
DEBY_LOD2_4907199,0.500000,render_arm1p_r2,DJI_20241217095531_0048_D,0,0,,,,-27.521000,-34.333000,,0.500000,1155;864;1363;1013
DEBY_LOD2_4907199,1.000000,render_arm1p_r2,DJI_20241217095531_0048_D,0,0,,,,-27.521000,-34.333000,,0.500000,1155;864;1363;1013
DEBY_LOD2_4907199,1.500000,render_arm1p_r2,DJI_20241217095531_0048_D,2,0,,,,-27.521000,-34.333000,,0.500000,1155;864;1363;1013
DEBY_LOD2_8568391,0.500000,render_arm1p_r2,DJI_20241217084901_0194_D,0,0,,,,-38.430000,-40.782000,,0.500000,1255;0;1400;190
DEBY_LOD2_8568391,1.000000,render_arm1p_r2,DJI_20241217084901_0194_D,0,0,,,,-38.430000,-40.782000,,0.500000,1255;0;1400;190
DEBY_LOD2_8568391,1.500000,render_arm1p_r2,DJI_20241217084901_0194_D,41,41,-35.920722,0.004584,0.005637,-38.430000,-40.782000,4.861278,0.500000,1255;0;1400;190
DEBY_LOD2_8568391,0.500000,render_arm1p_r2,DJI_20241217084903_0195_D,0,0,,,,-38.430000,-40.782000,,0.500000,1284;115;1400;310
DEBY_LOD2_8568391,1.000000,render_arm1p_r2,DJI_20241217084903_0195_D,0,0,,,,-38.430000,-40.782000,,0.500000,1284;115;1400;310
DEBY_LOD2_8568391,1.500000,render_arm1p_r2,DJI_20241217084903_0195_D,53,53,-35.922261,0.005115,0.006803,-38.430000,-40.782000,4.859739,0.500000,1284;115;1400;310
DEBY_LOD2_8568391,0.500000,render_arm1p_r2,DJI_20241217095441_0023_D,1763,1763,-28.047152,0.153656,0.209310,-38.430000,-40.782000,12.734848,0.500000,670;521;921;855
DEBY_LOD2_8568391,1.000000,render_arm1p_r2,DJI_20241217095441_0023_D,3557,3557,-28.035614,0.165053,0.224049,-38.430000,-40.782000,12.746386,0.500000,670;521;921;855
DEBY_LOD2_8568391,1.500000,render_arm1p_r2,DJI_20241217095441_0023_D,5359,5359,-28.019015,0.175465,0.233722,-38.430000,-40.782000,12.762985,0.500000,670;521;921;855
DEBY_LOD2_8568392,0.500000,render_arm1p_r2,DJI_20241217084901_0194_D,0,0,,,,-40.428001,-40.927000,,0.500000,1247;0;1384;124
DEBY_LOD2_8568392,1.000000,render_arm1p_r2,DJI_20241217084901_0194_D,0,0,,,,-40.428001,-40.927000,,0.500000,1247;0;1384;124
DEBY_LOD2_8568392,1.500000,render_arm1p_r2,DJI_20241217084901_0194_D,65,65,-35.913792,0.006181,0.008224,-40.428001,-40.927000,5.013208,0.500000,1247;0;1384;124
DEBY_LOD2_8568392,0.500000,render_arm1p_r2,DJI_20241217084903_0195_D,0,0,,,,-40.428001,-40.927000,,0.500000,1276;109;1400;244
DEBY_LOD2_8568392,1.000000,render_arm1p_r2,DJI_20241217084903_0195_D,0,0,,,,-40.428001,-40.927000,,0.500000,1276;109;1400;244
DEBY_LOD2_8568392,1.500000,render_arm1p_r2,DJI_20241217084903_0195_D,59,59,-35.915529,0.005367,0.007338,-40.428001,-40.927000,5.011471,0.500000,1276;109;1400;244
DEBY_LOD2_8568392,0.500000,render_arm1p_r2,DJI_20241217095441_0023_D,0,0,,,,-40.428001,-40.927000,,0.500000,785;518;969;702
DEBY_LOD2_8568392,1.000000,render_arm1p_r2,DJI_20241217095441_0023_D,0,0,,,,-40.428001,-40.927000,,0.500000,785;518;969;702
DEBY_LOD2_8568392,1.500000,render_arm1p_r2,DJI_20241217095441_0023_D,0,0,,,,-40.428001,-40.927000,,0.500000,785;518;969;702
