schema_version,row_type,seed,stratum,building_id,pair_state,vision_run_state,gt_run_state,vision_partial,gt_partial,vision_metric_available,gt_metric_available,vision_roof_rms_m,gt_roof_rms_m,delta_gt_minus_vision_roof_rms_m,vision_roof_hausdorff_m,gt_roof_hausdorff_m,delta_gt_minus_vision_roof_hausdorff_m,vision_face_count_ratio_abs_error,gt_face_count_ratio_abs_error,delta_gt_minus_vision_face_count_ratio_abs_error,vision_roof_completeness,gt_roof_completeness,delta_gt_minus_vision_roof_completeness,vision_val3dity_valid,gt_val3dity_valid,delta_gt_minus_vision_val3dity_valid,vision_has_lod22,gt_has_lod22,delta_gt_minus_vision_has_lod22
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907184,available_pair,complete_20k,complete_20k,false,false,true,true,43.689208780,43.377290997,-0.311917783,46.699025743,61.043696866,14.344671123,2.000000000,1.250000000,-0.750000000,0.999932160,0.999920111,-0.000012049,true,true,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907185,available_pair,complete_20k,complete_20k,false,false,true,true,49.708347354,,,56.652500817,,,0.500000000,1.000000000,0.500000000,0.999971034,0.000000000,-0.999971034,true,true,0,true,false,-1
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907186,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907188,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907195,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907196,available_pair,complete_20k,complete_20k,false,false,true,true,43.602273936,42.051350787,-1.550923149,46.004095382,64.294126033,18.290030651,1.500000000,2.250000000,0.750000000,0.382567587,0.604241722,0.221674135,false,true,1,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907198,available_pair,complete_20k,complete_20k,false,false,true,true,47.892140276,,,50.248943778,,,0.750000000,1.000000000,0.250000000,0.999660340,0.000000000,-0.999660340,true,true,0,true,false,-1
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907201,available_pair,complete_20k,complete_20k,false,false,true,true,44.942697305,44.874066698,-0.068630607,45.761681784,63.503668308,17.741986524,0.000000000,2.333333333,2.333333333,0.376806464,0.999945577,0.623139113,true,true,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907202,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907204,available_pair,complete_20k,complete_20k,false,false,true,true,42.551096932,43.249503232,0.698406300,45.688868007,62.744750327,17.055882320,1.500000000,3.500000000,2.000000000,0.972152125,0.999942489,0.027790364,false,false,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907205,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907206,available_pair,complete_20k,complete_20k,false,false,true,true,40.784927423,43.074636945,2.289709522,41.385650053,63.250852554,21.865202501,0.500000000,1.000000000,0.500000000,0.071055758,0.490224046,0.419168288,true,true,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4908168,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4908178,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_60098,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907207,available_pair,complete_20k,complete_20k,false,false,true,true,47.813262926,62.710466543,14.897203617,49.548265253,63.164087622,13.615822369,0.750000000,0.875000000,0.125000000,0.082629722,0.010731570,-0.071898152,true,true,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907165,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907177,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907179,available_pair,complete_20k,complete_20k,false,false,true,true,40.333748678,46.842713238,6.508964560,42.215608368,47.134837345,4.919228977,0.333333333,0.666666667,0.333333334,0.101243481,0.003988566,-0.097254915,true,true,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_42364665,available_pair,complete_20k,complete_20k,false,false,true,true,45.541309736,52.459360250,6.918050514,53.006412432,69.442000000,16.435587568,7.000000000,6.000000000,-1.000000000,0.963865997,0.991555680,0.027689683,true,true,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4906965,available_pair,complete_20k,complete_20k,false,false,true,true,54.237111892,53.857387169,-0.379724723,83.627378270,65.219304304,-18.408073966,6.000000000,5.000000000,-1.000000000,0.997166832,0.993806765,-0.003360067,false,false,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_42364667,available_pair,complete_20k,complete_20k,false,false,true,true,49.195175639,49.156208366,-0.038967273,62.829594554,69.537487017,6.707892463,3.000000000,5.000000000,2.000000000,0.947616217,0.998862963,0.051246746,true,false,-1,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907176,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4907180,available_pair,complete_20k,complete_20k,false,false,true,true,43.267904398,52.606623220,9.338718822,46.398129610,69.202555749,22.804426139,0.333333333,1.000000000,0.666666667,0.022792228,0.992636995,0.969844767,true,true,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4906967,available_pair,complete_20k,complete_20k,false,false,true,true,74.386061685,63.341281402,-11.044780283,92.772330747,75.618311223,-17.154019524,0.434782609,1.217391304,0.782608695,0.378504463,0.985164937,0.606660474,false,false,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4908023,available_pair,complete_20k,complete_20k,false,false,true,true,44.688347920,46.604297804,1.915949884,46.368659434,47.139839960,0.771180526,0.000000000,0.000000000,0.000000000,0.766236166,0.999744730,0.233508564,true,true,0,true,true,0
jointbuildgs.pilot_1wave.scoring.v1,building_gap,1002,building,DEBY_LOD2_4908024,available_pair,complete_20k,complete_20k,false,false,true,true,,,,,,,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,true,true,0,false,false,0
