building_id,population_scope,dense_assembled,dense_status_source,footprint_area_m2,small_lt50,anchor_status,anchor_measurement_source,anchor_measurement_lineage,anchor_selected_dlt_point_count,anchor_footprint_inside_point_count,anchor_inside_z_median_m,anchor_inside_z_mad_m,anchor_coverage_ratio,anchor_selected_pair_count,anchor_completed_pair_count,anchor_eligible_pair_count,anchor_zero_observed,anchor_undecided_sticker,anchor_count_threshold,anchor_mad_threshold_status,outline_observable,outline_representative_view_count,outline_inframe_frac_max,outline_valid_pixel_count_max,outline_definition_source,cell_label,cell_assignment_basis,legacy_v1_2_label_reference,ref_roof_type,ref_roof_slope_group,ref_roof_type_source,ref_roof_type_role,override_recorded,override_source,override_inside_count,override_effect_on_cell,texture_low_gradient_fraction,texture_grad_p10,texture_signal_role,crs,learning_runs_started,new_inference_type,same_block_only,pair_independence,low_independence,supplement_measurement_source,supplement_measurement_lineage,supplement_cache_reuse_runs,supplement_new_mast3r_inference_runs,supplement_new_inference_allowlist,preregister_primary_list_eligible
DEBY_LOD2_4906967,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,2568.094000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,432,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.444000,0.004400,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906968,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,1781.398000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,542,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.768000,0.007100,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906969,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,173.375000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,110,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,multiple horizontal,horizontal,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.506000,0.004400,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906970,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,154.490000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,101,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.533000,0.002000,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906972,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,371.016000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,178,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.125000,0.018500,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906973,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,55.297000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,65,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.633000,0.004400,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906974,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,315.332000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,169,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.380000,0.007100,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906975,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,1805.656000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,345,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.574000,0.005900,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906976,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,273.078000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,160,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.311000,0.008100,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906977,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,530.766000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,205,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.727000,0.003900,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906980,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,44.926000,true,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,62,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.576000,0.004400,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906981,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,1419.988000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,385,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.498000,0.005900,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906982,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,1385.406000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,366,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.238000,0.011100,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
DEBY_LOD2_4906983,canonical_raw_lidar_assembled_178,true,docs/regression_input_snapshot.csv,932.787000,false,not_applicable_dense_assembled,,,,,,,,,,,,,1,not_preregistered,true,3,1.000000,304,boundary_map_v3: views>=2 and inframe_max>0 and valid_pixel_max>=3,cell_1_assembled,raw_dense assembled=true,well-textured,slanted,sloped,"phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv: input=ALS, rf_roof_type",classification only,false,,,,0.538000,0.004400,descriptive covariate; not used in cell assignment,EPSG:25832,0,none; existing measurement read-only,false,not_supplement_target_original_value,false,,,0,0,,unchanged_not_evaluated_by_supplement
