setting,run_name,roofer_repeat,building_id,prep_returncode,n_clip,n_used,n_building,n_building_in_fp,classified_las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_4908179,0,25083,25083,25083,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_4908179_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_60098,0,186932,186932,186932,751,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_60098_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_8568391,0,16525,16525,16525,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_8568391_run_1_classified.las
base,gs_e5_C001_sparse_r2,run_1,DEBY_LOD2_8568392,0,15799,15799,15799,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_sparse_r2/run_1/DEBY_LOD2_8568392_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_108247349,0,10914,10914,10914,17,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_108247349_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_108247350,0,10747,10747,10747,4,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_108247350_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_108247351,0,11090,11090,11090,210,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_108247351_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4907184,0,655299,655299,655299,410556,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4907184_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4907185,0,656548,656548,656548,3911,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4907185_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4907186,0,9568,9568,9568,598,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4907186_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4907188,0,2240,2240,2240,496,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4907188_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4907194,0,11812,11812,11812,194,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4907194_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4907195,0,17435,17435,17435,1861,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4907195_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4907198,0,119185,119185,119185,5059,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4907198_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4907199,0,11700,11700,11700,1819,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4907199_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4907202,0,1505,1505,1505,771,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4907202_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4908168,0,498353,498353,498353,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4908168_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4908178,0,7000,7000,7000,365,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4908178_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_4908179,0,8423,8423,8423,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_4908179_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_60098,0,193259,193259,193259,843,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_60098_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_8568391,0,1448,1448,1448,38,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_8568391_run_1_classified.las
base,gs_e5_C001_dense_r1,run_1,DEBY_LOD2_8568392,0,1135,1135,1135,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r1/run_1/DEBY_LOD2_8568392_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_108247349,0,22100,22100,22100,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_108247349_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_108247350,0,12955,12955,12955,53,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_108247350_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_108247351,0,16272,16272,16272,343,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_108247351_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4907184,0,651158,651158,651158,410236,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4907184_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4907185,0,652966,652966,652966,5307,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4907185_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4907186,0,8367,8367,8367,587,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4907186_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4907188,0,2724,2724,2724,561,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4907188_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4907194,0,14272,14272,14272,201,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4907194_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4907195,0,17615,17615,17615,2011,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4907195_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4907198,0,120423,120423,120423,7788,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4907198_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4907199,0,24108,24108,24108,276,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4907199_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4907202,0,15353,15353,15353,4010,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4907202_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4908168,0,502692,502692,502692,749,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4908168_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4908178,0,21654,21654,21654,5651,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4908178_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_4908179,0,23142,23142,23142,0,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_4908179_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_60098,0,193841,193841,193841,678,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_60098_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_8568391,0,15353,15353,15353,223,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_8568391_run_1_classified.las
base,gs_e5_C001_dense_r2,run_1,DEBY_LOD2_8568392,0,14100,14100,14100,111,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_dense_r2/run_1/DEBY_LOD2_8568392_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_108247349,0,15531,15531,15531,58,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_108247349_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_108247350,0,15929,15929,15929,8,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_108247350_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_108247351,0,16698,16698,16698,222,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_108247351_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4907184,0,647412,647412,647412,415961,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4907184_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4907185,0,648661,648661,648661,5298,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4907185_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4907186,0,12628,12628,12628,999,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4907186_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4907188,0,2896,2896,2896,461,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4907188_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4907194,0,14628,14628,14628,228,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4907194_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4907195,0,23850,23850,23850,2841,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4907195_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4907198,0,121876,121876,121876,4796,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4907198_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4907199,0,19203,19203,19203,1643,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4907199_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4907202,0,3991,3991,3991,885,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4907202_run_1_classified.las
base,gs_e5_C001_acmp_r1,run_1,DEBY_LOD2_4908168,0,504998,504998,504998,2421,/workspace/JointBuildGS/phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/roofer/gs_e5_C001_acmp_r1/run_1/DEBY_LOD2_4908168_run_1_classified.las
