selection_rank,building_id,tier,role,calibration_exposed,later_extension_judgment_eligible,centroid_x_m,centroid_y_m,core_footprint_distance_m,als_density_pts_m2,dim_density_pts_m2,support_geomean_pts_m2,maximin_distance_m,stable_tie_sha256,selection_reason
22,DEBY_LOD2_4959326,surface,trigger,true,false,691092.875367550,5336183.102069762,67.027374744,16.059464000,161.563446000,50.937435593,55.157264884,ad85d13ecd30d9f037fdd96093d820a2b98307fa10f59ede3acefb050d3b323e,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
23,DEBY_LOD2_4906969,surface,fit,true,false,690927.856828119,5336018.427554713,48.864261648,18.301449000,272.265503000,70.589327930,54.615413849,b6b5fa05de2c77366c2c4dba1d942c5bd6ebf05cc8703da29ed438058c80f1a6,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
24,DEBY_LOD2_4907521,surface,check,true,false,690985.817021740,5335886.178818226,116.870458201,20.221304000,112.250618000,47.642983437,54.287701464,782689f177b37646ff490e3cf998740d5ed7e273784c08f233cac235838f0732,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
25,DEBY_LOD2_4959464,surface,fit,true,false,691036.142007445,5336310.008929197,44.437910608,18.938215000,183.725403000,58.986703442,46.471331700,c1394111fbfcb29bc15da02f419250bd0dce1f05c831d20fbde677d0578e0ea8,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
26,DEBY_LOD2_4906976,surface,trigger,true,false,690974.938640848,5335924.581824469,82.739314114,20.007313000,582.755493000,107.978569869,39.914033364,d0e65edbbcd1b576801d2f58cb96a438464116c39f2cc8dc305b8363cb40c949,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
27,DEBY_LOD2_4959325,surface,fit,true,false,691078.850465198,5336247.138692626,28.575942144,11.097561000,192.281464000,46.193671384,36.468041598,797b88f266900b897fd045be8bb87dc0c81d0bb4c9e63cbd5a1e5a0491d59f39,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
28,DEBY_LOD2_4959458,surface,check,true,false,691023.149102486,5336141.517090578,76.422048684,19.780184000,942.165466000,136.514491084,34.595140550,4f41e4d09c55f25a81d1d313a3c472926f93a49e6fa99167bba0dff8d82f28cd,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
29,DEBY_LOD2_4907518,surface,fit,true,false,690927.186207770,5335908.609080805,61.722722720,19.498507000,570.181091000,105.440409683,33.764141804,65c12bf73ea3f5808a083b356538e434db670e03afe7e6c10bfebde0b76992bf,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
30,DEBY_LOD2_4959457,surface,trigger,true,false,691031.609180635,5336020.976801465,115.639308723,19.026808000,378.108307000,84.818595606,33.363217265,30d648647daeaa56ee39dc3cb4d16be0467fedd963098350e06fa508f4bc7437,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
31,DEBY_LOD2_4906989,surface,fit,true,false,690977.555138818,5336338.674281734,71.226723889,18.886631000,124.195457000,48.431743395,33.215745213,1f131fc98830f0bdf132d356eb2f1621bb4c8a7c225f0b7ca87045aa308e8923,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
32,DEBY_LOD2_4906998,surface,check,true,false,690943.855280042,5336347.612944294,59.849381556,17.925018000,79.478508000,37.744584863,32.909825175,2a8975f9763fa3214693be307f89352753f087019105531f80c70c7e6028b5a9,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
33,DEBY_LOD2_4959323,surface,fit,true,false,691066.460401454,5336095.945430933,121.235677443,19.324005000,504.358337000,98.722960987,32.800381617,aeb1e7c961e52587c0387c729ebd6e455fcef1b4ebe0f590a2a2100014ef2615,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
34,DEBY_LOD2_4906981,surface,trigger,true,false,691005.607301739,5335944.062050009,101.523930676,19.260017000,518.116882000,99.894644277,31.114204251,0fdb7ada70a316e5f11d735bb702737658ae26bff1bd5827483160d9453e36f4,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
35,DEBY_LOD2_4907507,surface,fit,true,false,690848.077839395,5335940.915900441,24.170083440,21.074734000,667.520264000,118.607807515,30.305627385,996bbc17f25a40a2523d827042af669a579dca93ce3725833faee5492edf2504,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
36,DEBY_LOD2_4959459,surface,check,true,false,691028.795238919,5336113.614315253,90.337858869,16.080320000,458.701477000,85.884029567,28.468293371,600fd4f87bd0c0766824a53b2f6cf328a80e30910ba920453363d62d46e4853e,extension_surface_both_assembled;positive_density;no_core_overlap;core_distance_ge_20m;support_seed_then_centroid_maximin
