bid,bid_int,source,roof_y_count,roof_y_min,roof_y_p05,roof_y_p10,roof_y_p25,roof_y_median,roof_y_mean,roof_y_p75,roof_y_p90,roof_y_p95,roof_y_max,roof_z_count,roof_z_min,roof_z_p05,roof_z_p10,roof_z_p25,roof_z_median,roof_z_mean,roof_z_p75,roof_z_p90,roof_z_p95,roof_z_max
B3,3,E1_Baseline_rendered,21917,-26.734960556030273,-23.28672676086426,-21.884182357788085,-15.959643363952637,-5.208770751953125,-9.483587856388889,-3.9730606079101562,-3.3289029598236084,-2.899235725402832,-1.4608306884765625,21917,-53.244144439697266,-47.35652465820313,-44.8349723815918,-38.97935104370117,-27.43622589111328,-27.4527329897725,-15.945523262023926,-9.354618644714355,-7.2117462158203125,-2.1482067108154297
B3,3,E2_Mutual_rendered,21962,-26.659896850585938,-23.29120225906372,-21.92139415740967,-15.989543676376343,-5.214962005615234,-9.498667639783253,-3.965709686279297,-3.3274856567382813,-2.911013257503509,-1.414703369140625,21962,-53.22414016723633,-47.43650398254395,-44.930141067504884,-39.074941635131836,-27.466134071350098,-27.47239541808782,-15.953208923339844,-9.335416316986082,-7.16991250514984,-2.1834349632263184
B123,123,E1_Baseline_rendered,18388,-19.049951553344727,-17.2019136428833,-17.08118419647217,-16.9697003364563,-16.854039192199707,-14.37485300280982,-14.032485008239746,-4.5024489402771,-4.3564553499221805,-3.0782546997070312,18388,-92.23953247070312,-87.84842834472656,-85.19342803955078,-80.35782432556152,-75.50956726074219,-75.74512175650656,-70.85540771484375,-66.98191986083984,-64.96413612365723,-60.533077239990234
B123,123,E2_Mutual_rendered,18397,-19.07488250732422,-17.20336151123047,-17.0783390045166,-16.970561981201172,-16.852928161621094,-14.352734437434384,-14.030952453613281,-4.49930772781372,-4.352792072296142,-2.674546480178833,18397,-92.1290512084961,-87.86866912841796,-85.2080810546875,-80.49053955078125,-75.51119232177734,-75.7934823674586,-70.85977935791016,-66.98711242675782,-64.96315307617188,-60.649662017822266
B126,126,E1_Baseline_rendered,12794,-20.625831604003906,-19.08765239715576,-18.757058715820314,-17.90798807144165,-17.63868236541748,-14.306001196713378,-5.232990503311157,-4.142834711074829,-4.0576618194580085,-2.9429473876953125,12794,-102.52020263671875,-98.14994392395019,-96.36775512695313,-90.96040344238281,-84.45590591430664,-85.93454760619584,-80.7773551940918,-78.0611801147461,-76.78709144592285,-73.67340850830078
B126,126,E2_Mutual_rendered,12999,-20.62230682373047,-19.081616020202638,-18.75493049621582,-17.90764045715332,-17.628870010375977,-14.128317348131153,-4.985992431640625,-4.154720211029053,-4.078310585021973,-2.964214563369751,12999,-102.11604309082031,-98.1192626953125,-96.31651763916015,-91.21383666992188,-84.48302459716797,-86.05443996462017,-80.85657501220703,-78.09413146972656,-76.81790390014649,-73.66663360595703
B50,50,E1_Baseline_rendered,3257,-19.386186599731445,-18.466482162475586,-18.3658016204834,-18.06678009033203,-17.625165939331055,-17.54371486443627,-17.24165153503418,-16.55198631286621,-15.996460533142091,-14.071342468261719,3257,27.007001876831055,29.19906539916992,30.018383026123047,31.644245147705078,33.27940368652344,33.32346544860147,35.0317268371582,36.66423721313477,37.48399276733399,39.21576690673828
B50,50,E2_Mutual_rendered,3275,-19.45135498046875,-18.46461925506592,-18.371896743774414,-18.06514549255371,-17.635305404663086,-17.546795013369493,-17.243804931640625,-16.555327224731446,-15.997177886962891,-13.41987419128418,3275,27.009967803955078,29.22197036743164,30.102294540405275,31.65453338623047,33.30142593383789,33.33622433611455,35.02882957458496,36.656725311279295,37.46863021850586,39.16599655151367
B104,104,E1_Baseline_rendered,445,-4.970301151275635,-4.107121372222901,-4.003342628479004,-3.8886947631835938,-3.7817490100860596,-3.754807813515824,-3.662200927734375,-3.549882507324219,-3.3054523468017583,-2.4890079498291016,445,72.73114013671875,73.40585174560547,73.79291076660157,74.98157501220703,76.77928161621094,76.64337629682562,78.25945281982422,79.22809600830078,79.55340728759765,80.62263488769531
B104,104,E2_Mutual_rendered,420,-9.003584861755371,-4.133304476737976,-4.068483352661133,-3.9283015727996826,-3.767803192138672,-3.7973982453346253,-3.6477794647216797,-3.5366585731506346,-3.3925128459930423,-2.359773635864258,420,72.57460021972656,73.39129028320312,73.79126358032227,74.98112487792969,76.7603988647461,76.58444068545387,78.15732955932617,79.10650100708008,79.37027511596679,79.99958801269531
