input,building_id,w2_status,run2_status,status_flip,w2_has_lod22,run2_has_lod22,has_lod22_flip,w2_val3dity_valid,run2_val3dity_valid,val3dity_flip,w2_rf_rmse_lod22,run2_rf_rmse_lod22,rf_rmse_lod22_delta,w2_rf_roof_planes,run2_rf_roof_planes,rf_roof_planes_delta
DIM,DEBY_LOD2_4907020,success,success,false,True,True,false,True,True,false,1.427024,1.427024,0.000000,13,13,0.000000
DIM,DEBY_LOD2_4907023,success,success,false,True,True,false,True,True,false,1.045816,1.045816,0.000000,5,5,0.000000
DIM,DEBY_LOD2_4907024,success,success,false,True,True,false,True,True,false,0.729676,0.729676,0.000000,4,4,0.000000
DIM,DEBY_LOD2_4907025,failure,failure,false,True,True,false,False,False,false,2.017232,2.017323,0.000091,35,34,-1.000000
DIM,DEBY_LOD2_4907173,success,success,false,True,True,false,True,True,false,1.175114,1.176524,0.001410,41,41,0.000000
DIM,DEBY_LOD2_4907178,success,success,false,True,True,false,True,True,false,1.026124,1.039116,0.012992,26,26,0.000000
DIM,DEBY_LOD2_4907179,success,success,false,True,True,false,True,True,false,0.401766,0.401673,-0.000093,22,22,0.000000
DIM,DEBY_LOD2_4907180,success,success,false,True,True,false,True,True,false,1.206036,1.206035,-0.000001,19,19,0.000000
DIM,DEBY_LOD2_4907182,failure,failure,false,False,False,false,True,True,false,0.000000,0.000000,0.000000,1,1,0.000000
DIM,DEBY_LOD2_4907183,success,success,false,True,True,false,True,True,false,0.677522,0.681007,0.003485,38,39,1.000000
DIM,DEBY_LOD2_4907184,success,success,false,True,True,false,True,True,false,1.314429,1.314429,0.000000,26,26,0.000000
DIM,DEBY_LOD2_4907196,success,success,false,True,True,false,True,True,false,0.994708,0.994866,0.000158,23,23,0.000000
DIM,DEBY_LOD2_4907201,success,success,false,True,True,false,True,True,false,2.136026,2.138319,0.002293,14,14,0.000000
DIM,DEBY_LOD2_4907204,success,success,false,True,True,false,True,True,false,1.564672,1.564684,0.000012,34,34,0.000000
DIM,DEBY_LOD2_4907205,success,success,false,True,True,false,True,True,false,0.554564,0.554564,0.000000,7,7,0.000000
DIM,DEBY_LOD2_4907206,success,success,false,True,True,false,True,True,false,1.178720,1.178720,0.000000,5,5,0.000000
DIM,DEBY_LOD2_4907207,success,success,false,True,True,false,True,True,false,1.952652,1.952652,0.000000,25,25,0.000000
DIM,DEBY_LOD2_4907506,success,success,false,True,True,false,True,True,false,1.731269,1.731269,0.000000,18,18,0.000000
DIM,DEBY_LOD2_4907507,success,success,false,True,True,false,True,True,false,1.434313,1.434310,-0.000003,22,22,0.000000
DIM,DEBY_LOD2_4907509,success,success,false,True,True,false,True,True,false,1.176821,1.143745,-0.033076,22,29,7.000000
DIM,DEBY_LOD2_4907510,failure,failure,false,False,False,false,True,True,false,0.000000,0.000000,0.000000,7,8,1.000000
DIM,DEBY_LOD2_4907514,success,success,false,True,True,false,True,True,false,1.774886,1.796194,0.021308,26,32,6.000000
