family,label,band,z_min,z_max,n_gaussians,z_p50,opacity_p50,camera_z_p05,camera_z_p50,camera_z_p95,sheet_vs_camera_p50_m,ckpt
corrected_recheck,sparse,z_hist_2m,594,596,32744,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,596,598,27943,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,598,600,16836,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,600,602,15132,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,602,604,11885,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,604,606,7144,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,606,608,8801,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,608,610,4705,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,610,612,4151,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
corrected_recheck,sparse,z_hist_2m,612,614,1828,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_sparse_r1/ckpt/final.pt
