arm,replicate,building_id,raw_source,gs_source,raw_density_pts_m2,gs_density_pts_m2,delta_density_gs_minus_raw,raw_coverage_frac,gs_coverage_frac,delta_coverage_gs_minus_raw,raw_ref_dist_rms_m,gs_ref_dist_rms_m,noise_gain_raw_minus_gs_m,raw_normal_structure,gs_normal_structure,delta_normal_modes_gs_minus_raw,raw_has_lod22,gs_has_lod22,raw_shell_bucket,gs_shell_bucket,gs_vs_raw_observation
sparse,r2,DEBY_LOD2_8568392,raw_sparse,gs_sparse_r2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,mixed_or_tie
dense,r1,DEBY_LOD2_108247349,raw_dense,gs_dense_r1,0.0000,0.0593,0.0593,0.0000,0.0025,0.0025,,2.4409,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,improved_more_axes
dense,r1,DEBY_LOD2_108247350,raw_dense,gs_dense_r1,0.2472,0.0000,-0.2472,0.0417,0.0000,-0.0417,15.7400,,,too_few_points,too_few_points,0.0000,false,false,미조립,미조립,worsened_more_axes
dense,r1,DEBY_LOD2_108247351,raw_dense,gs_dense_r1,0.0000,1.2102,1.2102,0.0000,0.0308,0.0308,,13.4898,,too_few_points,multi_slope,4.0000,false,true,미조립,조립,improved_more_axes
dense,r1,DEBY_LOD2_4907184,raw_dense,gs_dense_r1,597.5548,1212.7410,615.1862,0.9978,0.9993,0.0015,2.4193,3.5658,-1.1465,multi_slope,multi_slope,0.0000,true,true,조립,무효·붕괴,improved_more_axes
dense,r1,DEBY_LOD2_4907185,raw_dense,gs_dense_r1,21.6671,21.3503,-0.3168,0.3944,0.2609,-0.1335,1.4920,3.2756,-1.7836,multi_slope,multi_slope,1.0000,true,true,조립,조립,worsened_more_axes
dense,r1,DEBY_LOD2_4907186,raw_dense,gs_dense_r1,2.8600,2.7110,-0.1490,0.2734,0.0282,-0.2452,0.8594,3.2043,-2.3449,multi_slope,single_slope,-1.0000,true,true,조립,조립,worsened_more_axes
dense,r1,DEBY_LOD2_4907188,raw_dense,gs_dense_r1,6.7397,1.7723,-4.9674,0.5015,0.0422,-0.4593,1.1212,2.2426,-1.1214,multi_slope,multi_slope,-1.0000,true,true,조립,무효·붕괴,worsened_more_axes
dense,r1,DEBY_LOD2_4907194,raw_dense,gs_dense_r1,0.2209,0.1551,-0.0658,0.0353,0.0047,-0.0306,0.4538,0.9409,-0.4871,multi_slope,weak_structure,0.0000,false,false,미조립,미조립,worsened_more_axes
dense,r1,DEBY_LOD2_4907195,raw_dense,gs_dense_r1,3.8574,5.6399,1.7825,0.2873,0.0817,-0.2056,0.6511,0.8855,-0.2344,multi_slope,multi_slope,0.0000,true,true,조립,조립,worsened_more_axes
