building_id,source_run,source_group,roof_planes,ref_roof_planes,model_normal_mode_count,ref_normal_mode_count,model_tilt_p50_deg,model_tilt_p90_deg,model_z_p10_p90_span_m,shape_class,has_lod22,shell_bucket,completeness,correctness,ref_rms_m,shape_note
DEBY_LOD2_108247351,gs_sparse_r1,gs_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4907184,gs_sparse_r1,gs_sparse,14,4,7,4,22.9920,38.2624,3.5376,multi_plane,true,무효·붕괴,1.0000,0.2857,1.5591,invalid_or_collapse
DEBY_LOD2_4907185,gs_sparse_r1,gs_sparse,2,2,0,2,2.5810,3.7957,0.1770,multi_plane,true,조립,1.0000,1.0000,3.4967,observed
DEBY_LOD2_4907186,gs_sparse_r1,gs_sparse,1,2,1,2,37.5415,37.5415,7.8988,flat_or_single_plane,true,조립,0.0000,0.0000,6.8284,flat_relative_to_reference
DEBY_LOD2_4907188,gs_sparse_r1,gs_sparse,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907194,gs_sparse_r1,gs_sparse,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4907195,gs_sparse_r1,gs_sparse,1,2,1,2,33.4140,33.4140,6.8205,flat_or_single_plane,true,조립,0.5000,1.0000,6.1254,flat_relative_to_reference
DEBY_LOD2_4907198,gs_sparse_r1,gs_sparse,1,4,1,3,14.2822,14.2822,4.2194,flat_or_single_plane,true,조립,0.2500,1.0000,1.7088,flat_relative_to_reference
DEBY_LOD2_4907199,gs_sparse_r1,gs_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907202,gs_sparse_r1,gs_sparse,1,2,0,1,0.0000,0.0000,0.0000,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,13.8300,invalid_or_collapse
DEBY_LOD2_4908168,gs_sparse_r1,gs_sparse,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4908178,gs_sparse_r1,gs_sparse,1,2,0,2,0.0000,0.0000,0.0000,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,11.2439,invalid_or_collapse
DEBY_LOD2_4908179,gs_sparse_r1,gs_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_60098,gs_sparse_r1,gs_sparse,1,2,1,2,63.1524,63.1524,20.7516,flat_or_single_plane,true,조립,0.0000,0.0000,14.0441,flat_relative_to_reference
DEBY_LOD2_8568391,gs_sparse_r1,gs_sparse,1,1,0,0,0.0000,0.0000,0.0000,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,9.9430,invalid_or_collapse
DEBY_LOD2_8568392,gs_sparse_r1,gs_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247349,gs_sparse_r2,gs_sparse,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247350,gs_sparse_r2,gs_sparse,1,1,1,0,48.3005,48.3005,3.4012,flat_or_single_plane,true,조립,0.0000,0.0000,15.3897,observed
DEBY_LOD2_108247351,gs_sparse_r2,gs_sparse,1,1,1,0,44.6694,44.6694,4.7462,flat_or_single_plane,true,조립,0.0000,0.0000,15.0751,observed
DEBY_LOD2_4907184,gs_sparse_r2,gs_sparse,17,4,8,4,19.5222,45.0739,3.7134,multi_plane,true,무효·붕괴,1.0000,0.2353,2.5692,invalid_or_collapse
DEBY_LOD2_4907185,gs_sparse_r2,gs_sparse,2,2,1,2,14.5702,23.4290,0.7270,multi_plane,true,조립,1.0000,1.0000,3.5820,observed
DEBY_LOD2_4907186,gs_sparse_r2,gs_sparse,1,2,1,2,66.5015,66.5015,23.3335,flat_or_single_plane,true,조립,0.0000,0.0000,14.6121,flat_relative_to_reference
DEBY_LOD2_4907188,gs_sparse_r2,gs_sparse,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4907194,gs_sparse_r2,gs_sparse,1,2,1,2,65.0133,65.0133,21.6345,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,12.6847,invalid_or_collapse
DEBY_LOD2_4907195,gs_sparse_r2,gs_sparse,1,2,1,2,40.0375,40.0375,8.7108,flat_or_single_plane,true,조립,0.5000,1.0000,6.8449,flat_relative_to_reference
DEBY_LOD2_4907198,gs_sparse_r2,gs_sparse,1,4,0,3,3.4878,3.4878,1.0269,flat_or_single_plane,true,조립,0.2500,1.0000,3.6231,flat_relative_to_reference
DEBY_LOD2_4907199,gs_sparse_r2,gs_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907202,gs_sparse_r2,gs_sparse,1,2,0,1,0.9976,0.9976,0.1053,flat_or_single_plane,true,조립,0.5000,1.0000,1.1202,flat_relative_to_reference
DEBY_LOD2_4908168,gs_sparse_r2,gs_sparse,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4908178,gs_sparse_r2,gs_sparse,1,2,0,2,0.7831,0.7831,0.1263,flat_or_single_plane,true,조립,0.5000,1.0000,2.4746,flat_relative_to_reference
DEBY_LOD2_4908179,gs_sparse_r2,gs_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_60098,gs_sparse_r2,gs_sparse,1,2,1,2,51.9562,51.9562,13.1566,flat_or_single_plane,true,조립,0.5000,1.0000,7.3460,flat_relative_to_reference
DEBY_LOD2_8568391,gs_sparse_r2,gs_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_8568392,gs_sparse_r2,gs_sparse,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247349,gs_dense_r1,gs_dense,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247350,gs_dense_r1,gs_dense,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
