building_id,source_run,source_group,display_label,pair_raw,seed,replicate,footprint_area_m2,roof_point_count,density_pts_m2,coverage_frac,grid_occupied_cells,grid_total_cells,ref_lookup_miss_frac,ref_abs_dist_p50_m,ref_abs_dist_p90_m,ref_dist_rms_m,z_p10_p90_span_m,z_shift_to_reference_m,crs,normal_count,tilt_p50_deg,tilt_p90_deg,normal_mode_count,normal_structure
DEBY_LOD2_8568391,raw_dense,raw_dense,raw dense(MVS),,,,55.5357,0,0.0000,0.0000,0,221,1.0000,,,,,0.0000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_8568392,raw_dense,raw_dense,raw dense(MVS),,,,5.7975,0,0.0000,0.0000,0,24,1.0000,,,,,0.0000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247349,raw_acmp,raw_acmp,raw acmp,,,,101.1027,5,0.0495,0.0100,4,402,0.0000,5.5764,51.5768,32.8368,46.6020,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_108247350,raw_acmp,raw_acmp,raw acmp,,,,12.1371,114,9.3927,0.7917,38,48,0.0000,13.4650,37.0070,18.5890,24.0580,-45.7000,EPSG:25832,114,88.253,89.824,4,multi_slope
DEBY_LOD2_108247351,raw_acmp,raw_acmp,raw acmp,,,,65.2785,266,4.0748,0.3308,86,260,0.0000,11.1630,35.0880,16.1999,26.8100,-45.7000,EPSG:25832,266,87.454,89.761,6,multi_slope
DEBY_LOD2_4907184,raw_acmp,raw_acmp,raw acmp,,,,337.8636,104495,309.2817,0.9993,1351,1352,0.0000,2.0747,10.3450,5.4703,13.1600,-45.7000,EPSG:25832,700,45.780,89.464,4,multi_slope
DEBY_LOD2_4907185,raw_acmp,raw_acmp,raw acmp,,,,160.9815,6174,38.3522,0.7065,455,644,0.0000,2.0202,11.4457,5.6663,14.3900,-45.7000,EPSG:25832,700,80.944,89.869,3,multi_slope
DEBY_LOD2_4907186,raw_acmp,raw_acmp,raw acmp,,,,167.8323,5866,34.9515,0.8232,554,673,0.0000,2.1964,2.4865,2.2895,3.8800,-45.7000,EPSG:25832,700,52.942,72.141,2,multi_slope
DEBY_LOD2_4907188,raw_acmp,raw_acmp,raw acmp,,,,165.8832,4061,24.4811,0.8524,566,664,0.0000,1.7243,2.3296,2.3114,3.6400,-45.7000,EPSG:25832,700,61.000,87.750,3,multi_slope
DEBY_LOD2_4907194,raw_acmp,raw_acmp,raw acmp,,,,212.7291,5928,27.8664,0.9906,842,850,0.0000,1.8654,2.2724,3.3867,4.3500,-45.7000,EPSG:25832,700,33.929,87.091,2,multi_slope
DEBY_LOD2_4907195,raw_acmp,raw_acmp,raw acmp,,,,177.8385,10231,57.5297,0.9803,696,710,0.0000,2.3336,3.2341,2.8019,4.0100,-45.7000,EPSG:25832,700,46.815,87.132,3,multi_slope
DEBY_LOD2_4907198,raw_acmp,raw_acmp,raw acmp,,,,359.7993,20795,57.7961,0.8936,1285,1438,0.0000,2.0860,3.2142,4.6057,3.4200,-45.7000,EPSG:25832,700,20.193,86.607,5,multi_slope
DEBY_LOD2_4907199,raw_acmp,raw_acmp,raw acmp,,,,98.3464,650,6.6093,0.1552,61,393,0.0000,4.2330,6.0750,8.4692,4.0630,-45.7000,EPSG:25832,650,88.295,89.665,2,multi_slope
