building_id,footprint_area_m2,n_exterior_vertices,n_samples,n_views_nadir,n_views_oblique,n_views_total,median_pair_angle_deg,frac_pairs_10_60deg,median_incidence_deg,frac_views_incidence_le60,roof_obs_covered_frac,recon_score_median,recon_score_p10,roof_lowtex_frac,roof_grad_p10,roof_sat_frac,roof_periodicity,roof_lowtex_v4,lowtex_version,occlusion_frac_approx,lowtex_valid,roof_lowtex_v5,roof_grad_p10_v5,roof_sat_frac_v5,lowtex_v5_view,lowtex_v5_zenith_deg,lowtex_v5_frame_r,lowtex_v5_inframe_frac,lowtex_v5_area_px,lowtex_v5_delta_from_v4
DEBY_LOD2_4906968,1781.4,14,400,3.83,197.41,201.25,41.63,0.639,75.94,0.237,1.0,105.376,69.361,0.031,0.0357,0.0096,0.827,0.375,v4a_carryover_v3_contaminated,0.0,valid,0.768,0.0071,0.0,DJI_20241217101453_0037_D.JPG,77.824,0.792,1.0,9641,0.393
DEBY_LOD2_4906969,173.38,29,356,4.31,273.19,277.51,41.02,0.683,74.37,0.176,1.0,124.098,109.543,0.049,0.0305,0.0,0.353,0.549,v4a_carryover_v3_contaminated,1.0,valid,0.506,0.0044,0.0001,DJI_20241217084601_0104_D.JPG,11.02,0.52,1.0,103537,-0.043
DEBY_LOD2_4906970,154.49,6,219,4.1,200.13,204.23,29.33,0.788,60.29,0.493,1.0,180.271,149.453,0.09,0.0214,0.0337,0.534,0.503,v4a_carryover_v3_contaminated,0.0,valid,0.533,0.002,0.0001,DJI_20241217084615_0111_D.JPG,16.316,0.548,1.0,164163,0.03
DEBY_LOD2_4906972,371.02,20,400,6.97,196.3,203.26,35.05,0.783,64.61,0.378,1.0,158.726,116.036,0.004,0.1695,0.0146,0.628,0.087,v4a_carryover_v3_contaminated,0.0,valid,0.125,0.0185,0.001,DJI_20241217084407_0047_D.JPG,7.22,0.594,1.0,103546,0.038
DEBY_LOD2_4906973,55.3,6,54,6.7,217.98,224.69,33.97,0.806,72.92,0.275,1.0,167.405,164.544,0.044,0.0337,0.0,0.656,0.667,v4a_carryover_v3_contaminated,1.0,valid,0.633,0.0044,0.0,DJI_20241217084409_0048_D.JPG,8.11,0.335,1.0,101223,-0.034
DEBY_LOD2_4906974,315.33,13,329,6.27,196.74,203.0,35.76,0.756,71.32,0.2,1.0,148.32,123.599,0.035,0.0375,0.0,0.329,0.467,v4a_carryover_v3_contaminated,0.667,valid,0.38,0.0071,0.0,DJI_20241217084411_0049_D.JPG,5.459,0.519,1.0,74523,-0.087
DEBY_LOD2_4906975,1805.66,62,400,4.29,234.53,238.82,37.68,0.742,73.27,0.198,1.0,141.185,112.682,0.092,0.021,0.0,0.69,0.701,v4a_carryover_v3_contaminated,0.0,valid,0.574,0.0059,0.0085,DJI_20241217100319_0014_D.JPG,71.686,0.558,1.0,36513,-0.127
DEBY_LOD2_4906976,273.08,33,355,3.17,180.92,184.09,36.65,0.737,70.52,0.256,1.0,150.624,78.244,0.027,0.0417,0.0002,0.47,0.463,v4a_carryover_v3_contaminated,0.5,valid,0.311,0.0081,0.0013,DJI_20241217084324_0026_D.JPG,19.213,0.844,1.0,88382,-0.152
DEBY_LOD2_4906977,530.77,10,400,2.85,162.94,165.79,43.8,0.622,77.94,0.177,1.0,97.379,85.246,0.089,0.0214,0.0,0.562,0.823,v4a_carryover_v3_contaminated,0.0,valid,0.727,0.0039,0.0047,DJI_20241217084320_0024_D.JPG,16.331,0.84,1.0,79490,-0.096
DEBY_LOD2_4906980,44.93,5,43,4.7,202.65,207.35,38.3,0.7,73.06,0.161,1.0,126.712,119.93,0.031,0.04,0.0,0.595,0.561,v4a_carryover_v3_contaminated,1.0,valid,0.576,0.0044,0.0,DJI_20241217084314_0021_D.JPG,8.608,0.34,1.0,80205,0.015
