image_idx,image_name,backend,align_a,align_b,mvs_valid_pixels,residual_abs_median_m,residual_abs_p90_m,warp_amp_plane_m,warp_amp_quadratic_m,metric_depth,mono_normal_world
22,DJI_20241217084653_0130_D.JPG,Depth Anything V2 Small vits,-5.51604494,73.63894328,283479,1.6868,5.6053,7.0642,10.5903,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084653_0130_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084653_0130_D.npy
23,DJI_20241217084655_0131_D.JPG,Depth Anything V2 Small vits,-5.76490836,74.68968821,280401,1.5716,5.0889,6.7512,10.8343,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084655_0131_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084655_0131_D.npy
24,DJI_20241217084657_0132_D.JPG,Depth Anything V2 Small vits,-5.73185580,74.39120842,320808,1.8729,5.8013,5.3054,8.7572,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084657_0132_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084657_0132_D.npy
25,DJI_20241217084659_0133_D.JPG,Depth Anything V2 Small vits,-6.46886722,75.43056426,384504,2.5532,6.7032,4.1333,7.8970,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084659_0133_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084659_0133_D.npy
26,DJI_20241217084701_0134_D.JPG,Depth Anything V2 Small vits,-7.18147382,76.76294995,460634,3.1556,6.6993,5.3381,9.8293,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084701_0134_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084701_0134_D.npy
27,DJI_20241217084703_0135_D.JPG,Depth Anything V2 Small vits,-8.19274197,77.65287525,539953,4.3868,7.8281,4.0001,11.2433,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084703_0135_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084703_0135_D.npy
28,DJI_20241217084705_0136_D.JPG,Depth Anything V2 Small vits,-9.16778253,79.52588730,668319,3.9311,6.1346,5.1243,10.7972,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084705_0136_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084705_0136_D.npy
29,DJI_20241217084707_0137_D.JPG,Depth Anything V2 Small vits,-9.07472990,80.37567252,706582,3.6606,7.7106,8.6274,12.7307,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084707_0137_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084707_0137_D.npy
30,DJI_20241217084709_0138_D.JPG,Depth Anything V2 Small vits,-8.11559390,77.75139179,716175,4.0063,7.6425,8.9541,10.3838,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084709_0138_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084709_0138_D.npy
31,DJI_20241217084711_0139_D.JPG,Depth Anything V2 Small vits,-8.86277596,78.93091581,713394,2.6181,6.9416,1.5817,2.4765,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084711_0139_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084711_0139_D.npy
32,DJI_20241217084713_0140_D.JPG,Depth Anything V2 Small vits,-9.28850597,79.96338438,730874,2.8753,8.1296,5.7208,5.8257,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084713_0140_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084713_0140_D.npy
