family,arm,replicate,run_name,building_id,pk_target,has_lod22,pred_direction_mode_count,ref_direction_mode_count,mode_count_delta,pred_mode_azimuths_deg,ref_mode_azimuths_deg,azimuth_min_abs_delta_deg,azimuth_within_25deg,mode_ge1_and_azimuth_within_25deg,pred_roof_face_count,ref_roof_face_count,pred_sloped_face_count,ref_sloped_face_count,mode_definition,cityjson
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_60098,true,true,1,2,-1,246.3,68.9;248.9,2.6000,true,true,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_8568391,false,true,1,0,1,10.4,,,false,false,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_8568392,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_108247349,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_108247350,false,true,1,0,1,327.6,,,false,false,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_108247351,false,true,1,0,1,346.4,,,false,false,1,1,1,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4907184,false,true,1,4,-3,324.4,67.4;157.6;247.4;337.6,13.2000,true,true,4,4,4,4,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4907185,true,true,0,2,-2,,68.8;248.8,,false,false,1,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4907186,false,false,0,2,-2,,68.6;248.6,,false,false,0,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
s3a,s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,DEBY_LOD2_4907188,false,false,0,2,-2,,68.8;248.8,,false,false,0,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s3a_405_repair_20260713_C001/e5p_s3a_semantic_guided_20260713_C001/base/cityjson/gs_e5_C001_s3a_semantic_guided_r1_run_1.city.json
