setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,729,784,0.9298469387755102
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,626,644,0.9720496894409938
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,656,673,0.974739970282318
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,548,664,0.8253012048192772
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,843,850,0.991764705882353
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,710,710,1.0
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1420,1438,0.9874826147426982
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,195,393,0.4961832061068702
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,636,641,0.9921996879875195
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,104,114,0.9122807017543859
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,309,454,0.6806167400881057
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,24,474,0.05063291139240506
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568391,205,221,0.9276018099547512
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568392,21,24,0.875
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247349,8,402,0.01990049751243781
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247350,19,48,0.3958333333333333
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247351,146,260,0.5615384615384615
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_60098,390,784,0.49744897959183676
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_corrected_s1_preprune_keepall_acmp_r1,acmp,r1,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907185,352,644,0.546583850931677
