building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m
DEBY_LOD2_4907195,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,3,2,1,0.5000,1.0000,0.4447,6.1254,14.1092,710,1.597581,조립,false,18.3340
DEBY_LOD2_4907198,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,1,12,4,1,0.2500,1.0000,0.3814,1.7088,4.5518,1200,3.615297,조립,false,18.3340
DEBY_LOD2_4907199,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907202,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,1,5,2,0,0.0000,0.0000,,13.8300,14.7215,641,20.846184,무효·붕괴,false,18.3340
DEBY_LOD2_4908168,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4908178,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,1,2,0,0.0000,0.0000,,11.2439,11.7608,454,43.105537,무효·붕괴,false,18.3340
DEBY_LOD2_4908179,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_60098,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,2,2,0,0.0000,0.0000,,14.0441,31.2958,784,3.314752,조립,false,18.3340
DEBY_LOD2_8568391,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,무텍스처,mid,무텍스처,true,false,failure,val3dity_invalid,True,False,1,2,1,0,0.0000,0.0000,,9.9430,9.9430,221,12.204517,무효·붕괴,false,18.3340
DEBY_LOD2_8568392,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_108247349,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_108247350,gs_sparse,gs_sparse_r2,GS sparse r2,gs,sparse,r2,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),true,true,success,success,True,False,1,1,1,0,0.0000,0.0000,,15.3897,17.7825,48,0.350415,조립,false,18.3340
