building_id,cell_label,anchor_status,anchor_footprint_inside_point_count,anchor_inside_z_median_m,anchor_inside_z_mad_m,anchor_coverage_ratio,anchor_undecided_sticker,outline_observable,small_lt50,ref_roof_type,ref_roof_slope_group,legacy_v1_2_label_reference,texture_low_gradient_fraction,texture_grad_p10,learning_runs_started
DEBY_LOD2_4907169,cell_2_anchored,measured,156,-26.830304,1.954080,0.044299,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.647000,0.003900,0
DEBY_LOD2_4907174,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.533000,0.004400,0
DEBY_LOD2_4907175,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.444000,0.003900,0
DEBY_LOD2_4907181,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.514000,0.002800,0
DEBY_LOD2_4907182,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.738000,0.002800,0
DEBY_LOD2_4907187,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.541000,0.004400,0
DEBY_LOD2_4907199,cell_2_anchored,measured,373,-34.347425,0.022915,0.125000,,true,false,horizontal,horizontal,"textureless, correspondence-anchored",0.656000,0.004400,0
DEBY_LOD2_4907508,cell_2_anchored,measured,156,-39.959552,1.228451,0.097682,,true,false,multiple horizontal,horizontal,"textureless, correspondence-anchored",0.506000,0.004400,0
DEBY_LOD2_4907510,cell_3_outline_only,unmeasurable,0,,,0.000000,앵커 미판정,true,false,slanted,sloped,outline-only,0.554000,0.005500,0
DEBY_LOD2_4908044,cell_3_outline_only,measured,0,,,0.000000,,true,true,slanted,sloped,outline-only,0.312000,0.003900,0
DEBY_LOD2_4908045,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.539000,0.003900,0
DEBY_LOD2_4908046,cell_3_outline_only,measured,0,,,0.000000,,true,false,multiple horizontal,horizontal,outline-only,0.462000,0.003900,0
DEBY_LOD2_4908048,cell_2_anchored,measured,1379,-41.248347,0.039240,0.531447,,true,false,multiple horizontal,horizontal,"textureless, correspondence-anchored",0.374000,0.006200,0
DEBY_LOD2_4908049,cell_2_anchored,measured,966,-41.264825,0.035898,0.538462,,true,true,horizontal,horizontal,"textureless, correspondence-anchored",0.482000,0.002800,0
DEBY_LOD2_4908050,cell_3_outline_only,measured,0,,,0.000000,,true,false,horizontal,horizontal,outline-only,0.244000,0.008800,0
DEBY_LOD2_4908051,cell_3_outline_only,unmeasurable,0,,,0.000000,앵커 미판정,true,false,horizontal,horizontal,outline-only,0.197000,0.012600,0
DEBY_LOD2_4908052,cell_3_outline_only,unmeasurable,0,,,0.000000,앵커 미판정,true,false,slanted,sloped,outline-only,0.327000,0.008100,0
DEBY_LOD2_4908053,cell_3_outline_only,measured,0,,,0.000000,,true,true,slanted,sloped,outline-only,0.344000,0.008100,0
DEBY_LOD2_4908054,cell_3_outline_only,unmeasurable,0,,,0.000000,앵커 미판정,true,true,slanted,sloped,outline-only,0.653000,0.003900,0
DEBY_LOD2_4908157,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.517000,0.004400,0
DEBY_LOD2_4908158,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.602000,0.004400,0
DEBY_LOD2_4908159,cell_3_outline_only,measured,0,,,0.000000,,true,true,slanted,sloped,outline-only,0.650000,0.003900,0
DEBY_LOD2_4908160,cell_3_outline_only,measured,0,,,0.000000,,true,true,multiple horizontal,horizontal,outline-only,0.590000,0.004400,0
DEBY_LOD2_4908161,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.391000,0.005500,0
DEBY_LOD2_4908162,cell_3_outline_only,measured,0,,,0.000000,,true,false,horizontal,horizontal,outline-only,0.533000,0.003600,0
DEBY_LOD2_4908164,cell_3_outline_only,measured,0,,,0.000000,,true,true,slanted,sloped,outline-only,0.734000,0.002800,0
DEBY_LOD2_4908165,cell_3_outline_only,measured,0,,,0.000000,,true,true,horizontal,horizontal,outline-only,0.502000,0.002000,0
DEBY_LOD2_4908166,cell_3_outline_only,unmeasurable,0,,,0.000000,앵커 미판정,true,true,horizontal,horizontal,outline-only,0.599000,0.005500,0
DEBY_LOD2_4908167,cell_3_outline_only,unmeasurable,0,,,0.000000,앵커 미판정,true,true,horizontal,horizontal,outline-only,0.729000,0.003900,0
DEBY_LOD2_4908169,cell_3_outline_only,unmeasurable,0,,,0.000000,앵커 미판정,true,true,slanted,sloped,outline-only,0.821000,0.002000,0
DEBY_LOD2_4908170,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.603000,0.003900,0
DEBY_LOD2_4908176,cell_2_anchored,measured,6012,-40.715035,0.149244,0.919540,,true,true,slanted,sloped,"textureless, correspondence-anchored",0.293000,0.007300,0
DEBY_LOD2_4959758,cell_3_outline_only,measured,0,,,0.000000,,true,false,slanted,sloped,outline-only,0.501000,0.007100,0
DEBY_LOD2_8568391,cell_2_anchored,measured,456,-40.667009,0.032179,0.471698,,true,false,slanted,sloped,"textureless, correspondence-anchored",0.536000,0.004400,0
DEBY_LOD2_8568392,cell_2_anchored,measured,6,-40.570602,0.069191,0.108108,,true,true,slanted,sloped,"textureless, correspondence-anchored",0.549000,0.004400,0
DEBY_LOD2_8573617,cell_3_outline_only,measured,0,,,0.000000,,true,true,slanted,sloped,outline-only,0.556000,0.003900,0
