family,arm,band,z_min,z_max,n_gaussians,x_min,x_max,y_min,y_max,z_p50,opacity_p50,opacity_p95,ckpt
corrected_original,dense,z_hist_2m,624.0,626.0,463,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,626.0,628.0,366,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,628.0,630.0,294,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,630.0,632.0,220,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,632.0,634.0,127,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,634.0,636.0,54,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,636.0,638.0,67,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,dense,z_hist_2m,638.0,640.0,134,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_dense_r1/ckpt/final.pt
corrected_original,sparse,roof_band_560_590,560.0,590.0,374173,690680.3430,691095.7039,5335782.4641,5336497.9356,581.0456,0.9331,0.9994,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,sheet_band_595_615,595.0,615.0,83201,690688.7078,691093.1984,5335727.0364,5336463.6796,600.7324,0.9449,0.9989,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,520.0,522.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,522.0,524.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,524.0,526.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,526.0,528.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
