setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907202,3,641,0.0046801872074883
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908168,58,114,0.5087719298245614
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908178,101,454,0.22246696035242292
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908179,0,474,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568391,0,221,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568392,0,24,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247349,0,402,0.0
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247350,1,48,0.020833333333333332
base,gs_e5_C001_s2p_arm1p_dense_r1,dense,r1,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247351,10,260,0.038461538461538464
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,742,784,0.9464285714285714
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,624,644,0.968944099378882
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,640,673,0.950965824665676
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,629,664,0.947289156626506
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,790,850,0.9294117647058824
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,710,710,1.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1407,1438,0.978442280945758
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,264,393,0.6717557251908397
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,248,641,0.3868954758190328
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,34,114,0.2982456140350877
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,35,454,0.07709251101321586
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,311,474,0.6561181434599156
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568391,132,221,0.5972850678733032
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568392,0,24,0.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247349,383,402,0.9527363184079602
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247350,47,48,0.9791666666666666
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247351,250,260,0.9615384615384616
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_60098,331,784,0.4221938775510204
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907185,388,644,0.6024844720496895
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907186,269,673,0.399702823179792
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907188,269,664,0.40512048192771083
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907194,249,850,0.29294117647058826
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907195,495,710,0.6971830985915493
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907198,733,1438,0.5097357440890126
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907199,37,393,0.09414758269720101
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907202,17,641,0.0265210608424337
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908168,0,114,0.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908178,12,454,0.02643171806167401
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908179,6,474,0.012658227848101266
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568391,11,221,0.049773755656108594
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568392,0,24,0.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247349,45,402,0.11194029850746269
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247350,17,48,0.3541666666666667
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247351,53,260,0.20384615384615384
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_60098,136,784,0.17346938775510204
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907184,1352,1352,1.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907185,274,644,0.4254658385093168
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907186,97,673,0.14413075780089152
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907188,79,664,0.11897590361445783
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907194,44,850,0.05176470588235294
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907195,244,710,0.3436619718309859
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907198,503,1438,0.3497913769123783
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907199,37,393,0.09414758269720101
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907202,8,641,0.0124804992199688
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908168,0,114,0.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908178,0,454,0.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908179,0,474,0.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568391,9,221,0.04072398190045249
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568392,0,24,0.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247349,0,402,0.0
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247350,2,48,0.041666666666666664
base,gs_e5_C001_s2p_arm1p_dense_r2,dense,r2,3,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247351,7,260,0.026923076923076925
