building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m,setting,run_name,arm,readout_min_obs,readout_voxel_m,readout_alpha,readout_sor,readout_sor_std
DEBY_LOD2_108247349,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,2,2,0,0.0000,0.0000,,41.1076,58.8248,641,4.763907,무효·붕괴,true,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_60098,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,8,2,1,0.5000,1.0000,0.5010,4.4395,11.8000,784,0.776091,조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_8568391,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,무텍스처,mid,무텍스처,true,true,success,success,True,False,1,1,1,0,0.0000,0.0000,,31.7362,41.5565,221,2.637138,무효·붕괴,true,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_8568392,gs_sparse,base__gs_e5_C001_corrected_s1_sparse_r1,base sparse r1,gs,sparse,r1,raw_sparse,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.05,0.5,on,2.0
DEBY_LOD2_108247349,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,high,high,not_reviewed,high,none,true,true,success,success,True,False,5,34,4,4,1.0000,0.8000,0.9147,0.3423,2.1034,1356,1.218738,조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,4,15,2,2,1.0000,0.5000,0.3997,4.2816,8.9122,647,8.710631,조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,2,2,1,0.5000,1.0000,0.4981,5.2990,13.1037,674,2.261731,조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,2,2,0,0.0000,0.0000,,19.0038,36.8424,664,0.824667,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,true,success,success,True,False,1,8,2,1,0.5000,1.0000,0.4447,6.1631,14.2083,710,1.790226,조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,high,high,not_reviewed,mid,none,true,true,success,success,True,False,3,20,4,1,0.2500,0.3333,0.3755,1.2003,3.4288,1210,1.435307,조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,무텍스처,mid,무텍스처,true,false,failure,val3dity_invalid,True,False,1,1,1,0,0.0000,0.0000,,17.0771,32.2685,393,0.495134,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,high,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,2,2,2,2,1.0000,1.0000,0.3079,3.3316,3.9191,456,0.113498,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_60098,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,7,2,1,0.5000,1.0000,0.5010,3.5571,7.6413,784,2.110110,조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_8568391,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_8568392,gs_dense,base__gs_e5_C001_corrected_s1_dense_r1,base dense r1,gs,dense,r1,raw_dense,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_dense_r1,dense,3,0.05,0.5,on,2.0
DEBY_LOD2_108247349,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_108247350,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_108247351,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4907184,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,high,high,not_reviewed,high,none,true,false,failure,val3dity_invalid,True,False,4,32,4,4,1.0000,1.0000,0.9142,0.3208,0.9278,1354,2.220231,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4907185,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,high,none,true,false,failure,val3dity_invalid,True,False,3,18,2,2,1.0000,0.6667,0.3881,3.8336,8.2700,645,1.028157,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4907186,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,5,2,1,0.5000,1.0000,0.4981,6.6729,16.0723,674,2.034881,조립,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4907188,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,1,2,0,0.0000,0.0000,,12.0182,23.3330,664,3.306217,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4907194,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,2,2,1,0.5000,1.0000,0.5652,4.1766,10.8896,850,0.465972,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4907195,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,12,2,1,0.5000,1.0000,0.4447,4.4370,10.5784,710,1.767129,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4907198,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,high,high,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,3,20,4,2,0.5000,0.6667,0.6388,1.8989,5.6304,1440,0.826148,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4907199,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4907202,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,6,2,0,0.0000,0.0000,,34.9507,43.2019,641,5.920084,무효·붕괴,true,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4908168,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,high,none,true,false,failure,val3dity_invalid,True,False,1,1,1,1,1.0000,1.0000,0.9998,1.0161,2.0024,114,0.029535,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4908178,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,low,none,true,false,failure,val3dity_invalid,True,False,1,5,2,1,0.5000,1.0000,0.6143,1.1132,2.2794,454,8.079892,무효·붕괴,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_4908179,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_60098,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,7,2,1,0.5000,1.0000,0.5010,4.3643,10.3516,784,1.943491,조립,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_8568391,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_8568392,gs_acmp,base__gs_e5_C001_corrected_s1_acmp_r1,base acmp r1,gs,acmp,r1,raw_acmp,base,readout_ablation(base; minobs3; voxel0.05; alpha0.5; SORstd2),-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,base,gs_e5_C001_corrected_s1_acmp_r1,acmp,3,0.05,0.5,on,2.0
DEBY_LOD2_108247349,gs_sparse,voxel02__gs_e5_C001_corrected_s1_sparse_r1,voxel02 sparse r1,gs,sparse,r1,raw_sparse,voxel02,readout_ablation(voxel02; minobs3; voxel0.02; alpha0.5; SORstd2),-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,23.0823,voxel02,gs_e5_C001_corrected_s1_sparse_r1,sparse,3,0.02,0.5,on,2.0
