arm,replicate,run_name,interval_start_exclusive,interval_end_inclusive,building_id,duplicate_events,split_events,total_events,audit_steps,source
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,15000,20000,DEBY_LOD2_4907199,356,156,512,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,15000,20000,DEBY_LOD2_4907202,1,91,92,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,15000,20000,DEBY_LOD2_4908168,0,2,2,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,15000,20000,DEBY_LOD2_4908178,0,45,45,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,15000,20000,DEBY_LOD2_8568391,1,19,20,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,15000,20000,DEBY_LOD2_8568392,0,0,0,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,0,5000,DEBY_LOD2_4907184,14582,7840,22422,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,0,5000,DEBY_LOD2_4907199,943,332,1275,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,0,5000,DEBY_LOD2_4907202,11,114,125,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,0,5000,DEBY_LOD2_4908168,1,26,27,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,0,5000,DEBY_LOD2_4908178,0,24,24,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,0,5000,DEBY_LOD2_8568391,11,23,34,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,0,5000,DEBY_LOD2_8568392,0,0,0,23,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,5000,10000,DEBY_LOD2_4907184,17181,5473,22654,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,5000,10000,DEBY_LOD2_4907199,902,316,1218,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,5000,10000,DEBY_LOD2_4907202,27,198,225,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,5000,10000,DEBY_LOD2_4908168,7,10,17,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,5000,10000,DEBY_LOD2_4908178,2,57,59,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,5000,10000,DEBY_LOD2_8568391,7,8,15,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,5000,10000,DEBY_LOD2_8568392,0,0,0,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,10000,15000,DEBY_LOD2_4907184,9773,3980,13753,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,10000,15000,DEBY_LOD2_4907199,454,159,613,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,10000,15000,DEBY_LOD2_4907202,4,89,93,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,10000,15000,DEBY_LOD2_4908168,5,25,30,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,10000,15000,DEBY_LOD2_4908178,3,34,37,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,10000,15000,DEBY_LOD2_8568391,2,17,19,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,10000,15000,DEBY_LOD2_8568392,0,0,0,25,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,15000,20000,DEBY_LOD2_4907184,7739,3327,11066,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,15000,20000,DEBY_LOD2_4907199,255,146,401,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,15000,20000,DEBY_LOD2_4907202,3,99,102,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,15000,20000,DEBY_LOD2_4908168,17,18,35,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,15000,20000,DEBY_LOD2_4908178,0,9,9,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,15000,20000,DEBY_LOD2_8568391,4,21,25,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
s3a,r2,gs_e5_C001_s3a_semantic_guided_r2,15000,20000,DEBY_LOD2_8568392,0,0,0,24,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r2/audit/densify_events.csv
