family,cell,replicate,band,z_min,z_max,opacity_bin,n_gaussians,fraction_of_band,band_total,opacity_p50,high_opacity_core_present,ckpt
s2,arm1_p005_normal,r1,floater_595_615,595.0,615.0,lt_0p1,21125,0.54307309,38899,0.0525,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
s2,arm1_p005_normal,r1,high_655_670,655.0,670.0,gt_0p5,97,0.09613479,1009,0.0102,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
s2,arm1_p005_normal,r1,high_655_670,655.0,670.0,0p1_to_0p5,112,0.11100099,1009,0.0102,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
s2,arm1_p005_normal,r1,high_655_670,655.0,670.0,lt_0p1,800,0.79286422,1009,0.0102,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r1/ckpt/final.pt
s2,arm1_p005_normal,r2,floater_595_615,595.0,615.0,gt_0p5,14600,0.34733787,42034,0.0386,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/final.pt
s2,arm1_p005_normal,r2,floater_595_615,595.0,615.0,0p1_to_0p5,3460,0.08231432,42034,0.0386,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/final.pt
s2,arm1_p005_normal,r2,floater_595_615,595.0,615.0,lt_0p1,23974,0.57034781,42034,0.0386,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/final.pt
s2,arm1_p005_normal,r2,high_655_670,655.0,670.0,gt_0p5,143,0.09774436,1463,0.0153,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/final.pt
s2,arm1_p005_normal,r2,high_655_670,655.0,670.0,0p1_to_0p5,233,0.15926179,1463,0.0153,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/final.pt
s2,arm1_p005_normal,r2,high_655_670,655.0,670.0,lt_0p1,1087,0.74299385,1463,0.0153,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm1_dense_r2/ckpt/final.pt
s2,arm2_p005_normal,r1,floater_595_615,595.0,615.0,gt_0p5,12494,0.24087141,51870,0.0108,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/ckpt/final.pt
s2,arm2_p005_normal,r1,floater_595_615,595.0,615.0,0p1_to_0p5,3827,0.07378061,51870,0.0108,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/ckpt/final.pt
s2,arm2_p005_normal,r1,floater_595_615,595.0,615.0,lt_0p1,35549,0.68534799,51870,0.0108,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/ckpt/final.pt
s2,arm2_p005_normal,r1,high_655_670,655.0,670.0,gt_0p5,3,0.00132567,2263,0.0041,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/ckpt/final.pt
s2,arm2_p005_normal,r1,high_655_670,655.0,670.0,0p1_to_0p5,136,0.06009722,2263,0.0041,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/ckpt/final.pt
s2,arm2_p005_normal,r1,high_655_670,655.0,670.0,lt_0p1,2124,0.93857711,2263,0.0041,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r1/ckpt/final.pt
s2,arm2_p005_normal,r2,floater_595_615,595.0,615.0,gt_0p5,13749,0.29947072,45911,0.0137,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r2/ckpt/final.pt
s2,arm2_p005_normal,r2,floater_595_615,595.0,615.0,0p1_to_0p5,2862,0.06233800,45911,0.0137,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r2/ckpt/final.pt
s2,arm2_p005_normal,r2,floater_595_615,595.0,615.0,lt_0p1,29300,0.63819128,45911,0.0137,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r2/ckpt/final.pt
s2,arm2_p005_normal,r2,high_655_670,655.0,670.0,gt_0p5,150,0.19404916,773,0.0336,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r2/ckpt/final.pt
s2,arm2_p005_normal,r2,high_655_670,655.0,670.0,0p1_to_0p5,116,0.15006468,773,0.0336,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r2/ckpt/final.pt
s2,arm2_p005_normal,r2,high_655_670,655.0,670.0,lt_0p1,507,0.65588616,773,0.0336,true,results/tum_transfer/e5_s2_direction_position/C001/runs/gs_e5_C001_s2_arm2_dense_r2/ckpt/final.pt
s2p,arm1p_p050_normal,r1,floater_595_615,595.0,615.0,gt_0p5,64674,0.54163561,119405,0.6805,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
s2p,arm1p_p050_normal,r1,floater_595_615,595.0,615.0,0p1_to_0p5,18276,0.15305892,119405,0.6805,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
s2p,arm1p_p050_normal,r1,floater_595_615,595.0,615.0,lt_0p1,36455,0.30530547,119405,0.6805,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
s2p,arm1p_p050_normal,r1,high_655_670,655.0,670.0,gt_0p5,143,0.13870029,1031,0.0608,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
s2p,arm1p_p050_normal,r1,high_655_670,655.0,670.0,0p1_to_0p5,277,0.26867119,1031,0.0608,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
s2p,arm1p_p050_normal,r1,high_655_670,655.0,670.0,lt_0p1,611,0.59262852,1031,0.0608,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r1/ckpt/final.pt
s2p,arm1p_p050_normal,r2,floater_595_615,595.0,615.0,gt_0p5,62909,0.53228809,118186,0.6256,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
s2p,arm1p_p050_normal,r2,floater_595_615,595.0,615.0,0p1_to_0p5,22582,0.19107170,118186,0.6256,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
s2p,arm1p_p050_normal,r2,floater_595_615,595.0,615.0,lt_0p1,32695,0.27664021,118186,0.6256,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
s2p,arm1p_p050_normal,r2,high_655_670,655.0,670.0,gt_0p5,44,0.11282051,390,0.0397,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
s2p,arm1p_p050_normal,r2,high_655_670,655.0,670.0,0p1_to_0p5,90,0.23076923,390,0.0397,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
s2p,arm1p_p050_normal,r2,high_655_670,655.0,670.0,lt_0p1,256,0.65641026,390,0.0397,true,results/tum_transfer/e5_s2p_interaction/C001/runs/gs_e5_C001_s2p_arm1p_dense_r2/ckpt/final.pt
