source_run,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907186,194,673,0.28826151560178304
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247351,30,260,0.11538461538461539
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907195,324,710,0.4563380281690141
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907194,158,850,0.18588235294117647
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907198,675,1438,0.4694019471488178
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907202,229,641,0.35725429017160687
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_60098,268,784,0.34183673469387754
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_8568392,21,24,0.875
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247349,0,402,0.0
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907188,130,664,0.19578313253012047
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908179,0,474,0.0
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907199,17,393,0.043256997455470736
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907184,1436,1352,1.0
gs_e5_C001_dense_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907185,339,644,0.5263975155279503
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908178,202,454,0.44493392070484583
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568391,17,221,0.07692307692307693
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908168,32,114,0.2807017543859649
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247350,3,48,0.0625
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907186,27,673,0.04011887072808321
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247351,5,260,0.019230769230769232
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907195,52,710,0.07323943661971831
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907194,3,850,0.0035294117647058825
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907198,182,1438,0.12656467315716272
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907202,140,641,0.21840873634945399
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_60098,30,784,0.03826530612244898
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568392,9,24,0.375
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247349,0,402,0.0
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907188,20,664,0.030120481927710843
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908179,0,474,0.0
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907199,7,393,0.017811704834605598
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907184,1434,1352,1.0
gs_e5_C001_dense_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907185,198,644,0.30745341614906835
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908178,109,454,0.24008810572687225
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_8568391,2,221,0.00904977375565611
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908168,45,114,0.39473684210526316
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247350,4,48,0.08333333333333333
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907186,233,673,0.3462109955423477
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247351,21,260,0.08076923076923077
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907195,347,710,0.4887323943661972
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907194,156,850,0.18352941176470589
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907198,594,1438,0.41307371349095967
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907202,61,641,0.09516380655226209
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_60098,368,784,0.46938775510204084
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_8568392,0,24,0.0
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247349,0,402,0.0
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907188,177,664,0.26656626506024095
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908179,2,474,0.004219409282700422
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907199,33,393,0.08396946564885496
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907184,1425,1352,1.0
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907185,377,644,0.5854037267080745
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908178,41,454,0.09030837004405286
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568391,0,221,0.0
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908168,45,114,0.39473684210526316
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247350,2,48,0.041666666666666664
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907186,37,673,0.0549777117384844
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247351,1,260,0.0038461538461538464
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907195,77,710,0.10845070422535211
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907194,3,850,0.0035294117647058825
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907198,172,1438,0.11961057023643949
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907202,24,641,0.0374414976599064
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_60098,48,784,0.061224489795918366
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568392,0,24,0.0
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247349,0,402,0.0
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907188,21,664,0.03162650602409638
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908179,0,474,0.0
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907199,13,393,0.03307888040712468
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907184,1418,1352,1.0
gs_e5_C001_acmp_r1,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907185,203,644,0.31521739130434784
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908178,235,454,0.5176211453744494
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_8568391,13,221,0.058823529411764705
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908168,2,114,0.017543859649122806
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247350,13,48,0.2708333333333333
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907186,257,673,0.3818722139673105
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247351,20,260,0.07692307692307693
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907195,374,710,0.5267605633802817
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907194,244,850,0.28705882352941176
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907198,714,1438,0.4965229485396384
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907202,173,641,0.2698907956318253
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_60098,338,784,0.43112244897959184
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_8568392,8,24,0.3333333333333333
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_108247349,3,402,0.007462686567164179
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907188,177,664,0.26656626506024095
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4908179,6,474,0.012658227848101266
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907199,88,393,0.22391857506361323
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907184,1439,1352,1.0
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_pre_sor,DEBY_LOD2_4907185,347,644,0.5388198757763976
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908178,196,454,0.43171806167400884
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_8568391,4,221,0.01809954751131222
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4908168,0,114,0.0
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247350,3,48,0.0625
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907186,37,673,0.0549777117384844
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_108247351,3,260,0.011538461538461539
gs_e5_C001_acmp_r2,tsdf_minobs_voxel_post_sor,DEBY_LOD2_4907195,63,710,0.08873239436619719
