building_id,footprint_area_m2,small_lt50_candidate,texture_low_gradient_fraction,texture_threshold,texture_sufficient,mast3r_correspondence_count,correspondence_threshold,correspondence_at_or_above_threshold,outline_inframe_frac_max,outline_valid_pixel_count_max,outline_inframe_threshold,outline_pixel_threshold,outline_observable,formula_assignment,map_assignment,assignment_record_status,calibration_seed,calibration_or_validation,dense_assembled,projection_reference_height_used,crs,learning_runs_started
DEBY_LOD2_4906977,530.766000,false,0.727000,0.721000,false,357,6.000000,true,1.000000,205,0.999999,21.000000,true,2층,2층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906980,44.926000,true,0.576000,0.721000,true,0,6.000000,false,1.000000,62,0.999999,21.000000,true,1층,판별불가,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906981,1419.988000,false,0.498000,0.721000,true,5,6.000000,false,1.000000,385,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906982,1385.406000,false,0.238000,0.721000,true,0,6.000000,false,1.000000,366,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906983,932.787000,false,0.538000,0.721000,true,0,6.000000,false,1.000000,304,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906984,246.428000,false,0.772000,0.721000,false,554,6.000000,true,1.000000,130,0.999999,21.000000,true,2층,2층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906985,875.803000,false,0.254000,0.721000,true,3,6.000000,false,1.000000,237,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906986,236.227000,false,0.541000,0.721000,true,0,6.000000,false,1.000000,136,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906987,231.477000,false,0.381000,0.721000,true,42,6.000000,true,1.000000,136,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906988,130.994000,false,0.335000,0.721000,true,0,6.000000,false,1.000000,103,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906989,320.910000,false,0.308000,0.721000,true,0,6.000000,false,1.000000,147,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906990,292.582000,false,0.549000,0.721000,true,0,6.000000,false,1.000000,138,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4906991,167.684000,false,0.240000,0.721000,true,0,6.000000,false,1.000000,111,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906997,193.582000,false,0.285000,0.721000,true,0,6.000000,false,1.000000,116,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4906998,326.336000,false,0.478000,0.721000,true,0,6.000000,false,1.000000,158,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4906999,221.160000,false,0.464000,0.721000,true,0,6.000000,false,1.000000,127,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
