building_id,lowtex_valid,roof_lowtex_v5,roof_grad_p10_v5,roof_sat_frac_v5,lowtex_v5_view,lowtex_v5_zenith_deg,lowtex_v5_frame_r,lowtex_v5_inframe_frac,lowtex_v5_area_px,lowtex_v5_delta_from_v4,roof_lowtex_v4,footprint_area_m2
DEBY_LOD2_4907168,valid,0.574,0.0059,0.0155,DJI_20241217102937_0014_D.JPG,81.713,0.443,1.0,67360,0.002,0.572,207.38
DEBY_LOD2_4907169,valid,0.647,0.0039,0.0393,DJI_20241217102937_0014_D.JPG,83.608,0.684,1.0,25375,0.077,0.57,317.44
DEBY_LOD2_4907170,valid,0.593,0.0039,0.0311,DJI_20241217102937_0014_D.JPG,81.941,0.773,1.0,36201,0.008,0.585,239.91
DEBY_LOD2_4907171,valid,0.583,0.0044,0.0,DJI_20241217101453_0037_D.JPG,82.76,0.848,1.0,10114,0.358,0.225,189.01
DEBY_LOD2_4907172,valid,0.564,0.0044,0.0,DJI_20241217101546_0010_D.JPG,85.134,0.841,1.0,6851,0.189,0.375,165.27
DEBY_LOD2_4907173,valid,0.553,0.0044,0.0,DJI_20241217101558_0016_D.JPG,84.881,0.842,1.0,24525,-0.048,0.601,377.95
DEBY_LOD2_4907174,valid,0.533,0.0044,0.0,DJI_20241217084727_0147_D.JPG,61.575,0.815,1.0,5693,-0.04,0.573,260.43
DEBY_LOD2_4907175,valid,0.444,0.0039,0.0197,DJI_20241217102937_0014_D.JPG,73.137,0.492,1.0,50859,-0.024,0.468,413.89
DEBY_LOD2_4907176,valid,0.498,0.002,0.0465,DJI_20241217102939_0015_D.JPG,72.153,0.639,1.0,52104,0.17,0.328,515.39
DEBY_LOD2_4907177,valid,0.61,0.0044,0.0,DJI_20241217102939_0015_D.JPG,77.315,0.682,1.0,34713,-0.279,0.889,95.57
DEBY_LOD2_4907178,valid,0.503,0.0044,0.0007,DJI_20241217102937_0014_D.JPG,74.25,0.372,1.0,135267,-0.165,0.668,192.96
DEBY_LOD2_4907179,valid,0.476,0.0044,0.0,DJI_20241217102939_0015_D.JPG,75.723,0.753,1.0,170696,-0.339,0.815,160.36
DEBY_LOD2_4907180,valid,0.561,0.0044,0.0,DJI_20241217101453_0037_D.JPG,80.829,0.801,1.0,61837,0.084,0.477,386.11
DEBY_LOD2_4907181,valid,0.514,0.0028,0.0506,DJI_20241217102937_0014_D.JPG,70.157,0.598,1.0,88135,0.27,0.244,190.79
DEBY_LOD2_4907182,valid,0.738,0.0028,0.0,DJI_20241217084711_0139_D.JPG,60.991,0.761,1.0,3405,0.34,0.398,95.0
DEBY_LOD2_4907183,valid,0.507,0.0044,0.0052,DJI_20241217102937_0014_D.JPG,75.102,0.758,1.0,53869,-0.159,0.666,361.68
DEBY_LOD2_4907184,valid,0.198,0.0098,0.0133,DJI_20241217102919_0005_D.JPG,73.442,0.796,1.0,59418,-0.072,0.27,337.88
DEBY_LOD2_4907185,valid,0.338,0.0062,0.0,DJI_20241217102919_0005_D.JPG,76.575,0.48,1.0,49609,-0.161,0.499,160.98
DEBY_LOD2_4907186,valid,0.61,0.0028,0.0,DJI_20241217102919_0005_D.JPG,78.509,0.497,1.0,27869,0.165,0.445,167.84
DEBY_LOD2_4907187,valid,0.541,0.0044,0.0212,DJI_20241217102937_0014_D.JPG,74.011,0.468,1.0,54593,0.014,0.527,119.91
DEBY_LOD2_4907188,valid,0.598,0.0028,0.0,DJI_20241217102919_0005_D.JPG,79.361,0.498,1.0,23555,0.192,0.406,165.88
DEBY_LOD2_4907194,valid,0.708,0.0028,0.0025,DJI_20241217102915_0003_D.JPG,80.885,0.434,1.0,24430,-0.068,0.776,212.73
DEBY_LOD2_4907195,valid,0.732,0.0039,0.0027,DJI_20241217102915_0003_D.JPG,80.541,0.45,1.0,37574,0.2,0.532,177.84
DEBY_LOD2_4907196,valid,0.407,0.0055,0.0029,DJI_20241217102915_0003_D.JPG,76.512,0.715,1.0,61431,-0.114,0.521,427.39
DEBY_LOD2_4907198,valid,0.641,0.0044,0.0,DJI_20241217102915_0003_D.JPG,78.494,0.527,1.0,37210,0.234,0.407,359.8
DEBY_LOD2_4907199,valid,0.656,0.0044,0.0085,DJI_20241217084721_0144_D.JPG,60.507,0.81,1.0,7074,0.208,0.448,98.35
DEBY_LOD2_4907201,valid,0.324,0.0062,0.0019,DJI_20241217102721_0016_D.JPG,75.732,0.447,1.0,89072,-0.184,0.508,190.87
DEBY_LOD2_4907202,valid,0.562,0.0039,0.0,DJI_20241217095441_0023_D.JPG,11.989,0.698,1.0,90038,-0.09,0.652,160.46
DEBY_LOD2_4907204,valid,0.355,0.0059,0.0289,DJI_20241217102713_0012_D.JPG,75.45,0.796,1.0,52700,-0.209,0.564,224.36
DEBY_LOD2_4907205,valid,0.749,0.0039,0.0,DJI_20241217095441_0023_D.JPG,18.632,0.601,1.0,103995,0.315,0.434,105.06
DEBY_LOD2_4907206,valid,0.441,0.0071,0.0,DJI_20241217095437_0021_D.JPG,24.594,0.698,1.0,156948,-0.056,0.497,201.94
DEBY_LOD2_4907207,valid,0.531,0.0028,0.0001,DJI_20241217102523_0014_D.JPG,76.9,0.563,1.0,47532,0.087,0.444,324.51
DEBY_LOD2_4907208,valid,0.597,0.0039,0.0163,DJI_20241217102525_0015_D.JPG,80.678,0.654,1.0,20977,-0.106,0.703,284.5
DEBY_LOD2_4907505,valid,0.62,0.0039,0.0103,DJI_20241217102104_0031_D.JPG,56.775,0.667,1.0,115563,0.097,0.523,217.31
DEBY_LOD2_4907506,valid,0.553,0.0044,0.0002,DJI_20241217084917_0202_D.JPG,9.777,0.525,1.0,134632,0.122,0.431,283.36
DEBY_LOD2_4907507,valid,0.531,0.0059,0.0006,DJI_20241217084649_0128_D.JPG,18.194,0.78,1.0,114483,0.003,0.528,283.7
DEBY_LOD2_4907508,valid,0.506,0.0044,0.0003,DJI_20241217102104_0031_D.JPG,56.114,0.528,1.0,31215,0.033,0.473,131.1
DEBY_LOD2_4907509,valid,0.428,0.0062,0.0293,DJI_20241217102048_0023_D.JPG,64.897,0.694,1.0,145880,-0.086,0.514,322.4
DEBY_LOD2_4907510,valid,0.554,0.0055,0.0014,DJI_20241217084643_0125_D.JPG,18.409,0.668,1.0,103147,0.189,0.365,119.36
DEBY_LOD2_4907514,valid,0.514,0.0044,0.0031,DJI_20241217084647_0127_D.JPG,1.259,0.46,1.0,125684,-0.042,0.556,300.69
DEBY_LOD2_4907515,valid,0.619,0.0039,0.015,DJI_20241217084639_0123_D.JPG,10.997,0.589,1.0,134245,-0.124,0.743,306.22
DEBY_LOD2_4907516,valid,0.625,0.0039,0.0,DJI_20241217084627_0117_D.JPG,9.16,0.467,1.0,163143,0.012,0.613,178.78
DEBY_LOD2_4907517,valid,0.651,0.0044,0.0,DJI_20241217084627_0117_D.JPG,5.18,0.455,1.0,181364,-0.038,0.689,196.97
DEBY_LOD2_4907518,valid,0.578,0.0039,0.0,DJI_20241217084350_0039_D.JPG,13.986,0.752,1.0,166969,-0.055,0.633,251.2
DEBY_LOD2_4907519,valid,0.449,0.0062,0.0,DJI_20241217101130_0014_D.JPG,85.3,0.484,1.0,9098,0.082,0.367,3981.41
DEBY_LOD2_4907520,valid,0.104,0.0208,0.0,DJI_20241217084345_0036_D.JPG,2.24,0.372,1.0,184033,-0.052,0.156,248.69
DEBY_LOD2_4907521,valid,0.695,0.0028,0.0,DJI_20241217084340_0034_D.JPG,8.277,0.527,1.0,217285,-0.093,0.788,302.9
DEBY_LOD2_4908023,valid,0.288,0.0106,0.0,DJI_20241217084841_0184_D.JPG,15.648,0.47,1.0,56434,-0.33,0.618,21.91
DEBY_LOD2_4908024,valid,0.409,0.0081,0.0,DJI_20241217084727_0147_D.JPG,10.857,0.355,1.0,56707,-0.39,0.799,21.67
DEBY_LOD2_4908025,valid,0.353,0.0098,0.0,DJI_20241217084729_0148_D.JPG,11.291,0.411,1.0,56619,-0.42,0.773,21.58
DEBY_LOD2_4908026,valid,0.278,0.0114,0.0,DJI_20241217084729_0148_D.JPG,10.642,0.363,1.0,56858,-0.455,0.733,21.63
DEBY_LOD2_4908027,valid,0.273,0.0114,0.0,DJI_20241217084729_0148_D.JPG,10.9,0.348,1.0,56523,-0.398,0.671,21.59
DEBY_LOD2_4908028,valid,0.225,0.0132,0.0,DJI_20241217084731_0149_D.JPG,10.709,0.378,1.0,56629,-0.341,0.566,21.64
DEBY_LOD2_4908044,valid,0.312,0.0039,0.0036,DJI_20241217090833_0019_D.JPG,60.302,0.604,1.0,551,-0.297,0.609,46.3
DEBY_LOD2_4908045,valid,0.539,0.0039,0.0,DJI_20241217090835_0020_D.JPG,60.202,0.665,1.0,191,-0.1,0.639,55.84
DEBY_LOD2_4908046,valid,0.462,0.0039,0.0,DJI_20241217091027_0076_D.JPG,61.053,0.381,1.0,10517,-0.392,0.854,139.03
DEBY_LOD2_4908048,valid,0.374,0.0062,0.001,DJI_20241217090951_0058_D.JPG,60.281,0.832,1.0,4915,-0.385,0.759,68.22
DEBY_LOD2_4908049,valid,0.482,0.0028,0.0,DJI_20241217090855_0030_D.JPG,59.928,0.664,1.0,3270,-0.364,0.846,49.09
DEBY_LOD2_4908050,valid,0.244,0.0088,0.0476,DJI_20241217084521_0084_D.JPG,60.146,0.827,1.0,20423,-0.413,0.657,131.67
DEBY_LOD2_4908051,valid,0.197,0.0126,0.0225,DJI_20241217084757_0162_D.JPG,60.606,0.505,1.0,13426,-0.575,0.772,141.53
DEBY_LOD2_4908052,valid,0.327,0.0081,0.017,DJI_20241217090835_0020_D.JPG,59.692,0.828,1.0,12448,-0.191,0.518,143.56
DEBY_LOD2_4908053,valid,0.344,0.0081,0.0,DJI_20241217090835_0020_D.JPG,60.065,0.714,1.0,2649,-0.319,0.663,36.31
DEBY_LOD2_4908054,valid,0.653,0.0039,0.0,DJI_20241217090831_0018_D.JPG,59.365,0.729,1.0,15550,-0.0,0.653,33.6
DEBY_LOD2_4908059,valid,0.557,0.0062,0.0,DJI_20241217102931_0011_D.JPG,83.024,0.337,1.0,1840,-0.343,0.9,87.07
DEBY_LOD2_4908157,valid,0.517,0.0044,0.0132,DJI_20241217102937_0014_D.JPG,73.659,0.394,1.0,48032,0.112,0.405,165.05
DEBY_LOD2_4908158,valid,0.602,0.0044,0.0,DJI_20241217102939_0015_D.JPG,76.162,0.693,1.0,40718,0.129,0.473,182.59
DEBY_LOD2_4908159,valid,0.65,0.0039,0.0,DJI_20241217084859_0193_D.JPG,59.489,0.848,1.0,24783,0.135,0.515,37.63
DEBY_LOD2_4908160,valid,0.59,0.0044,0.0,DJI_20241217084845_0186_D.JPG,59.288,0.785,1.0,13656,-0.105,0.695,8.49
DEBY_LOD2_4908161,valid,0.391,0.0055,0.0,DJI_20241217102939_0015_D.JPG,75.204,0.739,1.0,19723,-0.16,0.551,454.5
DEBY_LOD2_4908162,valid,0.533,0.0036,0.0,DJI_20241217084749_0158_D.JPG,60.444,0.845,1.0,3538,-0.162,0.695,104.74
DEBY_LOD2_4908163,valid,0.591,0.0039,0.0068,DJI_20241217084849_0188_D.JPG,60.177,0.708,1.0,7051,-0.17,0.761,56.26
DEBY_LOD2_4908164,valid,0.734,0.0028,0.0,DJI_20241217084851_0189_D.JPG,59.974,0.758,1.0,12547,0.048,0.686,33.27
DEBY_LOD2_4908165,valid,0.502,0.002,0.1851,DJI_20241217090923_0044_D.JPG,59.844,0.83,1.0,11907,-0.162,0.664,8.83
DEBY_LOD2_4908166,valid,0.599,0.0055,0.0,DJI_20241217084535_0091_D.JPG,60.126,0.665,1.0,16513,-0.127,0.726,29.09
DEBY_LOD2_4908167,valid,0.729,0.0039,0.0269,DJI_20241217084831_0179_D.JPG,29.811,0.831,1.0,72891,0.392,0.337,33.59
DEBY_LOD2_4908168,valid,0.694,0.0032,0.0023,DJI_20241217084909_0198_D.JPG,60.346,0.647,1.0,855,0.078,0.616,28.83
DEBY_LOD2_4908169,valid,0.821,0.002,0.0,DJI_20241217090859_0032_D.JPG,59.649,0.812,1.0,14816,0.092,0.729,16.93
DEBY_LOD2_4908170,valid,0.603,0.0039,0.0084,DJI_20241217084903_0195_D.JPG,60.539,0.809,1.0,1311,-0.113,0.716,72.81
DEBY_LOD2_4908172,valid,0.633,0.0039,0.0,DJI_20241217084903_0195_D.JPG,60.413,0.682,1.0,3192,-0.05,0.683,39.8
DEBY_LOD2_4908176,valid,0.293,0.0073,0.0154,DJI_20241217084731_0149_D.JPG,60.652,0.52,1.0,714,-0.278,0.571,35.62
DEBY_LOD2_4908178,valid,0.406,0.0059,0.0,DJI_20241217095441_0023_D.JPG,23.086,0.745,1.0,153577,-0.145,0.551,113.41
DEBY_LOD2_4908179,valid,0.429,0.0062,0.0082,DJI_20241217102713_0012_D.JPG,73.547,0.653,1.0,41065,-0.041,0.47,118.25
DEBY_LOD2_4908351,valid,0.645,0.0044,0.0,DJI_20241217102056_0027_D.JPG,53.352,0.417,1.0,47141,-0.217,0.862,55.19
DEBY_LOD2_4908352,valid,0.404,0.0039,0.0229,DJI_20241217102104_0031_D.JPG,53.325,0.417,1.0,60852,-0.252,0.656,29.81
DEBY_LOD2_4908353,valid,0.566,0.0044,0.0073,DJI_20241217084643_0125_D.JPG,15.775,0.621,1.0,121682,0.195,0.371,145.52
