model_id,role,wave,arm,run,setting,lineage,building_id,status,status_reason,rf_extrusion_mode,has_lod22,lod1_fallback,val3dity_valid,roof_face_count_model,roof_face_count_ref,face_count_ratio,roof_rms_m,roof_hausdorff_m,roof_distance_samples,status_rf_rmse_lod22,point_metric_arm,point_count_footprint,point_density_m2,point_coverage_frac,point_hole_frac,point_local_plane_rms_m,point_metric_source,texture_lens,observation_lens,complexity_lens,size_lens,label_lens,cityjson_path,cityjson_sha256,status_path,z_shift_to_reference_m,xy_alignment,xy_overlap_ratio,gt_role,learning_runs_started
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4907188,missing_status,,,false,false,false,0,2,0.000000000,,,0,,,,,,,,,not_reviewed,low,low,mid,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4907194,missing_status,,,false,false,false,0,2,0.000000000,,,0,,,,,,,,,not_reviewed,low,low,mid,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4907195,missing_status,,,false,false,false,0,2,0.000000000,,,0,,,,,,,,,not_reviewed,low,low,mid,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4907198,missing_status,,,false,false,false,0,4,0.000000000,,,0,,,,,,,,,not_reviewed,mid,high,high,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4907199,missing_status,,,false,false,false,0,1,0.000000000,,,0,,,,,,,,,무텍스처,mid,low,low,무텍스처,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4907202,missing_status,,,false,false,false,0,2,0.000000000,,,0,,,,,,,,,not_reviewed,mid,low,mid,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4908168,missing_status,,,false,false,false,0,1,0.000000000,,,0,,,,,,,,,not_reviewed,high,low,low,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4908178,missing_status,,,false,false,false,0,2,0.000000000,,,0,,,,,,,,,not_reviewed,low,low,low,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_4908179,missing_status,,,false,false,false,0,1,0.000000000,,,0,,,,,,,,,not_reviewed,mid,low,low,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_60098,missing_status,,,false,false,false,0,2,0.000000000,,,0,,,,,,,,,not_reviewed,mid,low,mid,none,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_8568391,missing_status,,,false,false,false,0,1,0.000000000,,,0,,,,,,,,,무텍스처,mid,low,low,무텍스처,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_run_2,dense_sensitivity,run_2,dim,run_2,canonical,comparison_baseline,DEBY_LOD2_8568392,missing_status,,,false,false,false,0,1,0.000000000,,,0,,,,,,,,,lowtex_high,mid,low,low,복합(소형+재질),phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/cityjson/run_2/dim_default.city.json,d51285bd8ceac9c54d4333c9f9c214a6ed4299f64c841f3d13f7269f8dded024,phases/p0-audit/runs/w3_2b_roofer_repeatability_20260612_220747/status/run_2/dim_default.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_w2_1,canonical_dense,w2_1,dim,w2_1,canonical,comparison_baseline,DEBY_LOD2_108247349,failure,missing_roofer_output,,false,false,false,0,1,0.000000000,,,0,,raw_dense,0,none,none,none,none,docs/pointcloud_attributes_v1_3.csv,not_reviewed,mid,low,low,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_w2_1,canonical_dense,w2_1,dim,w2_1,canonical,comparison_baseline,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,skip,false,false,true,0,1,0.000000000,,,0,,raw_dense,13,1.071100,0.125000,0.875000,none,docs/pointcloud_attributes_v1_3.csv,lowtex_mid,mid,low,low,복합(소형+가림),phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_w2_1,canonical_dense,w2_1,dim,w2_1,canonical,comparison_baseline,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_points,skip,false,false,true,0,1,0.000000000,,,0,,raw_dense,11,0.168509,0.030769,0.969231,none,docs/pointcloud_attributes_v1_3.csv,복합(저조도+가림),mid,low,low,복합(저조도+가림),phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,no_roof_geometry,,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_w2_1,canonical_dense,w2_1,dim,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907184,success,success,standard,true,false,true,6,4,1.500000000,0.354716522,2.638333513,1348,1.314429,raw_dense,202738,600.058790,0.998521,0.001479,0.166347,docs/pointcloud_attributes_v1_3.csv,not_reviewed,high,high,high,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_w2_1,canonical_dense,w2_1,dim,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907185,success,success,standard,true,false,true,3,2,1.500000000,2.613993006,10.997450351,645,0.946262,raw_dense,3598,22.350399,0.400621,0.599379,0.162336,docs/pointcloud_attributes_v1_3.csv,not_reviewed,high,low,mid,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
canonical_dense_w2_1,canonical_dense,w2_1,dim,w2_1,canonical,comparison_baseline,DEBY_LOD2_4907186,success,success,standard,true,false,true,2,2,1.000000000,3.543989669,11.354917333,669,1.227398,raw_dense,541,3.223455,0.298663,0.701337,0.111164,docs/pointcloud_attributes_v1_3.csv,not_reviewed,mid,low,mid,none,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/building_reconstruction_status.csv,0.000000000,aligned,1.000000000,LoD2 reference used for scoring/datum alignment only,0
