building_id,panel_column,panel_order,model_id,selection_scope,role,wave,setting,arm,run,lineage,cityjson_path,cityjson_sha256,z_shift_to_reference_m,has_lod22,val3dity_valid,roof_face_count,roof_rms_m,roof_hausdorff_m,roof_distance_samples,roof_completeness,gt_role,learning_runs_started,new_inference_runs
DEBY_LOD2_4907198,reference,1,reference_lod2,reference_self_check,reference,reference,reference,reference,reference,score_only_reference,phases/p0-audit/data/raw/lod2/*.gml,,0.000000000,true,true,4,0.000000000,0.000000000,1438,1.000000000,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907198,dense_w2_1,2,canonical_dense_w2_1,canonical_dense_w2_1,canonical_dense,w2_1,canonical,dim,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0.000000000,true,true,1,2.127468875,2.595384354,22,0.014397369,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907198,gs_fixed,3,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,one_fixed_model_condition_no_per_building_switching,gs,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001,base,acmp,r1,405_repaired_copy,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,387ffa629605b1b75f26c8c754012c02e15ceff6e10d4b0525e288cc17e335ff,-48.165000000,true,true,3,1.736355315,3.850624473,1442,0.999558142,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907198,gs_oracle,4,e5p_readout_ablation_20260708_C001:base:gs_e5_C001_acmp_r1:run_1,per_building_oracle_upper_bound_not_fixed_condition,gs,e5p_readout_ablation_20260708_C001,base,acmp,r1,original_assembled,phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/cityjson/gs_e5_C001_acmp_r1_run_1.city.json,86c5bf6ec2481b00d3853e8c5d02d275fa35e673f02c4fc5ff184fa71d05ff4b,-48.165000000,true,true,1,1.111590781,3.120703685,1200,0.999622650,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907202,reference,1,reference_lod2,reference_self_check,reference,reference,reference,reference,reference,score_only_reference,phases/p0-audit/data/raw/lod2/*.gml,,0.000000000,true,true,2,0.000000000,0.000000000,641,1.000000000,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907202,dense_w2_1,2,canonical_dense_w2_1,canonical_dense_w2_1,canonical_dense,w2_1,canonical,dim,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0.000000000,true,true,3,0.563657590,3.486506786,642,0.994591924,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907202,gs_fixed,3,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,one_fixed_model_condition_no_per_building_switching,gs,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001,base,acmp,r1,405_repaired_copy,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,387ffa629605b1b75f26c8c754012c02e15ceff6e10d4b0525e288cc17e335ff,-48.165000000,true,true,3,2.353097754,5.897932438,645,0.999859145,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4907202,gs_oracle,4,e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_dense_r1:run_1,per_building_oracle_upper_bound_not_fixed_condition,gs,e5p_3b_s1_20260708_C001,base,dense,r1,original_assembled,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_dense_r1_run_1.city.json,38570c8cc8af712f7d71f02eaef5b8a55fefedb40dc218bd6e0ea44059c05430,-45.934000000,true,true,3,0.506698629,3.798710367,643,0.999864947,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4908168,reference,1,reference_lod2,reference_self_check,reference,reference,reference,reference,reference,score_only_reference,phases/p0-audit/data/raw/lod2/*.gml,,0.000000000,true,true,1,0.000000000,0.000000000,114,1.000000000,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4908168,dense_w2_1,2,canonical_dense_w2_1,canonical_dense_w2_1,canonical_dense,w2_1,canonical,dim,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0.000000000,true,true,1,0.178913202,0.442979418,114,0.999879645,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4908168,gs_fixed,3,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,one_fixed_model_condition_no_per_building_switching,gs,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001,base,acmp,r1,405_repaired_copy,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,387ffa629605b1b75f26c8c754012c02e15ceff6e10d4b0525e288cc17e335ff,-48.165000000,true,true,1,2.667848842,3.241456064,114,0.999761011,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4908168,gs_oracle,4,e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_sparse_r1:run_1,per_building_oracle_upper_bound_not_fixed_condition,gs,e5p_3b_s1_20260708_C001,base,sparse,r1,original_assembled,phases/p0-audit/runs/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_sparse_r1_run_1.city.json,4449b6e012738fe68d9451c4b7a10f17723e1752d164563ec65fdaabeb48c9dd,-45.934000000,true,true,2,0.303239953,0.543754976,24,0.201181897,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4908178,reference,1,reference_lod2,reference_self_check,reference,reference,reference,reference,reference,score_only_reference,phases/p0-audit/data/raw/lod2/*.gml,,0.000000000,true,true,2,0.000000000,0.000000000,454,1.000000000,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4908178,dense_w2_1,2,canonical_dense_w2_1,canonical_dense_w2_1,canonical_dense,w2_1,canonical,dim,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0.000000000,true,true,1,0.624888129,1.520071182,454,0.999921002,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4908178,gs_fixed,3,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,one_fixed_model_condition_no_per_building_switching,gs,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001,base,acmp,r1,405_repaired_copy,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,387ffa629605b1b75f26c8c754012c02e15ceff6e10d4b0525e288cc17e335ff,-48.165000000,true,true,2,4.203008154,10.507961778,454,0.999814659,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_4908178,gs_oracle,4,e5p_readout_ablation_20260708_C001:voxel03:gs_e5_C001_sparse_r2:run_1,per_building_oracle_upper_bound_not_fixed_condition,gs,e5p_readout_ablation_20260708_C001,voxel03,sparse,r2,original_assembled,phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/voxel03/cityjson/gs_e5_C001_sparse_r2_run_1.city.json,bb16044d680bd83c03edfafd3c769958a677770e416e582f6f21cd0361423386,-48.165000000,true,true,1,0.314863593,0.653468164,454,0.999862802,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_60098,reference,1,reference_lod2,reference_self_check,reference,reference,reference,reference,reference,score_only_reference,phases/p0-audit/data/raw/lod2/*.gml,,0.000000000,true,true,2,0.000000000,0.000000000,784,1.000000000,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_60098,dense_w2_1,2,canonical_dense_w2_1,canonical_dense_w2_1,canonical_dense,w2_1,canonical,dim,w2_1,comparison_baseline,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/dim_roofer.city.json,01f4df46bd9b51786f3314c16f9fb87fc3c254f3156dc53c174abde81f3bbdae,0.000000000,true,true,3,2.991955569,9.730518924,784,0.999898969,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_60098,gs_fixed,3,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001:base:gs_e5_C001_s1_acmp_r1:run_1,one_fixed_model_condition_no_per_building_switching,gs,e5p_405_repair_20260709_C001:e5p_3b_s1_20260708_C001,base,acmp,r1,405_repaired_copy,phases/p0-audit/runs/e5p_405_repair_20260709_C001/e5p_3b_s1_20260708_C001/base/cityjson/gs_e5_C001_s1_acmp_r1_run_1.city.json,387ffa629605b1b75f26c8c754012c02e15ceff6e10d4b0525e288cc17e335ff,-48.165000000,true,true,1,4.228213074,12.552756051,784,0.999848967,LoD2 reference used for scoring/datum alignment only,0,0
DEBY_LOD2_60098,gs_oracle,4,e5p_readout_ablation_20260708_C001:base:gs_e5_C001_sparse_r2:run_1,per_building_oracle_upper_bound_not_fixed_condition,gs,e5p_readout_ablation_20260708_C001,base,sparse,r2,original_assembled,phases/p0-audit/runs/e5p_readout_ablation_20260708_C001/base/cityjson/gs_e5_C001_sparse_r2_run_1.city.json,1be81588024dcc5197bbeb982223da01202f3430f84dcf32af60c08d21557310,-48.165000000,true,true,1,1.250433397,1.541951923,5,0.006448979,LoD2 reference used for scoring/datum alignment only,0,0
