building_id,group_new,view_rank,view_idx,image_name,visibility_score,projected_area_px2,projected_roof_samples,roof_height_error_abs_median_m,roof_height_error_abs_p90_m,signed_height_error_median_m,roof_depth_error_abs_median_m,mono_crop_depth_step_p90_p10_m,ref_roof_z_span_p90_p10_m,metric_depth
DEBY_LOD2_4908168,양쪽 성공 6동,4,185,DJI_20241217095623_0074_D.JPG,0.38070637,13593.12,52,5.9038,6.7109,-5.9038,36.5541,6.2026,1.5650,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095623_0074_D.npy
DEBY_LOD2_4908168,양쪽 성공 6동,5,153,DJI_20241217095517_0041_D.JPG,0.37930028,4147.27,4,2.3037,2.5967,-2.3037,38.0882,2.0740,1.5650,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095517_0041_D.npy
DEBY_LOD2_4908178,양쪽 성공 6동,1,146,DJI_20241217095503_0034_D.JPG,0.64333916,46513.42,202,5.7947,6.5816,-5.7947,36.8476,2.8503,0.9256,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095503_0034_D.npy
DEBY_LOD2_4908178,양쪽 성공 6동,2,325,DJI_20241217102523_0014_D.JPG,0.57563815,16440.23,185,8.5989,9.5450,8.5989,67.6088,6.5948,0.9256,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217102523_0014_D.npy
DEBY_LOD2_4908178,양쪽 성공 6동,3,33,DJI_20241217084715_0141_D.JPG,0.57494794,13873.49,166,18.5237,18.9923,18.5237,63.9807,1.8851,0.9256,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084715_0141_D.npy
DEBY_LOD2_4908178,양쪽 성공 6동,4,136,DJI_20241217095443_0024_D.JPG,0.57426921,26007.50,103,5.9844,6.4514,-5.9844,35.5865,10.1082,0.9256,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095443_0024_D.npy
DEBY_LOD2_4908178,양쪽 성공 6동,5,133,DJI_20241217095437_0021_D.JPG,0.55928673,23923.49,87,5.5424,5.8348,5.5424,45.5713,12.0623,0.9256,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095437_0021_D.npy
DEBY_LOD2_4907199,입력 한계 5동/무늬없음·관측됨 3,1,161,DJI_20241217095533_0049_D.JPG,0.58952503,43785.79,175,6.8255,7.3751,-6.8255,37.6786,11.3611,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095533_0049_D.npy
DEBY_LOD2_4907199,입력 한계 5동/무늬없음·관측됨 3,2,68,DJI_20241217084913_0200_D.JPG,0.58533023,15542.86,165,13.5199,15.0362,13.5199,58.7199,5.3097,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217084913_0200_D.npy
DEBY_LOD2_4907199,입력 한계 5동/무늬없음·관측됨 3,3,134,DJI_20241217095439_0022_D.JPG,0.55819071,23551.18,84,5.4265,5.9214,-5.4265,36.7638,4.0248,0.0000,results/tum_transfer/e5_s2p_interaction/C001/mono_priors_v2/depth_aligned_npy/DJI_20241217095439_0022_D.npy
