building_id,footprint_area_m2,n_exterior_vertices,n_samples,n_views_nadir,n_views_oblique,n_views_total,median_pair_angle_deg,frac_pairs_10_60deg,median_incidence_deg,frac_views_incidence_le60,roof_obs_covered_frac,recon_score_median,recon_score_p10,roof_lowtex_frac,roof_grad_p10,roof_sat_frac,roof_periodicity,occlusion_frac_approx
DEBY_LOD2_4907022,240.91,29,242,0.0,183.29,183.29,25.64,0.704,71.81,0.271,1.0,99.446,46.388,0.032,0.0456,0.0116,0.813,0.0
DEBY_LOD2_4907023,181.23,6,220,4.61,201.6,206.21,18.73,0.745,65.62,0.437,1.0,157.206,117.342,0.116,0.018,0.0,0.673,0.0
DEBY_LOD2_4907024,289.03,7,351,1.77,169.94,171.72,24.11,0.748,69.18,0.429,1.0,114.78,76.004,0.07,0.0251,0.0,0.756,0.0
DEBY_LOD2_4907025,468.75,25,400,7.16,226.61,233.77,15.42,0.694,60.67,0.489,1.0,229.256,116.322,0.081,0.0235,0.0297,0.649,0.0
DEBY_LOD2_4907026,132.69,8,151,0.0,221.62,221.62,20.49,0.707,65.4,0.405,1.0,117.326,106.402,0.09,0.0217,0.0005,0.585,0.0
DEBY_LOD2_4907027,264.34,9,319,0.0,181.05,181.05,17.69,0.665,69.49,0.33,1.0,48.279,30.225,0.078,0.0233,0.0042,0.141,0.0
DEBY_LOD2_4907028,199.66,8,240,0.0,212.72,212.72,21.65,0.732,66.48,0.393,1.0,103.621,90.578,0.001,0.2522,0.0188,0.205,0.0
DEBY_LOD2_4907029,425.7,10,400,0.0,158.62,158.62,8.44,0.397,74.94,0.295,1.0,12.188,0.0,0.025,0.0423,0.0,0.877,0.0
DEBY_LOD2_4907030,177.42,16,220,0.0,157.5,157.5,17.94,0.635,69.73,0.278,1.0,27.998,20.285,0.023,0.0568,0.0001,0.339,0.0
DEBY_LOD2_4907031,163.72,9,195,0.0,147.14,147.14,19.49,0.604,70.21,0.286,1.0,21.662,9.661,0.035,0.0391,0.0026,0.187,0.0
DEBY_LOD2_4907032,375.52,14,400,0.0,131.62,131.62,13.7,0.322,68.68,0.313,1.0,6.679,1.603,0.009,0.0889,0.0162,0.414,0.0
DEBY_LOD2_4907033,128.95,12,160,0.0,142.21,142.21,17.74,0.477,69.01,0.275,1.0,5.756,3.509,0.024,0.0454,0.0001,0.401,0.0
DEBY_LOD2_4907034,549.5,11,400,0.0,125.33,125.33,5.83,0.217,66.55,0.335,0.8,2.247,0.046,0.013,0.0712,0.003,0.579,0.0
DEBY_LOD2_4907035,325.26,9,400,0.0,125.8,125.8,12.33,0.381,70.0,0.238,1.0,3.217,0.725,0.035,0.0366,0.0,0.097,0.0
DEBY_LOD2_4907036,187.85,8,234,0.0,135.32,135.32,15.39,0.427,69.32,0.251,1.0,3.329,2.402,0.026,0.041,0.0087,0.067,0.0
DEBY_LOD2_4907156,295.44,13,363,0.0,142.2,142.2,7.69,0.367,64.93,0.405,1.0,30.428,0.0,0.028,0.0422,0.0067,0.55,0.0
DEBY_LOD2_4907164,322.77,13,400,0.0,193.79,193.79,7.78,0.376,55.0,0.513,0.998,24.141,0.0,0.033,0.0392,0.0,0.721,0.0
DEBY_LOD2_4907165,262.12,9,318,0.0,230.01,230.01,12.96,0.65,73.78,0.315,1.0,52.957,27.996,0.059,0.0304,0.0,0.115,0.222
DEBY_LOD2_4907166,160.19,9,214,0.0,187.5,187.5,7.79,0.368,57.38,0.59,1.0,67.656,0.0,0.094,0.0206,0.0,0.102,0.0
DEBY_LOD2_4907167,203.19,8,273,0.0,178.45,178.45,7.54,0.341,58.93,0.555,1.0,0.0,0.0,0.098,0.0203,0.0073,0.078,0.0
DEBY_LOD2_4907168,207.38,9,275,0.0,169.16,169.16,6.99,0.314,58.98,0.55,1.0,0.0,0.0,0.088,0.0216,0.003,0.531,0.0
DEBY_LOD2_4907169,317.44,21,400,0.0,151.65,151.65,9.76,0.462,67.57,0.276,1.0,33.009,0.0,0.058,0.0283,0.0,0.161,0.0
DEBY_LOD2_4907170,239.91,16,284,0.0,169.05,169.05,18.2,0.704,71.69,0.267,1.0,36.789,21.709,0.067,0.0252,0.0,0.358,0.0
DEBY_LOD2_4907171,189.01,17,234,0.0,187.38,187.38,18.97,0.728,69.46,0.308,1.0,75.994,28.53,0.006,0.0797,0.0,0.136,0.0
DEBY_LOD2_4907172,165.27,15,206,0.0,214.92,214.92,19.69,0.733,68.13,0.362,1.0,122.553,92.889,0.049,0.0347,0.0008,0.097,0.0
DEBY_LOD2_4907173,377.95,17,400,12.59,237.97,250.56,17.44,0.74,62.16,0.463,1.0,169.192,141.95,0.065,0.0268,0.0127,0.595,0.0
DEBY_LOD2_4907174,260.43,11,260,0.0,229.22,229.22,22.8,0.74,66.06,0.261,1.0,127.91,73.773,0.032,0.0385,0.0,0.204,0.0
DEBY_LOD2_4907175,413.89,31,400,1.26,260.93,262.19,22.27,0.801,63.23,0.386,1.0,171.967,100.893,0.085,0.0225,0.006,0.132,0.167
DEBY_LOD2_4907176,515.39,11,400,1.17,260.43,261.6,17.85,0.755,62.7,0.365,1.0,182.571,154.676,0.025,0.0494,0.0015,0.179,0.5
DEBY_LOD2_4907177,95.57,16,99,1.23,254.11,255.34,21.15,0.802,62.42,0.389,1.0,181.928,166.738,0.156,0.0157,0.0,0.521,0.375
DEBY_LOD2_4907178,192.96,14,285,7.85,263.45,271.29,22.88,0.571,60.98,0.463,1.0,77.694,65.259,0.101,0.0198,0.0,0.519,0.0
DEBY_LOD2_4907179,160.36,11,225,8.23,258.35,266.58,25.86,0.533,59.62,0.51,1.0,139.641,39.41,0.15,0.0157,0.0,0.745,0.0
DEBY_LOD2_4907180,386.11,19,400,13.57,249.55,263.12,21.53,0.52,60.57,0.478,1.0,115.774,35.573,0.036,0.0378,0.0014,0.446,0.0
DEBY_LOD2_4907181,190.79,19,195,2.4,274.33,276.73,20.5,0.82,61.39,0.45,1.0,180.291,164.858,0.01,0.0785,0.0,0.137,0.667
DEBY_LOD2_4907182,95.0,10,116,3.46,271.41,274.86,20.35,0.822,53.73,0.598,1.0,209.128,189.61,0.064,0.0266,0.0002,0.062,0.5
DEBY_LOD2_4907183,361.68,14,400,10.38,265.67,276.05,22.44,0.794,59.9,0.501,1.0,139.644,117.859,0.051,0.0297,0.0,0.427,0.0
DEBY_LOD2_4907184,337.88,39,400,13.37,260.21,273.58,20.05,0.787,52.83,0.603,1.0,185.334,150.639,0.016,0.0685,0.0023,0.358,0.0
DEBY_LOD2_4907185,160.98,10,218,6.86,251.67,258.52,20.94,0.769,70.37,0.365,1.0,139.853,128.366,0.06,0.0298,0.0001,0.393,0.2
DEBY_LOD2_4907186,167.84,11,246,0.0,230.0,230.0,10.76,0.544,72.8,0.318,1.0,96.075,84.243,0.053,0.0343,0.0,0.295,0.0
DEBY_LOD2_4907187,119.91,29,187,0.01,260.19,260.19,11.02,0.537,64.57,0.43,1.0,83.27,0.0,0.106,0.0192,0.0,0.427,0.25
DEBY_LOD2_4907188,165.88,8,202,0.0,211.34,211.34,11.3,0.555,73.51,0.314,1.0,73.685,38.365,0.063,0.0331,0.0181,0.135,0.4
DEBY_LOD2_4907194,212.73,11,237,0.0,200.7,200.7,14.51,0.611,71.59,0.267,1.0,69.35,45.634,0.056,0.0275,0.0016,0.297,0.0
DEBY_LOD2_4907195,177.84,12,224,0.0,209.11,209.11,12.65,0.613,73.1,0.331,1.0,74.684,48.33,0.073,0.0253,0.0,0.356,0.0
DEBY_LOD2_4907196,427.39,15,400,13.62,262.57,276.19,19.54,0.703,61.12,0.481,1.0,178.95,114.376,0.064,0.0262,0.0,0.375,0.0
DEBY_LOD2_4907198,359.8,30,400,2.94,246.65,249.59,21.51,0.752,64.35,0.448,1.0,175.177,133.924,0.031,0.0409,0.0017,0.207,0.25
DEBY_LOD2_4907199,98.35,4,97,0.79,257.41,258.21,23.09,0.841,61.69,0.373,1.0,176.71,163.624,0.108,0.0186,0.0003,0.602,0.273
DEBY_LOD2_4907201,190.87,13,213,12.12,266.87,278.99,25.17,0.812,61.94,0.478,1.0,196.033,169.3,0.102,0.0197,0.0032,0.609,0.167
DEBY_LOD2_4907202,160.46,12,163,4.33,270.94,275.27,24.34,0.84,59.75,0.506,1.0,188.513,168.072,0.085,0.022,0.0015,0.666,0.333
DEBY_LOD2_4907204,224.36,21,299,12.07,277.65,289.72,15.69,0.692,66.82,0.441,1.0,167.082,146.522,0.129,0.0163,0.0,0.756,0.0
DEBY_LOD2_4907205,105.06,14,115,5.02,263.84,268.86,23.4,0.849,61.87,0.383,1.0,194.407,184.491,0.032,0.0388,0.0,0.381,0.5
DEBY_LOD2_4907206,201.94,22,245,8.84,265.84,274.68,17.97,0.716,58.8,0.51,1.0,228.361,131.99,0.08,0.0241,0.0,0.674,0.0
DEBY_LOD2_4907207,324.51,16,389,3.69,236.52,240.21,24.13,0.719,64.72,0.409,1.0,149.814,108.731,0.043,0.0359,0.0046,0.204,0.25
DEBY_LOD2_4907208,284.5,16,339,0.72,206.01,206.73,23.58,0.819,67.77,0.266,1.0,139.625,117.314,0.089,0.0217,0.0,0.77,0.0
DEBY_LOD2_4907505,217.31,7,305,3.93,236.57,240.5,19.99,0.611,70.14,0.339,1.0,139.295,4.629,0.073,0.0248,0.0104,0.109,0.0
DEBY_LOD2_4907506,283.36,14,388,9.16,245.21,254.37,21.61,0.729,59.95,0.501,1.0,161.573,95.88,0.035,0.0374,0.0,0.537,0.0
DEBY_LOD2_4907507,283.7,12,398,19.27,247.2,266.47,20.3,0.721,58.32,0.538,1.0,164.532,122.207,0.084,0.0228,0.0,0.096,0.0
DEBY_LOD2_4907508,131.1,7,146,2.61,231.73,234.34,18.05,0.775,59.61,0.509,1.0,190.954,183.951,0.023,0.0442,0.0018,0.373,0.375
DEBY_LOD2_4907509,322.4,16,400,3.12,209.16,212.28,20.48,0.783,63.94,0.433,1.0,171.756,96.734,0.045,0.0336,0.0079,0.502,0.0
DEBY_LOD2_4907510,119.36,10,118,6.08,225.4,231.47,18.06,0.744,58.95,0.518,1.0,203.57,200.706,0.021,0.0514,0.0,0.566,0.25
DEBY_LOD2_4907514,300.69,23,400,17.09,230.09,247.19,18.08,0.583,55.59,0.556,1.0,195.014,25.423,0.05,0.0308,0.0006,0.416,0.0
DEBY_LOD2_4907515,306.22,23,351,24.58,213.68,238.26,17.67,0.739,50.53,0.635,1.0,238.2,222.861,0.082,0.0225,0.0129,0.139,0.333
DEBY_LOD2_4907516,178.78,4,220,23.53,218.29,241.81,15.85,0.683,51.02,0.619,1.0,226.505,193.847,0.046,0.0312,0.0,0.379,0.5
DEBY_LOD2_4907517,196.97,10,241,21.32,214.59,235.92,16.43,0.658,56.0,0.552,1.0,229.994,168.385,0.061,0.0265,0.0001,0.645,0.0
DEBY_LOD2_4907518,251.2,10,269,26.03,214.16,240.19,17.2,0.716,55.19,0.584,1.0,243.066,212.633,0.052,0.0292,0.0,0.485,0.0
DEBY_LOD2_4907519,3981.41,44,400,4.34,195.41,199.76,19.12,0.755,64.16,0.373,1.0,203.161,181.779,0.02,0.0504,0.0008,0.218,0.0
DEBY_LOD2_4907520,248.69,4,264,15.79,232.0,247.79,18.69,0.732,61.09,0.485,1.0,223.217,154.912,0.004,0.1181,0.0004,0.424,0.0
DEBY_LOD2_4907521,302.9,12,319,5.13,223.86,228.99,19.76,0.722,63.89,0.401,1.0,197.389,153.183,0.106,0.0194,0.0,0.376,0.0
DEBY_LOD2_4908023,21.91,6,22,23.18,342.23,365.41,19.79,0.714,58.17,0.574,1.0,241.613,241.103,0.033,0.0388,0.0,0.534,0.286
DEBY_LOD2_4908024,21.67,4,20,22.75,335.35,358.1,20.36,0.735,57.59,0.596,1.0,239.54,238.203,0.078,0.0235,0.0,0.777,0.375
