stable_id,group_id,group_all_member_count,group_eligible_member_count,execution_tile_id,shared_patch_ids,e_paired_candidate
DEBY_LOD2_108580336,GROUP_37b5107f054e56e8,97,47,TILE_004_003,UASPATCH_1406fda10f6c0235d7ba;UASPATCH_15c06745a1857c2050d6;UASPATCH_224cc90ed24d203749bc;UASPATCH_26bfd76ae43014405b8f;UASPATCH_2a550f9f13aa362be51b;UASPATCH_31235b278bbd5f096a03;UASPATCH_3b27611389335ebfe59a;UASPATCH_495a0600c39a7c73cd0d;UASPATCH_4d4f165c9ea6409f2171;UASPATCH_524c9cebb952a474708d;UASPATCH_528c3dcb9518ed271b76;UASPATCH_575251ffe6daca8ef888;UASPATCH_585086393f957ca9d557;UASPATCH_5a8e1013251c1417730b;UASPATCH_5fa7af397aa88c19ab4f;UASPATCH_645b470a16a22b93a0c3;UASPATCH_66139cd23ca2a46572a0;UASPATCH_7af79c6a1771e52b1570;UASPATCH_7ed1bb38641696a5c950;UASPATCH_7f1302cf016119281cb7;UASPATCH_85b295bd189bda83d5ae;UASPATCH_8b26898986b491f815b1;UASPATCH_8d9ecdcefd5f2939a355;UASPATCH_9648e8a9dcf268a2227c;UASPATCH_98f1cda685fffad4750b;UASPATCH_a5b4c9c6d4b8842526d7;UASPATCH_acb7812838f134989dff;UASPATCH_ae2b27079d565d98d693;UASPATCH_aeae990664d7c7f4b023;UASPATCH_b00073cea83aaa4475ee;UASPATCH_bc37c5021ce4cc803c12;UASPATCH_ca84c396c2932bedcc67;UASPATCH_f2828ca96095d8e3ebf1;UASPATCH_f98d75e310e05646aed9,true
DEBY_LOD2_42364607,GROUP_8e9afbc719710e1a,10,0,TILE_000_006,,false
DEBY_LOD2_42364609,GROUP_37b5107f054e56e8,97,47,TILE_001_006,,false
DEBY_LOD2_42364657,GROUP_20ea77d2fd37153c,11,5,TILE_006_009,,false
DEBY_LOD2_42364659,GROUP_20ea77d2fd37153c,11,5,TILE_006_008,,false
DEBY_LOD2_42364661,GROUP_20ea77d2fd37153c,11,5,TILE_005_009,,false
DEBY_LOD2_42364663,GROUP_37b5107f054e56e8,97,47,TILE_002_004,UASPATCH_27cc4039ad9c4c209b48;UASPATCH_33a851d0073ad9ecaa05,true
DEBY_LOD2_42364665,GROUP_157737f6c7f694d9,2,0,TILE_002_003,,false
DEBY_LOD2_42364667,GROUP_37b5107f054e56e8,97,47,TILE_002_004,,false
DEBY_LOD2_4906965,GROUP_37b5107f054e56e8,97,47,TILE_001_002,UASPATCH_114641f27cd0b9be91b9;UASPATCH_1d1bdc2ff2ec1b922279;UASPATCH_34f440f846d9fd5d365d;UASPATCH_350aaa8ca70589268a4b;UASPATCH_5566cbc4a8a1b813dc48;UASPATCH_5c3262edca5ea6a6a9ea;UASPATCH_5dd548dd2bf5a023f7d2;UASPATCH_6022d83505423d18bbe6;UASPATCH_6370426a71cd194147b2;UASPATCH_7681e9ebec72deb1a16b;UASPATCH_8a78be90f0ec1206c77a;UASPATCH_ac78da824c7791eaba09;UASPATCH_ce1acfb3879dc4f5afaf;UASPATCH_d11f3b5ec57c9e38e86e;UASPATCH_eb3054d5a5b4e8374707;UASPATCH_fa5d0469035c6a11ac1d;UASPATCH_ff82f5334d866df1dc79,true
DEBY_LOD2_4906966,GROUP_37b5107f054e56e8,97,47,TILE_001_003,UASPATCH_06ff9f271ae7c01d713f;UASPATCH_350aaa8ca70589268a4b;UASPATCH_7dd9d2efb928bedc190b;UASPATCH_9414ec45f78987df0902;UASPATCH_a6e76efde2ebe2670f29;UASPATCH_ed39019847c59fe256ef;UASPATCH_f1e9f81acf8780b135b1;UASPATCH_fd759aa9abfe72d0c00a,true
DEBY_LOD2_4906967,GROUP_37b5107f054e56e8,97,47,TILE_002_002,UASPATCH_350aaa8ca70589268a4b;UASPATCH_5566cbc4a8a1b813dc48;UASPATCH_5c3262edca5ea6a6a9ea;UASPATCH_5dd548dd2bf5a023f7d2;UASPATCH_ac78da824c7791eaba09;UASPATCH_ce1acfb3879dc4f5afaf;UASPATCH_e6fcb3551db5cc395d6c;UASPATCH_eb3054d5a5b4e8374707;UASPATCH_fa5d0469035c6a11ac1d;UASPATCH_ff82f5334d866df1dc79,true
DEBY_LOD2_4906968,GROUP_37b5107f054e56e8,97,47,TILE_002_004,UASPATCH_018d42d12cf5aa6e39aa;UASPATCH_27cc4039ad9c4c209b48;UASPATCH_33a851d0073ad9ecaa05;UASPATCH_56d48d6afa21762aeace;UASPATCH_74b887e0556ef20d5e77;UASPATCH_79347ef78dd344d8bdef;UASPATCH_a73c56325a3cd1c36295;UASPATCH_aeae990664d7c7f4b023;UASPATCH_ca84c396c2932bedcc67;UASPATCH_dc4781c3b74c5c31a23f;UASPATCH_fd759aa9abfe72d0c00a,true
DEBY_LOD2_4906969,GROUP_157737f6c7f694d9,2,0,TILE_002_003,,false
DEBY_LOD2_4906970,GROUP_37b5107f054e56e8,97,47,TILE_002_001,UASPATCH_114641f27cd0b9be91b9;UASPATCH_8720d770841d6b5403f4;UASPATCH_9b6893482a47e7545a27,true
DEBY_LOD2_4906972,GROUP_37b5107f054e56e8,97,47,TILE_003_001,UASPATCH_8720d770841d6b5403f4;UASPATCH_9b6893482a47e7545a27;UASPATCH_acb7812838f134989dff;UASPATCH_ff829de92c6725c4d870,true
DEBY_LOD2_4906973,GROUP_37b5107f054e56e8,97,47,TILE_003_001,UASPATCH_8720d770841d6b5403f4,true
DEBY_LOD2_4906974,GROUP_37b5107f054e56e8,97,47,TILE_003_001,UASPATCH_5a8e1013251c1417730b;UASPATCH_8720d770841d6b5403f4;UASPATCH_acb7812838f134989dff;UASPATCH_faa1ff0da9de56ec7bc8,true
DEBY_LOD2_4906975,GROUP_37b5107f054e56e8,97,47,TILE_003_004,UASPATCH_012006e59b7f5344edeb;UASPATCH_018d42d12cf5aa6e39aa;UASPATCH_33a851d0073ad9ecaa05;UASPATCH_66139cd23ca2a46572a0;UASPATCH_74b887e0556ef20d5e77;UASPATCH_79347ef78dd344d8bdef;UASPATCH_aeae990664d7c7f4b023;UASPATCH_ca84c396c2932bedcc67,true
DEBY_LOD2_4906976,GROUP_37b5107f054e56e8,97,47,TILE_003_001,UASPATCH_47cb4706d705a8d4fa9a;UASPATCH_575251ffe6daca8ef888;UASPATCH_8720d770841d6b5403f4;UASPATCH_9b6893482a47e7545a27,true
DEBY_LOD2_4906977,GROUP_37b5107f054e56e8,97,47,TILE_003_001,UASPATCH_1406fda10f6c0235d7ba;UASPATCH_575251ffe6daca8ef888,true
DEBY_LOD2_4906980,GROUP_37b5107f054e56e8,97,47,TILE_004_002,UASPATCH_31235b278bbd5f096a03,false
DEBY_LOD2_4906981,GROUP_37b5107f054e56e8,97,47,TILE_004_001,UASPATCH_1406fda10f6c0235d7ba;UASPATCH_1897c507f21bb250b98f;UASPATCH_224cc90ed24d203749bc;UASPATCH_31235b278bbd5f096a03;UASPATCH_47cb4706d705a8d4fa9a;UASPATCH_575251ffe6daca8ef888;UASPATCH_f98d75e310e05646aed9,true
DEBY_LOD2_4906982,GROUP_6e1c6ddc7a70ba88,1,1,TILE_003_007,UASPATCH_53eb149e2de9b1698a85,true
DEBY_LOD2_4906983,GROUP_37b5107f054e56e8,97,47,TILE_003_008,UASPATCH_248dda2d97322b9ada53;UASPATCH_69e275ce771d0a750133;UASPATCH_c8924edf091cf6c7956c,true
DEBY_LOD2_4906984,GROUP_37b5107f054e56e8,97,47,TILE_003_008,UASPATCH_12ff643a0733a835ca6c;UASPATCH_69e275ce771d0a750133;UASPATCH_c8924edf091cf6c7956c,true
DEBY_LOD2_4906985,GROUP_37b5107f054e56e8,97,47,TILE_004_008,UASPATCH_12ff643a0733a835ca6c;UASPATCH_c8924edf091cf6c7956c,true
DEBY_LOD2_4906986,GROUP_453e8e648a38a3b6,7,5,TILE_004_009,UASPATCH_7177ab45b42e5b8da61d;UASPATCH_9fad454219b2ba8aca00;UASPATCH_a1a630a1573425c82b60,true
DEBY_LOD2_4906987,GROUP_453e8e648a38a3b6,7,5,TILE_004_009,UASPATCH_7177ab45b42e5b8da61d;UASPATCH_9fad454219b2ba8aca00;UASPATCH_a1a630a1573425c82b60,true
DEBY_LOD2_4906988,GROUP_453e8e648a38a3b6,7,5,TILE_004_009,UASPATCH_9351ec70e859a48b45bc;UASPATCH_f538fc87f7de503b938f,true
DEBY_LOD2_4906989,GROUP_8de3e3fdd8d9d633,4,0,TILE_003_009,,false
DEBY_LOD2_4906990,GROUP_8de3e3fdd8d9d633,4,0,TILE_003_009,,false
DEBY_LOD2_4906991,GROUP_453e8e648a38a3b6,7,5,TILE_004_009,UASPATCH_9351ec70e859a48b45bc;UASPATCH_9fad454219b2ba8aca00;UASPATCH_f538fc87f7de503b938f,true
DEBY_LOD2_4906997,GROUP_8de3e3fdd8d9d633,4,0,TILE_003_009,,false
DEBY_LOD2_4906998,GROUP_8de3e3fdd8d9d633,4,0,TILE_003_009,,false
DEBY_LOD2_4906999,GROUP_8c116702a78038bf,16,7,TILE_002_009,,false
DEBY_LOD2_4907000,GROUP_8c116702a78038bf,16,7,TILE_002_009,,false
DEBY_LOD2_4907011,GROUP_7805fa2316d2e6ac,5,0,TILE_000_009,,false
DEBY_LOD2_4907012,GROUP_31bde00dfdbe7a9e,6,0,TILE_001_009,,false
DEBY_LOD2_4907013,GROUP_31bde00dfdbe7a9e,6,0,TILE_001_009,,false
DEBY_LOD2_4907014,GROUP_31bde00dfdbe7a9e,6,0,TILE_001_009,,false
DEBY_LOD2_4907015,GROUP_31bde00dfdbe7a9e,6,0,TILE_001_009,,false
DEBY_LOD2_4907016,GROUP_8c116702a78038bf,16,7,TILE_002_009,,false
DEBY_LOD2_4907017,GROUP_8c116702a78038bf,16,7,TILE_002_009,,false
DEBY_LOD2_4907018,GROUP_8c116702a78038bf,16,7,TILE_002_009,UASPATCH_b52293d46f90ae9d0caf,true
DEBY_LOD2_4907019,GROUP_fc729eee422ba598,6,0,TILE_001_008,,false
DEBY_LOD2_4907020,GROUP_8c116702a78038bf,16,7,TILE_002_008,UASPATCH_b52293d46f90ae9d0caf;UASPATCH_c64aaa4c766aa9132d84,true
DEBY_LOD2_4907021,GROUP_fc729eee422ba598,6,0,TILE_001_008,,false
DEBY_LOD2_4907022,GROUP_fc729eee422ba598,6,0,TILE_001_008,,false
DEBY_LOD2_4907023,GROUP_8c116702a78038bf,16,7,TILE_002_007,UASPATCH_b52293d46f90ae9d0caf;UASPATCH_e0b5913902abda085d61,true
DEBY_LOD2_4907024,GROUP_8c116702a78038bf,16,7,TILE_002_008,UASPATCH_b52293d46f90ae9d0caf;UASPATCH_c64aaa4c766aa9132d84,true
DEBY_LOD2_4907025,GROUP_8c116702a78038bf,16,7,TILE_002_007,UASPATCH_1d24e9e448c3834aefcc;UASPATCH_a5e19922759433273217;UASPATCH_c1501dec99404b89ca31;UASPATCH_e0b5913902abda085d61,true
DEBY_LOD2_4907026,GROUP_8c116702a78038bf,16,7,TILE_001_007,UASPATCH_c1501dec99404b89ca31,true
DEBY_LOD2_4907027,GROUP_8c116702a78038bf,16,7,TILE_001_007,,false
DEBY_LOD2_4907028,GROUP_8c116702a78038bf,16,7,TILE_001_007,,false
DEBY_LOD2_4907029,GROUP_fc729eee422ba598,6,0,TILE_001_008,,false
DEBY_LOD2_4907030,GROUP_e7c4be077114c5f3,7,0,TILE_000_007,,false
DEBY_LOD2_4907031,GROUP_e7c4be077114c5f3,7,0,TILE_000_007,,false
DEBY_LOD2_4907032,GROUP_037cfde4b9a06b58,5,0,TILE_000_008,,false
DEBY_LOD2_4907033,GROUP_e7c4be077114c5f3,7,0,TILE_000_007,,false
DEBY_LOD2_4907034,GROUP_7805fa2316d2e6ac,5,0,TILE_000_009,,false
DEBY_LOD2_4907035,GROUP_037cfde4b9a06b58,5,0,TILE_000_008,,false
DEBY_LOD2_4907036,GROUP_e7c4be077114c5f3,7,0,TILE_000_007,,false
DEBY_LOD2_4907156,GROUP_e7c4be077114c5f3,7,0,TILE_000_007,,false
DEBY_LOD2_4907164,GROUP_37b5107f054e56e8,97,47,TILE_000_005,,false
DEBY_LOD2_4907165,GROUP_37b5107f054e56e8,97,47,TILE_000_005,,false
DEBY_LOD2_4907166,GROUP_8e9afbc719710e1a,10,0,TILE_000_006,,false
DEBY_LOD2_4907167,GROUP_8e9afbc719710e1a,10,0,TILE_000_006,,false
DEBY_LOD2_4907168,GROUP_8e9afbc719710e1a,10,0,TILE_000_006,,false
DEBY_LOD2_4907169,GROUP_e7c4be077114c5f3,7,0,TILE_000_007,,false
DEBY_LOD2_4907170,GROUP_e7c4be077114c5f3,7,0,TILE_000_007,,false
DEBY_LOD2_4907171,GROUP_37b5107f054e56e8,97,47,TILE_001_006,,false
DEBY_LOD2_4907172,GROUP_37b5107f054e56e8,97,47,TILE_001_006,,false
DEBY_LOD2_4907173,GROUP_37b5107f054e56e8,97,47,TILE_001_006,UASPATCH_37822ffb137153e5fb33;UASPATCH_9e4b8d2fb331a69d1a6c;UASPATCH_b416b4eac5ca4569341c,true
DEBY_LOD2_4907174,GROUP_8e9afbc719710e1a,10,0,TILE_000_006,,false
DEBY_LOD2_4907175,GROUP_37b5107f054e56e8,97,47,TILE_000_005,UASPATCH_9ca12975b0b948fafc89,false
DEBY_LOD2_4907176,GROUP_37b5107f054e56e8,97,47,TILE_001_006,UASPATCH_9ca12975b0b948fafc89,true
DEBY_LOD2_4907177,GROUP_37b5107f054e56e8,97,47,TILE_001_005,UASPATCH_9ca12975b0b948fafc89,true
DEBY_LOD2_4907178,GROUP_37b5107f054e56e8,97,47,TILE_001_005,UASPATCH_b04aa7218b096d6f03c9,false
DEBY_LOD2_4907179,GROUP_37b5107f054e56e8,97,47,TILE_001_005,,false
DEBY_LOD2_4907180,GROUP_37b5107f054e56e8,97,47,TILE_001_006,UASPATCH_537037da352962df7a5e;UASPATCH_9ca12975b0b948fafc89,true
DEBY_LOD2_4907181,GROUP_37b5107f054e56e8,97,47,TILE_000_005,UASPATCH_d1fb8ff82dfb8aff72ab,true
DEBY_LOD2_4907182,GROUP_37b5107f054e56e8,97,47,TILE_001_005,,false
DEBY_LOD2_4907183,GROUP_37b5107f054e56e8,97,47,TILE_001_005,UASPATCH_06ff9f271ae7c01d713f,true
DEBY_LOD2_4907184,GROUP_37b5107f054e56e8,97,47,TILE_001_004,UASPATCH_06ff9f271ae7c01d713f,false
DEBY_LOD2_4907185,GROUP_9c6a5205358a819b,11,0,TILE_000_004,,false
DEBY_LOD2_4907186,GROUP_9c6a5205358a819b,11,0,TILE_000_004,,false
DEBY_LOD2_4907187,GROUP_37b5107f054e56e8,97,47,TILE_000_005,,false
DEBY_LOD2_4907188,GROUP_9c6a5205358a819b,11,0,TILE_000_004,,false
DEBY_LOD2_4907194,GROUP_9c6a5205358a819b,11,0,TILE_000_004,,false
DEBY_LOD2_4907195,GROUP_9c6a5205358a819b,11,0,TILE_000_004,,false
DEBY_LOD2_4907196,GROUP_37b5107f054e56e8,97,47,TILE_000_003,UASPATCH_7dd9d2efb928bedc190b;UASPATCH_ad158225e611ea7e6f3f;UASPATCH_ef0a367b936ea730cfac,true
DEBY_LOD2_4907198,GROUP_9c6a5205358a819b,11,0,TILE_000_004,,false
DEBY_LOD2_4907199,GROUP_37b5107f054e56e8,97,47,TILE_000_003,,false
DEBY_LOD2_4907201,GROUP_37b5107f054e56e8,97,47,TILE_000_003,UASPATCH_ad158225e611ea7e6f3f,true
DEBY_LOD2_4907202,GROUP_37b5107f054e56e8,97,47,TILE_000_003,,false
DEBY_LOD2_4907204,GROUP_37b5107f054e56e8,97,47,TILE_000_003,UASPATCH_88264721a3b805bb9d83,false
DEBY_LOD2_4907205,GROUP_37b5107f054e56e8,97,47,TILE_000_003,UASPATCH_be70bdc029eb2292b136,true
DEBY_LOD2_4907206,GROUP_37b5107f054e56e8,97,47,TILE_000_002,UASPATCH_88264721a3b805bb9d83,true
DEBY_LOD2_4907207,GROUP_37b5107f054e56e8,97,47,TILE_000_002,,false
DEBY_LOD2_4907208,GROUP_37b5107f054e56e8,97,47,TILE_000_002,,false
DEBY_LOD2_4907505,GROUP_37b5107f054e56e8,97,47,TILE_000_001,,false
DEBY_LOD2_4907506,GROUP_37b5107f054e56e8,97,47,TILE_000_001,,false
DEBY_LOD2_4907507,GROUP_37b5107f054e56e8,97,47,TILE_001_001,,false
DEBY_LOD2_4907508,GROUP_37b5107f054e56e8,97,47,TILE_000_001,,false
DEBY_LOD2_4907509,GROUP_37b5107f054e56e8,97,47,TILE_000_000,UASPATCH_5c4400a814b8c3416794;UASPATCH_61f6e7a87bf259854b4c;UASPATCH_c235b8f25c205a19550f,true
DEBY_LOD2_4907510,GROUP_37b5107f054e56e8,97,47,TILE_000_000,UASPATCH_c235b8f25c205a19550f,true
DEBY_LOD2_4907514,GROUP_37b5107f054e56e8,97,47,TILE_001_001,UASPATCH_34f440f846d9fd5d365d;UASPATCH_ef97ec111d9552460e1d,true
DEBY_LOD2_4907515,GROUP_37b5107f054e56e8,97,47,TILE_001_001,UASPATCH_34f440f846d9fd5d365d;UASPATCH_ef97ec111d9552460e1d,true
DEBY_LOD2_4907516,GROUP_37b5107f054e56e8,97,47,TILE_002_001,UASPATCH_30064478b8c81470058a,true
DEBY_LOD2_4907517,GROUP_37b5107f054e56e8,97,47,TILE_002_001,UASPATCH_30064478b8c81470058a,true
DEBY_LOD2_4907518,GROUP_2b968838fcd8e155,4,4,TILE_002_000,UASPATCH_0fa66600dfdf2465114d;UASPATCH_13cfc95ef4e256cdc180;UASPATCH_b0b9e106668185446a80,true
DEBY_LOD2_4907519,GROUP_2b968838fcd8e155,4,4,TILE_002_000,UASPATCH_0fa66600dfdf2465114d;UASPATCH_1607461646a6dc9df3f3;UASPATCH_3def95cd193412d8b09c;UASPATCH_44f4cc977a37d9ab1f67;UASPATCH_5bac1d876a6679562131;UASPATCH_8f53870579a7c6fa1011;UASPATCH_9b323cf92025ffcaf7ba;UASPATCH_a536cba326915d35c442;UASPATCH_a54089eac6105e2dd5cd;UASPATCH_abb31684a2bbaf9d8a68;UASPATCH_c11fa5c44339ac0d67f3;UASPATCH_f685983cb01163769100,true
DEBY_LOD2_4907520,GROUP_2b968838fcd8e155,4,4,TILE_003_000,UASPATCH_44f4cc977a37d9ab1f67;UASPATCH_8f53870579a7c6fa1011;UASPATCH_9b323cf92025ffcaf7ba;UASPATCH_c11fa5c44339ac0d67f3,true
DEBY_LOD2_4907521,GROUP_2b968838fcd8e155,4,4,TILE_003_000,UASPATCH_a536cba326915d35c442;UASPATCH_abb31684a2bbaf9d8a68,true
DEBY_LOD2_4908023,GROUP_37b5107f054e56e8,97,47,TILE_002_004,,false
DEBY_LOD2_4908024,GROUP_37b5107f054e56e8,97,47,TILE_002_004,,false
DEBY_LOD2_4908025,GROUP_37b5107f054e56e8,97,47,TILE_002_004,,false
DEBY_LOD2_4908026,GROUP_37b5107f054e56e8,97,47,TILE_002_004,,false
DEBY_LOD2_4908027,GROUP_37b5107f054e56e8,97,47,TILE_002_004,,false
DEBY_LOD2_4908028,GROUP_37b5107f054e56e8,97,47,TILE_002_005,,false
DEBY_LOD2_4908044,GROUP_31bde00dfdbe7a9e,6,0,TILE_001_009,,false
DEBY_LOD2_4908045,GROUP_31bde00dfdbe7a9e,6,0,TILE_001_009,,false
DEBY_LOD2_4908046,GROUP_8c116702a78038bf,16,7,TILE_002_008,,false
DEBY_LOD2_4908048,GROUP_8c116702a78038bf,16,7,TILE_002_008,UASPATCH_a5e19922759433273217,false
DEBY_LOD2_4908049,GROUP_8c116702a78038bf,16,7,TILE_002_008,,false
DEBY_LOD2_4908050,GROUP_8c116702a78038bf,16,7,TILE_002_007,UASPATCH_a5e19922759433273217,true
DEBY_LOD2_4908051,GROUP_fc729eee422ba598,6,0,TILE_001_008,,false
DEBY_LOD2_4908052,GROUP_037cfde4b9a06b58,5,0,TILE_000_008,,false
DEBY_LOD2_4908053,GROUP_037cfde4b9a06b58,5,0,TILE_000_008,,false
DEBY_LOD2_4908054,GROUP_fc729eee422ba598,6,0,TILE_001_008,,false
DEBY_LOD2_4908059,GROUP_7805fa2316d2e6ac,5,0,TILE_000_009,,false
DEBY_LOD2_4908157,GROUP_37b5107f054e56e8,97,47,TILE_000_005,,false
DEBY_LOD2_4908158,GROUP_37b5107f054e56e8,97,47,TILE_000_005,,false
DEBY_LOD2_4908159,GROUP_37b5107f054e56e8,97,47,TILE_000_005,,false
DEBY_LOD2_4908160,GROUP_8e9afbc719710e1a,10,0,TILE_000_006,,false
DEBY_LOD2_4908161,GROUP_8e9afbc719710e1a,10,0,TILE_000_006,,false
DEBY_LOD2_4908162,GROUP_8e9afbc719710e1a,10,0,TILE_000_006,,false
DEBY_LOD2_4908163,GROUP_8e9afbc719710e1a,10,0,TILE_000_006,,false
DEBY_LOD2_4908164,GROUP_8e9afbc719710e1a,10,0,TILE_000_006,,false
DEBY_LOD2_4908165,GROUP_37b5107f054e56e8,97,47,TILE_001_006,,false
DEBY_LOD2_4908166,GROUP_37b5107f054e56e8,97,47,TILE_001_006,,false
DEBY_LOD2_4908167,GROUP_37b5107f054e56e8,97,47,TILE_001_006,,false
DEBY_LOD2_4908168,GROUP_9c6a5205358a819b,11,0,TILE_000_004,,false
DEBY_LOD2_4908169,GROUP_9c6a5205358a819b,11,0,TILE_000_004,,false
DEBY_LOD2_4908170,GROUP_37b5107f054e56e8,97,47,TILE_000_005,,false
DEBY_LOD2_4908172,GROUP_37b5107f054e56e8,97,47,TILE_000_005,,false
DEBY_LOD2_4908176,GROUP_37b5107f054e56e8,97,47,TILE_000_003,,false
DEBY_LOD2_4908178,GROUP_37b5107f054e56e8,97,47,TILE_000_003,,false
DEBY_LOD2_4908179,GROUP_37b5107f054e56e8,97,47,TILE_000_003,,false
DEBY_LOD2_4908351,GROUP_37b5107f054e56e8,97,47,TILE_000_001,,false
DEBY_LOD2_4908352,GROUP_37b5107f054e56e8,97,47,TILE_000_001,,false
DEBY_LOD2_4908353,GROUP_37b5107f054e56e8,97,47,TILE_001_001,UASPATCH_61f6e7a87bf259854b4c,true
DEBY_LOD2_4908354,GROUP_2a900d949560403f,3,0,TILE_001_000,,false
DEBY_LOD2_4959314,GROUP_a47a79580ecbedd1,1,1,TILE_007_006,UASPATCH_8ec365db2fd7473aa3f5,true
DEBY_LOD2_4959320,GROUP_203636a4e692ac63,1,0,TILE_006_002,,false
DEBY_LOD2_4959322,GROUP_37b5107f054e56e8,97,47,TILE_005_005,UASPATCH_2672438319afd50cb036;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_d0cc37b9c0522663d43d,true
DEBY_LOD2_4959323,GROUP_37b5107f054e56e8,97,47,TILE_005_004,UASPATCH_2672438319afd50cb036;UASPATCH_26bfd76ae43014405b8f;UASPATCH_4ded119f930c1c3edfd6;UASPATCH_524c9cebb952a474708d;UASPATCH_85d0e6d16af6b10ee85b;UASPATCH_93e6beef7caed2a92796;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_98f1cda685fffad4750b;UASPATCH_a5b4c9c6d4b8842526d7;UASPATCH_ae2b27079d565d98d693;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_efbd2288b2a537c92237,true
DEBY_LOD2_4959324,GROUP_37b5107f054e56e8,97,47,TILE_005_004,UASPATCH_524c9cebb952a474708d,true
DEBY_LOD2_4959325,GROUP_37b5107f054e56e8,97,47,TILE_005_007,UASPATCH_3f9d238d2ed2de4e00b1;UASPATCH_6fa0938c4c32bac647f8,true
DEBY_LOD2_4959326,GROUP_37b5107f054e56e8,97,47,TILE_006_006,UASPATCH_11c5a73473d77100a22c;UASPATCH_2ba4f8c81b3562409e55;UASPATCH_52c077918300bf2574d6;UASPATCH_5a57cd120b7eb1f4f9ed;UASPATCH_5c7e885e02a6c33cb3ca;UASPATCH_7fd8b0adc1fbe993e952;UASPATCH_fe2321430a75e310bc33,true
DEBY_LOD2_4959327,GROUP_32a743e7f900e7ae,1,1,TILE_005_008,UASPATCH_129bc4f3f0e845a2bc32;UASPATCH_2ea5c2fbb940265043eb;UASPATCH_32401968ded607f220e8,true
DEBY_LOD2_4959336,GROUP_20ea77d2fd37153c,11,5,TILE_006_009,UASPATCH_0b382d9c95ede5f28ffa;UASPATCH_44b925a3cb5be2502e4b,true
DEBY_LOD2_4959340,GROUP_20ea77d2fd37153c,11,5,TILE_007_008,UASPATCH_2b1d107fc33a6bb0eaf3;UASPATCH_2b3741217844432c40cc;UASPATCH_595edbc45a4788906b28;UASPATCH_86772026864feecdcf8a,true
DEBY_LOD2_4959457,GROUP_37b5107f054e56e8,97,47,TILE_004_003,UASPATCH_645b470a16a22b93a0c3;UASPATCH_8d9ecdcefd5f2939a355;UASPATCH_a5b4c9c6d4b8842526d7;UASPATCH_bc37c5021ce4cc803c12;UASPATCH_f2828ca96095d8e3ebf1,true
DEBY_LOD2_4959458,GROUP_37b5107f054e56e8,97,47,TILE_004_005,UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_fba29ad0725c613b322b,true
DEBY_LOD2_4959459,GROUP_37b5107f054e56e8,97,47,TILE_004_004,UASPATCH_d0cc37b9c0522663d43d,true
DEBY_LOD2_4959460,GROUP_37b5107f054e56e8,97,47,TILE_004_006,UASPATCH_0f7e50c7505d3d548979;UASPATCH_0fc37524451d9502eed4;UASPATCH_248dda2d97322b9ada53;UASPATCH_2ba4f8c81b3562409e55;UASPATCH_3f9d238d2ed2de4e00b1;UASPATCH_47b19c90f63a15f20731;UASPATCH_4b6b9615b5a1fa5b9de5;UASPATCH_52027cf085586be34024;UASPATCH_52c077918300bf2574d6;UASPATCH_53818c9e92e5516463aa;UASPATCH_5c7e885e02a6c33cb3ca;UASPATCH_5d4f2ffa52f06c3f2a2d;UASPATCH_67ab6d0058a8288905ee;UASPATCH_7d1be8eacc640f1f26e8;UASPATCH_7d9b4a09548644aae921;UASPATCH_982d5d0c3c1b38beeda3;UASPATCH_cf767c28bf4bc75ef64c;UASPATCH_d0cc37b9c0522663d43d;UASPATCH_f5559b5d995c0aace553,true
DEBY_LOD2_4959461,GROUP_660281d563f14018,1,1,TILE_004_007,UASPATCH_490435f3ada46fee342c;UASPATCH_9e5d19399d8c689c6eca,true
DEBY_LOD2_4959463,GROUP_453e8e648a38a3b6,7,5,TILE_004_009,,false
