patch_id,cell_count,area_m2,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,bbox_width_m,bbox_height_m,bbox_diagonal_m,cell_footprint_convex_hull_area_m2,cell_footprint_hull_fill_ratio,relative_height_min_m,relative_height_median_m,relative_height_p95_m,relative_height_max_m,relative_height_range_m,relative_height_mad_m,local_rmse_median_m,local_rmse_p95_m,local_rmse_max_m,z_std_median_m,z_std_p95_m,z_std_max_m,local_to_global_normal_median_deg,local_to_global_normal_p95_deg,local_to_global_normal_max_deg,global_plane_a,global_plane_b,global_plane_c_center,global_plane_rmse_m,global_plane_max_abs_residual_m,internal_edge_theta_p50_deg,internal_edge_theta_p95_deg,internal_edge_theta_max_deg,internal_edge_height_p50_m,internal_edge_height_p95_m,internal_edge_height_max_m,internal_edge_cross_plane_p50_m,internal_edge_cross_plane_p95_m,internal_edge_cross_plane_max_m,source_planar_fraction_weighted_mean,source_planar_fraction_min,source_below_0_70_cell_fraction,rejected_normal_edges,rejected_height_edges,rejected_cross_plane_edges,rejected_global_rank_edges,rejected_global_rmse_edges,rejected_global_max_residual_edges,rejected_global_normal_edges
UASPATCH_20f8b862bc0338ad52c0,137,137.000000,691139.740,5336234.050,691154.740,5336264.050,15.000000,30.000000,33.541020,287.500000,0.476521739,3.168600,3.316200,11.215860,11.320400,8.151800,0.073300,0.014618949,0.240348209,0.293117246,0.014443058,0.018745527,0.020826496,1.029398227,4.940511516,8.790773065,0.001481030538,-0.001117816020,560.350835036496,0.029430457,0.108678333,0.533592471,4.975741306,8.835944849,0.007872500,0.053939000,0.129163000,0.013378000,0.060494200,0.148830000,0.346499735,0.346499735,1.000000000,0,0,0,0,0,0,0
UASPATCH_224cc90ed24d203749bc,40,40.000000,691006.740,5335960.050,691014.740,5335973.050,8.000000,13.000000,15.264338,71.500000,0.559440559,21.272500,22.027550,23.239775,23.488300,2.215800,0.277950,0.214699094,0.254975470,0.298158750,0.116067463,0.159233958,0.176925211,4.555143122,13.155264029,15.426323918,0.206115104733,-0.204423808684,582.234645000000,0.215758664,0.517646746,3.350063433,8.046816763,15.083483917,0.111128000,0.455823000,0.594010000,0.207202000,0.379115400,0.493292000,0.420509375,0.420509375,1.000000000,0,1,0,0,39,59,2
UASPATCH_248dda2d97322b9ada53,112,112.000000,690961.740,5336247.050,690977.740,5336264.050,16.000000,17.000000,23.345235,189.500000,0.591029024,2.687700,2.834000,3.089625,4.043300,1.355600,0.045700,0.010468986,0.229141308,0.284894365,0.022064770,0.035417730,0.042879836,0.539281550,4.989370056,8.634337173,-0.008133903559,-0.020976342637,560.737678571429,0.026224695,0.099875191,0.236734834,4.484935707,7.294028503,0.007871000,0.037708500,0.094657000,0.009512000,0.038603000,0.106936000,0.223260644,0.223260644,1.000000000,0,0,0,12,0,0,0
UASPATCH_2672438319afd50cb036,42,42.000000,691068.740,5336117.050,691075.740,5336129.050,7.000000,12.000000,13.892444,57.000000,0.736842105,20.081700,21.666050,23.034940,23.243300,3.161600,0.614350,0.187929502,0.246692156,0.254172705,0.122377645,0.158320146,0.239745337,6.595821080,14.869193591,15.295824286,0.365980628065,-0.162455854967,581.762273809524,0.066841239,0.263768221,3.238094678,9.297626176,10.357894369,0.098723000,0.268142200,0.314956000,0.141758000,0.304941600,0.339456000,0.420509375,0.420509375,1.000000000,0,0,0,0,37,40,14
UASPATCH_26bfd76ae43014405b8f,50,50.000000,691040.740,5336102.050,691048.740,5336115.050,8.000000,13.000000,15.264338,64.500000,0.775193798,6.199800,6.878450,7.463085,7.487700,1.287900,0.350800,0.137260214,0.255192827,0.297982039,0.097683360,0.123107779,0.448035340,4.596759493,16.704538842,18.616490533,0.293504700537,-0.116822712459,564.310288000000,0.037984737,0.153478026,3.928323906,9.829381087,11.578886931,0.047899000,0.158954500,0.203825000,0.070462000,0.245866000,0.319088000,0.248520710,0.248520710,1.000000000,0,0,0,0,33,44,38
UASPATCH_27cc4039ad9c4c209b48,399,399.000000,690897.740,5336026.050,690923.740,5336094.050,26.000000,68.000000,72.801099,530.500000,0.752120641,23.258100,26.520300,28.534550,28.993800,5.735700,1.595800,0.103451629,0.206997371,0.299751108,0.066247578,0.142889725,0.580860633,9.591715622,16.713696825,19.882789164,0.055290064266,-0.021893111776,584.718289223058,0.156493330,0.413890859,3.767680903,7.612807277,11.381258960,0.016412000,0.058131800,0.206089000,0.072328000,0.122773200,0.272434000,0.757048093,0.757048093,0.000000000,0,10,2,85,0,46,230
UASPATCH_2a550f9f13aa362be51b,141,141.000000,690992.740,5336017.050,691007.740,5336049.050,15.000000,32.000000,35.341194,214.500000,0.657342657,32.591100,33.014400,33.694400,33.862300,1.271200,0.191700,0.042658692,0.135695606,0.298773633,0.045393588,0.050207014,0.185413599,0.727538625,4.798667944,7.513998585,0.147052846156,-0.058844584336,591.871519148936,0.050021218,0.466377014,0.724774782,3.266754266,5.326377991,0.011968500,0.051086350,0.474316000,0.012667000,0.078680300,0.435234000,0.568511199,0.568511199,1.000000000,0,0,0,2,0,9,0
UASPATCH_2b1d107fc33a6bb0eaf3,138,138.000000,691132.740,5336272.050,691151.740,5336303.050,19.000000,31.000000,36.359318,234.500000,0.588486141,19.956600,21.571800,22.405995,22.425900,2.469300,0.446500,0.086130352,0.194713398,0.270164013,0.080203546,0.105208537,0.274765878,2.248858490,12.256860732,16.072276090,0.265339270895,-0.103220014880,578.190473188406,0.060011127,0.415545556,2.198503178,7.602538509,10.510253074,0.024436500,0.149710000,0.516522000,0.031962000,0.194774500,0.440486000,0.346499735,0.346499735,1.000000000,0,0,0,2,75,92,75
UASPATCH_2b3741217844432c40cc,205,205.000000,691141.740,5336268.050,691154.740,5336303.050,13.000000,35.000000,37.336309,247.000000,0.829959514,20.541100,21.389300,22.409000,22.423600,1.882500,0.400700,0.045661502,0.191832452,0.276974891,0.079494344,0.113783561,0.139039389,0.795476912,12.648472783,17.538396491,-0.252399042643,0.097208627647,577.986289756098,0.054005358,0.273642524,0.719249590,7.598921344,11.728569322,0.024744000,0.141355319,0.314801000,0.031732000,0.196319000,0.326394000,0.346499735,0.346499735,1.000000000,0,0,0,2,75,96,93
UASPATCH_2ba4f8c81b3562409e55,107,107.000000,691061.740,5336170.050,691070.740,5336195.050,9.000000,25.000000,26.570661,137.500000,0.778181818,3.247300,3.915100,3.988710,4.083000,0.835700,0.028300,0.034436597,0.232588589,0.296890746,0.016415784,0.019966100,0.037062133,2.317267723,12.173487857,16.840499431,-0.007240548299,-0.000594284678,560.481599065420,0.041513517,0.169240114,1.026170148,6.490055176,11.501110497,0.019830500,0.116595800,0.236488000,0.025776000,0.172515800,0.423884000,0.291873964,0.291873964,1.000000000,0,0,0,0,0,3,0
UASPATCH_2ea5c2fbb940265043eb,21,21.000000,691060.740,5336303.050,691065.740,5336316.050,5.000000,13.000000,13.928388,36.500000,0.575342466,19.705400,20.448500,21.434900,21.673500,1.968100,0.452800,0.144471434,0.235425879,0.267361500,0.220054221,0.375925889,0.449184169,3.361841565,8.302289616,8.880234151,0.715159949549,-0.271254023654,577.488747619048,0.022007141,0.045309701,2.032519334,5.517859176,6.126962454,0.052762500,0.154545550,0.165562000,0.046052000,0.127201800,0.218220000,0.343661972,0.343661972,1.000000000,0,0,0,0,0,0,0
UASPATCH_30064478b8c81470058a,29,29.000000,690896.740,5335917.050,690906.740,5335922.050,10.000000,5.000000,11.180340,42.000000,0.690476190,17.936200,18.359000,22.157820,25.808100,7.871900,0.261500,0.224056824,0.281778662,0.284256714,0.044773317,0.168657607,0.176991492,5.006873668,17.336549186,17.892664975,0.004697537386,0.097490494851,576.990462068965,0.240452813,0.563499326,4.566950495,9.204790112,11.861981573,0.069738000,0.426631950,0.552132000,0.176577000,0.498588500,0.547910000,0.221311475,0.221311475,1.000000000,0,10,2,0,0,0,13
UASPATCH_31235b278bbd5f096a03,21,21.000000,690998.740,5335966.050,691007.740,5335972.050,9.000000,6.000000,10.816654,39.000000,0.538461538,20.963300,22.436100,23.603100,23.674400,2.711100,0.804800,0.126401370,0.292888050,0.295748771,0.120609635,0.216291446,0.564164098,4.344382003,8.472026693,9.332074474,-0.152900882218,-0.370198355034,581.264809523810,0.073165220,0.262571204,3.546579380,6.861286407,7.535810596,0.057266000,0.233963000,0.298409000,0.092376000,0.210584000,0.244160000,0.420509375,0.420509375,1.000000000,0,0,0,0,0,25,25
UASPATCH_32401968ded607f220e8,23,23.000000,691073.740,5336298.050,691080.740,5336304.050,7.000000,6.000000,9.219544,31.000000,0.741935484,18.948500,20.129600,21.646290,21.853600,2.905100,0.721200,0.083691634,0.209753812,0.287378515,0.187827122,0.321606696,0.447224419,0.768007008,6.289597496,8.147755957,-0.234097780950,-0.592039757981,577.805617391304,0.019388942,0.051442503,0.806724939,5.204015534,6.719182700,0.021035000,0.093553800,0.138143000,0.021592000,0.093292800,0.174980000,0.343661972,0.343661972,1.000000000,0,0,0,0,0,0,0
UASPATCH_33a851d0073ad9ecaa05,191,191.000000,690920.740,5336079.050,690936.740,5336114.050,16.000000,35.000000,38.483763,253.500000,0.753451677,23.363900,24.285400,24.380000,24.436600,1.072700,0.083200,0.105641986,0.189690834,0.298902931,0.055265616,0.119465610,0.147456215,8.050799212,17.775695841,19.987330372,-0.013523269751,0.005834897372,584.775617277487,0.145510103,0.574766693,4.276868574,7.699308204,11.229383046,0.015555000,0.047957800,0.115875000,0.068590000,0.118284800,0.179148000,0.757048093,0.757048093,0.000000000,0,6,1,47,0,77,216
UASPATCH_34f440f846d9fd5d365d,22,22.000000,690860.740,5335933.050,690870.740,5335939.050,10.000000,6.000000,11.661904,31.500000,0.698412698,22.532100,29.381700,30.072780,30.194600,7.662500,0.581350,0.229828514,0.284226531,0.290003896,0.183370315,0.188268850,0.189378279,10.294854036,16.308819343,19.456870742,-0.220615725102,-0.569199975324,582.971009090909,0.029700752,0.096940508,3.081698205,8.156819438,10.538376051,0.130910000,0.352004250,0.407292000,0.172314000,0.343601000,0.406272000,0.174016687,0.174016687,1.000000000,0,0,0,0,9,9,9
UASPATCH_350aaa8ca70589268a4b,400,400.000000,690858.740,5335984.050,690881.740,5336031.050,23.000000,47.000000,52.325902,572.000000,0.699300699,5.444400,7.515650,7.707765,23.720700,18.276300,0.174150,0.012512937,0.249095588,0.294720943,0.014391280,0.016762808,0.019224898,0.587230141,7.823148159,17.539988452,-0.000843815053,-0.005402197845,560.825498750000,0.033440509,0.125743559,0.304286856,5.894549790,11.008677479,0.007727500,0.070872150,0.300164000,0.010136000,0.095935200,0.467634000,0.420509375,0.420509375,1.000000000,0,0,0,20,0,0,0
UASPATCH_37822ffb137153e5fb33,20,20.000000,690885.740,5336186.050,690890.740,5336193.050,5.000000,7.000000,8.602325,27.000000,0.740740741,23.919300,24.865050,25.912915,26.293200,2.373900,0.574650,0.213605430,0.284632880,0.290798651,0.182007454,0.235892580,0.237073264,5.665973666,10.436704619,15.888599089,-0.648806591885,0.255923315608,581.402485000000,0.073207361,0.223083895,2.046831999,6.128880285,9.497089971,0.111254500,0.303958100,0.443375000,0.168003000,0.270086600,0.348932000,0.109204368,0.109204368,1.000000000,0,0,0,0,0,0,0
UASPATCH_3b27611389335ebfe59a,20,20.000000,690980.740,5335982.050,690986.740,5335997.050,6.000000,15.000000,16.155494,35.500000,0.563380282,33.208400,33.330050,33.433755,33.461400,0.253000,0.053650,0.095459111,0.250263994,0.256589321,0.046611637,0.049947219,0.050957876,1.989975001,7.362378345,8.245140351,0.143307574468,-0.058789375887,591.867420000000,0.013431494,0.029605631,2.046454742,4.481528358,4.700623173,0.024108000,0.120751000,0.173241000,0.052752000,0.223283000,0.233854000,1.000000000,1.000000000,0.000000000,0,4,3,1,0,0,0
UASPATCH_3d630698b46824095469,29,29.000000,691114.740,5336237.050,691121.740,5336246.050,7.000000,9.000000,11.401754,42.000000,0.690476190,22.037200,22.139800,22.716620,22.850300,0.813100,0.050900,0.193047274,0.266875541,0.288073913,0.025106377,0.168242531,0.224310627,3.587146478,11.841485659,13.454981256,-0.065988862839,-0.083822470574,579.315017241379,0.172562046,0.544999875,2.381803520,6.646260084,7.375055914,0.060081000,0.525297800,0.581977000,0.094502000,0.445022600,0.541940000,0.308166410,0.308166410,1.000000000,0,5,0,0,0,0,0
UASPATCH_3def95cd193412d8b09c,340,340.000000,690887.740,5335864.050,690921.740,5335896.050,34.000000,32.000000,46.690470,560.000000,0.607142857,11.087000,11.146400,11.213310,11.422000,0.335000,0.021700,0.021570219,0.237625581,0.299597424,0.019276126,0.031354946,0.058713022,0.801095870,6.107439489,10.209895101,-0.001415016750,-0.000100970191,572.064914705883,0.037381749,0.222016931,0.433108078,3.901245676,9.826151815,0.018346000,0.090126750,0.273962000,0.021322000,0.122527000,0.272996000,0.530813953,0.530813953,1.000000000,0,3,3,12,0,0,0
UASPATCH_3f9d238d2ed2de4e00b1,26,26.000000,691067.740,5336225.050,691078.740,5336230.050,11.000000,5.000000,12.083046,41.000000,0.634146341,3.608700,3.848800,3.880325,3.884900,0.276200,0.006650,0.230472527,0.291539910,0.296155387,0.016811870,0.018828344,0.096477229,6.429288361,18.403097712,19.524242271,0.025158110031,0.002736269860,560.581565384615,0.108278274,0.473023654,3.969522797,9.008683469,10.862969943,0.044095000,0.210936750,0.540133000,0.055822000,0.373904500,0.466322000,0.203883495,0.203883495,1.000000000,0,1,2,6,0,2,0
