bid,source,stage3_algo_version,metric_version,status,n_faces,n_roof_faces,n_wall_faces,n_ground_faces,roof_cov,wall_cov,ground_cov,semantic_face_acc,face_planarity_mean,face_planarity_max,support_coverage,F,precision,recall,h_err,vol_ratio,hausdorff,chamfer,footprint_IoU,edge_ok,open_edges,nonmanifold_edges,roof_wall_adjacency_count,wall_ground_adjacency_count,shell_completeness,metric_artifact_dir,readout_artifact_dir,failure_reason
B123,E2_Mutual_rendered,Stage3Algo-v0,Metric-v0,OK,55,26,28,1,0.15,0.638,0.9563333333333334,0.8466666666666667,1.6675173224441727e-15,8.084313294052623e-15,0.33966666666666673,0.5722756428918001,0.5838333333333333,0.5611666666666667,0.05493656572977912,0.7385634117732891,5.414893169064048,0.8723985328934007,1.0,True,0,0,28,28,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B123,
B123,E3_Baseline_primitive,Stage3Algo-v0,Metric-v0,OK,55,26,28,1,0.133,0.6286666666666667,0.0,0.8088333333333333,1.6031899082683735e-15,7.982565327256766e-15,0.2866666666666667,0.42218880336819953,0.42733333333333334,0.4171666666666667,0.3613921506805582,0.9479121223441074,5.717872908264401,0.9576575692271078,1.0,True,0,0,28,28,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E3_Baseline_primitive/B123,
B123,E4_Mutual_primitive,Stage3Algo-v0,Metric-v0,OK,55,26,28,1,0.14966666666666667,0.6373333333333333,0.0,0.8251666666666667,1.6024006787799564e-15,8.033339836487748e-15,0.2903333333333334,0.42246213017751477,0.4265,0.4185,0.578354910241373,1.0057244420038767,5.787064855923367,0.9495156606177775,1.0,True,0,0,28,28,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E4_Mutual_primitive/B123,
B126,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v0,OK,49,23,25,1,0.15633333333333332,0.581,0.9973333333333333,0.7586666666666667,2.650073072384388e-15,1.0838479574660276e-14,0.6313333333333334,0.5680710214818062,0.6055,0.535,1.2860000000000014,1.1711836550725598,6.247113402729302,1.0485319718131678,1.0,True,0,0,25,25,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B126,
B126,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,SOURCE_MISSING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B126,source artifact unavailable
B126,E2_Mutual_rendered,Stage3Algo-v0,Metric-v0,OK,49,23,25,1,0.14566666666666667,0.6226666666666667,0.968,0.7566666666666667,2.7718512548658097e-15,1.0317195741328054e-14,0.26966666666666667,0.5374054221533695,0.5545,0.5213333333333333,1.1424515213034923,0.4890327144783615,5.40336157047103,1.0271365758525377,1.0,True,0,0,25,25,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B126,
B126,E3_Baseline_primitive,Stage3Algo-v0,Metric-v0,OK,49,23,25,1,0.13266666666666665,0.6046666666666667,0.0,0.7521666666666667,2.685072736587199e-15,1.0902761487786074e-14,0.21933333333333335,0.41591069761237826,0.43216666666666664,0.4008333333333333,0.841589206280247,0.6654202487506308,5.447119171630939,1.0914589111971549,1.0,True,0,0,25,25,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E3_Baseline_primitive/B126,
B126,E4_Mutual_primitive,Stage3Algo-v0,Metric-v0,OK,49,23,25,1,0.127,0.59,0.0,0.753,2.7425922342163533e-15,1.0403161126704753e-14,0.232,0.42120539651201055,0.44133333333333336,0.4028333333333333,0.8237954397920575,0.6616086883770352,5.4583785576495325,1.090753564882637,1.0,True,0,0,25,25,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E4_Mutual_primitive/B126,
B50,E0_GT_clean_upper_bound,Stage3Algo-v0,Metric-v0,OK,19,8,10,1,0.6543333333333333,0.944,1.0,0.9508333333333333,8.523418812942174e-16,4.1534561828299085e-15,0.8013333333333333,0.9450143125844942,0.9571666666666667,0.9331666666666667,0.35700000000000287,0.9689558267934505,1.6963891885548588,0.22099730128601303,1.0,True,0,0,10,10,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E0_GT_clean_upper_bound/B50,
B50,E1_Baseline_rendered,Stage3Algo-v0,Metric-v0,SOURCE_MISSING,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E1_Baseline_rendered/B50,source artifact unavailable
B50,E2_Mutual_rendered,Stage3Algo-v0,Metric-v0,OK,19,8,10,1,0.5576666666666666,0.9536666666666667,1.0,0.9283333333333333,9.719845997786263e-16,3.4024458178222215e-15,0.426,0.9383333037300178,0.9381666666666667,0.9385,0.27220380881142603,1.0043667724221053,1.562614828842291,0.22685344626593257,1.0,True,0,0,10,10,CLOSED,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout,results/footprint_conditioned_readout/FC_S1_semantic_surface_readout/phase2_readout/E2_Mutual_rendered/B50,
