basename,camera_id,image_in_zip,input_capture_present,calibrated_pose_present,status,exclusion_reason
DJI_20241217084727_0147_D.JPG,9885135811063277411,true,true,true,INCLUDED,
DJI_20241217084729_0148_D.JPG,3502256982884001983,true,true,true,INCLUDED,
DJI_20241217084731_0149_D.JPG,5092751857095801289,true,true,true,INCLUDED,
DJI_20241217084733_0150_D.JPG,528458752778052964,true,true,true,INCLUDED,
DJI_20241217084735_0151_D.JPG,10560607276943324263,true,true,true,INCLUDED,
DJI_20241217084737_0152_D.JPG,12663296087211463603,true,true,true,INCLUDED,
DJI_20241217084739_0153_D.JPG,16629678848934043995,true,true,true,INCLUDED,
DJI_20241217084741_0154_D.JPG,16259805013104437696,true,true,true,INCLUDED,
DJI_20241217084743_0155_D.JPG,7416190146118396770,true,true,true,INCLUDED,
DJI_20241217084745_0156_D.JPG,316998740974665581,true,true,true,INCLUDED,
DJI_20241217084747_0157_D.JPG,14752430843630714013,true,true,true,INCLUDED,
DJI_20241217084749_0158_D.JPG,5606569225844202872,true,true,true,INCLUDED,
DJI_20241217084751_0159_D.JPG,11954564384909013675,true,true,true,INCLUDED,
DJI_20241217084753_0160_D.JPG,10690940176182719831,true,true,true,INCLUDED,
DJI_20241217084755_0161_D.JPG,658034511911920359,true,true,true,INCLUDED,
DJI_20241217084757_0162_D.JPG,10483978834723377325,true,true,true,INCLUDED,
DJI_20241217084759_0163_D.JPG,7927573007456882807,true,true,true,INCLUDED,
DJI_20241217084801_0164_D.JPG,11796942014643363951,true,true,true,INCLUDED,
DJI_20241217084803_0165_D.JPG,6338676486724574372,true,true,true,INCLUDED,
DJI_20241217084805_0166_D.JPG,14347764044523175602,true,true,true,INCLUDED,
DJI_20241217084807_0167_D.JPG,13900628655810036301,true,true,true,INCLUDED,
DJI_20241217084809_0168_D.JPG,9116779866974868974,true,true,true,INCLUDED,
DJI_20241217084811_0169_D.JPG,3706581263449698144,true,true,true,INCLUDED,
DJI_20241217084813_0170_D.JPG,2632948674668327123,true,true,true,INCLUDED,
DJI_20241217084815_0171_D.JPG,2677768574501158722,true,true,true,INCLUDED,
DJI_20241217084817_0172_D.JPG,7294755179312050945,true,true,true,INCLUDED,
DJI_20241217084819_0173_D.JPG,11091591137746360927,true,true,true,INCLUDED,
DJI_20241217084821_0174_D.JPG,7659959812638142054,true,true,true,INCLUDED,
DJI_20241217084823_0175_D.JPG,8875876348511213069,true,true,true,INCLUDED,
DJI_20241217084825_0176_D.JPG,5527830763788216472,true,true,true,INCLUDED,
DJI_20241217084827_0177_D.JPG,3775908865464247908,true,true,true,INCLUDED,
DJI_20241217084829_0178_D.JPG,3089710350072614869,true,true,true,INCLUDED,
DJI_20241217084831_0179_D.JPG,2658871806726406642,true,true,true,INCLUDED,
DJI_20241217084833_0180_D.JPG,7619816231653037856,true,true,true,INCLUDED,
DJI_20241217084835_0181_D.JPG,12001426722577453000,true,true,true,INCLUDED,
DJI_20241217084837_0182_D.JPG,4144154065871824355,true,true,true,INCLUDED,
DJI_20241217084839_0183_D.JPG,3821963386517471475,true,true,true,INCLUDED,
DJI_20241217084841_0184_D.JPG,18154140789126166693,true,true,true,INCLUDED,
DJI_20241217084843_0185_D.JPG,10045913140910055932,true,true,true,INCLUDED,
DJI_20241217084845_0186_D.JPG,5406054562853867456,true,true,true,INCLUDED,
DJI_20241217084847_0187_D.JPG,16947095101939597295,true,true,true,INCLUDED,
DJI_20241217084849_0188_D.JPG,3647507092545666102,true,true,true,INCLUDED,
DJI_20241217084851_0189_D.JPG,14951486814711619559,true,true,true,INCLUDED,
DJI_20241217084853_0190_D.JPG,14339109740584230557,true,true,true,INCLUDED,
DJI_20241217084855_0191_D.JPG,3948420927035337194,true,true,true,INCLUDED,
DJI_20241217084857_0192_D.JPG,3288651308456564054,true,true,true,INCLUDED,
DJI_20241217084859_0193_D.JPG,10891660436719150475,true,true,true,INCLUDED,
DJI_20241217084901_0194_D.JPG,3674909020917256603,true,true,true,INCLUDED,
DJI_20241217084903_0195_D.JPG,11116362621606344218,true,true,true,INCLUDED,
DJI_20241217084905_0196_D.JPG,2383654157363696631,true,true,true,INCLUDED,
DJI_20241217084907_0197_D.JPG,5977125130065613233,true,true,true,INCLUDED,
DJI_20241217084909_0198_D.JPG,10973603380520754708,true,true,true,INCLUDED,
DJI_20241217084911_0199_D.JPG,10503382299224217130,true,true,true,INCLUDED,
DJI_20241217084913_0200_D.JPG,17176206976580575907,true,true,true,INCLUDED,
DJI_20241217084915_0201_D.JPG,4430725624405371584,true,true,true,INCLUDED,
DJI_20241217084917_0202_D.JPG,6370034068074299859,true,true,true,INCLUDED,
DJI_20241217084919_0203_D.JPG,13932517326959538148,true,true,true,INCLUDED,
DJI_20241217090805_0005_D.JPG,3889748878066769516,true,true,true,INCLUDED,
DJI_20241217090807_0006_D.JPG,9000933496892912899,true,true,true,INCLUDED,
DJI_20241217090809_0007_D.JPG,13713323073838762669,true,true,true,INCLUDED,
DJI_20241217090811_0008_D.JPG,3083627676750135260,true,true,true,INCLUDED,
DJI_20241217090813_0009_D.JPG,14935446644872202858,true,true,true,INCLUDED,
DJI_20241217090815_0010_D.JPG,1988087996263862294,true,true,true,INCLUDED,
DJI_20241217090817_0011_D.JPG,15226946472155632408,true,true,true,INCLUDED,
DJI_20241217090821_0013_D.JPG,2032884297963273869,true,true,true,INCLUDED,
DJI_20241217090823_0014_D.JPG,15736354458757199440,true,true,true,INCLUDED,
DJI_20241217090825_0015_D.JPG,801737154344430549,true,true,true,INCLUDED,
DJI_20241217090827_0016_D.JPG,18035099404917168019,true,true,true,INCLUDED,
DJI_20241217090829_0017_D.JPG,2408515611320552814,true,true,true,INCLUDED,
DJI_20241217090831_0018_D.JPG,3688579743398703755,true,true,true,INCLUDED,
DJI_20241217090833_0019_D.JPG,4464268599214033901,true,true,true,INCLUDED,
DJI_20241217090835_0020_D.JPG,2644555729637320944,true,true,true,INCLUDED,
DJI_20241217090837_0021_D.JPG,8503634315670075611,true,true,true,INCLUDED,
DJI_20241217090839_0022_D.JPG,469746963316728070,true,true,true,INCLUDED,
DJI_20241217090841_0023_D.JPG,2989445938946114465,true,true,true,INCLUDED,
DJI_20241217090843_0024_D.JPG,7785056989087119680,true,true,true,INCLUDED,
DJI_20241217090845_0025_D.JPG,2693848101734791183,true,true,true,INCLUDED,
DJI_20241217090847_0026_D.JPG,180828209200404197,true,true,true,INCLUDED,
DJI_20241217090849_0027_D.JPG,9998690359830126334,true,true,true,INCLUDED,
DJI_20241217090851_0028_D.JPG,10784256803887897323,true,true,true,INCLUDED,
DJI_20241217090853_0029_D.JPG,15813242615582670716,true,true,true,INCLUDED,
DJI_20241217090855_0030_D.JPG,430896092322931127,true,true,true,INCLUDED,
DJI_20241217090857_0031_D.JPG,16026109980612185083,true,true,true,INCLUDED,
DJI_20241217090859_0032_D.JPG,14609467102169486516,true,true,true,INCLUDED,
DJI_20241217090901_0033_D.JPG,9790581508380045556,true,true,true,INCLUDED,
DJI_20241217090903_0034_D.JPG,238604532682422300,true,true,true,INCLUDED,
DJI_20241217090905_0035_D.JPG,14184044256840633948,true,true,true,INCLUDED,
DJI_20241217090907_0036_D.JPG,2750346412831161777,true,true,true,INCLUDED,
DJI_20241217090909_0037_D.JPG,981317663493813115,true,true,true,INCLUDED,
DJI_20241217090911_0038_D.JPG,4555254805370831987,true,true,true,INCLUDED,
DJI_20241217090913_0039_D.JPG,4103135958683575314,true,true,true,INCLUDED,
DJI_20241217090915_0040_D.JPG,10272319437242277955,true,true,true,INCLUDED,
DJI_20241217090917_0041_D.JPG,1582903289537812490,true,true,true,INCLUDED,
DJI_20241217090919_0042_D.JPG,6748164240346441563,true,true,true,INCLUDED,
DJI_20241217090921_0043_D.JPG,14236309487707682262,true,true,true,INCLUDED,
DJI_20241217090923_0044_D.JPG,12164102590114347405,true,true,true,INCLUDED,
DJI_20241217090925_0045_D.JPG,12849978318309877616,true,true,true,INCLUDED,
DJI_20241217090927_0046_D.JPG,3298912922920286655,true,true,true,INCLUDED,
DJI_20241217090929_0047_D.JPG,8169295028207004912,true,true,true,INCLUDED,
DJI_20241217090931_0048_D.JPG,11668770211302681117,true,true,true,INCLUDED,
DJI_20241217090933_0049_D.JPG,10923508283644516642,true,true,true,INCLUDED,
DJI_20241217090935_0050_D.JPG,2523068664135471752,true,true,true,INCLUDED,
DJI_20241217090937_0051_D.JPG,9741803944138369259,true,true,true,INCLUDED,
DJI_20241217090939_0052_D.JPG,14242276452003899958,true,true,true,INCLUDED,
DJI_20241217090941_0053_D.JPG,15561637046347062951,true,true,true,INCLUDED,
DJI_20241217090943_0054_D.JPG,15224281659994657151,true,true,true,INCLUDED,
DJI_20241217090945_0055_D.JPG,16748861415626133822,true,true,true,INCLUDED,
DJI_20241217090947_0056_D.JPG,1443188479870946827,true,true,true,INCLUDED,
DJI_20241217090949_0057_D.JPG,13024070805744250875,true,true,true,INCLUDED,
DJI_20241217090951_0058_D.JPG,16169903542961554256,true,true,true,INCLUDED,
DJI_20241217090953_0059_D.JPG,9719762394357224226,true,true,true,INCLUDED,
DJI_20241217090955_0060_D.JPG,9335943904608333030,true,true,true,INCLUDED,
DJI_20241217090957_0061_D.JPG,8151686513128159811,true,true,true,INCLUDED,
DJI_20241217090959_0062_D.JPG,10221688626240854813,true,true,true,INCLUDED,
DJI_20241217091001_0063_D.JPG,12626510484432798840,true,true,true,INCLUDED,
DJI_20241217091003_0064_D.JPG,8613561520938353785,true,true,true,INCLUDED,
DJI_20241217091005_0065_D.JPG,13793583382629944466,true,true,true,INCLUDED,
DJI_20241217091007_0066_D.JPG,14647672619464150251,true,true,true,INCLUDED,
DJI_20241217091009_0067_D.JPG,10757212353225486533,true,true,true,INCLUDED,
DJI_20241217091011_0068_D.JPG,15499826725915855410,true,true,true,INCLUDED,
DJI_20241217091013_0069_D.JPG,2690103680739577319,true,true,true,INCLUDED,
DJI_20241217091015_0070_D.JPG,2835457503065951350,true,true,true,INCLUDED,
DJI_20241217091017_0071_D.JPG,14529835636354235148,true,true,true,INCLUDED,
DJI_20241217091019_0072_D.JPG,18068010796691031919,true,true,true,INCLUDED,
DJI_20241217091021_0073_D.JPG,10683411185134161671,true,true,true,INCLUDED,
DJI_20241217091023_0074_D.JPG,15616582930739188914,true,true,true,INCLUDED,
DJI_20241217091025_0075_D.JPG,10091783840823110715,true,true,true,INCLUDED,
DJI_20241217091027_0076_D.JPG,69173027476766061,true,true,true,INCLUDED,
DJI_20241217091029_0077_D.JPG,17262784122357940725,true,true,true,INCLUDED,
DJI_20241217091031_0078_D.JPG,12251372006401703878,true,true,true,INCLUDED,
DJI_20241217091033_0079_D.JPG,15985128563701184673,true,true,true,INCLUDED,
DJI_20241217091035_0080_D.JPG,1674790613790145076,true,true,true,INCLUDED,
DJI_20241217091037_0081_D.JPG,3983980481080069109,true,true,true,INCLUDED,
DJI_20241217091039_0082_D.JPG,8533390610957075835,true,true,true,INCLUDED,
DJI_20241217091041_0083_D.JPG,12573496813851210518,true,true,true,INCLUDED,
DJI_20241217091043_0084_D.JPG,4046996933550554792,true,true,true,INCLUDED,
DJI_20241217091045_0085_D.JPG,3563451377444339460,true,true,true,INCLUDED,
DJI_20241217091047_0086_D.JPG,1298587506541394425,true,true,true,INCLUDED,
DJI_20241217091049_0087_D.JPG,10883047969648586621,true,true,true,INCLUDED,
DJI_20241217091051_0088_D.JPG,5501482636245070688,true,true,true,INCLUDED,
DJI_20241217091053_0089_D.JPG,14288442768244576287,true,true,true,INCLUDED,
DJI_20241217091055_0090_D.JPG,9936622565236761995,true,true,true,INCLUDED,
DJI_20241217091057_0091_D.JPG,13052484964324784751,true,true,true,INCLUDED,
DJI_20241217091059_0092_D.JPG,16751535193915603053,true,true,true,INCLUDED,
DJI_20241217091101_0093_D.JPG,9905052007761150429,true,true,true,INCLUDED,
DJI_20241217091103_0094_D.JPG,11642082407516887593,true,true,true,INCLUDED,
DJI_20241217091105_0095_D.JPG,9535383060495009223,true,true,true,INCLUDED,
DJI_20241217091107_0096_D.JPG,9948011030947994089,true,true,true,INCLUDED,
DJI_20241217091109_0097_D.JPG,9721345511659448285,true,true,true,INCLUDED,
DJI_20241217091111_0098_D.JPG,2352597350846388155,true,true,true,INCLUDED,
DJI_20241217091113_0099_D.JPG,7256065051657444469,true,true,true,INCLUDED,
DJI_20241217091115_0100_D.JPG,5835486356602870642,true,true,true,INCLUDED,
DJI_20241217091117_0101_D.JPG,1601851489909581355,true,true,true,INCLUDED,
DJI_20241217091119_0102_D.JPG,8889410071421083340,true,true,true,INCLUDED,
DJI_20241217091121_0103_D.JPG,15474105407880893959,true,true,true,INCLUDED,
DJI_20241217091123_0104_D.JPG,14775504746680076490,true,true,true,INCLUDED,
DJI_20241217091125_0105_D.JPG,1604716288654217370,true,true,true,INCLUDED,
DJI_20241217091127_0106_D.JPG,15353248583278681146,true,true,true,INCLUDED,
DJI_20241217091129_0107_D.JPG,9282123796983292378,true,true,true,INCLUDED,
DJI_20241217091131_0108_D.JPG,14592928887896792305,true,true,true,INCLUDED,
DJI_20241217091133_0109_D.JPG,988319849075048206,true,true,true,INCLUDED,
DJI_20241217091135_0110_D.JPG,5222523812338825832,true,true,true,INCLUDED,
DJI_20241217091137_0111_D.JPG,8805630436127940983,true,true,true,INCLUDED,
DJI_20241217091139_0112_D.JPG,18225145560686476027,true,true,true,INCLUDED,
DJI_20241217091141_0113_D.JPG,9829198811367734246,true,true,true,INCLUDED,
DJI_20241217091143_0114_D.JPG,12764181516578153152,true,true,true,INCLUDED,
DJI_20241217091145_0115_D.JPG,3650193528677909996,true,true,true,INCLUDED,
DJI_20241217091147_0116_D.JPG,4989710897794301343,true,true,true,INCLUDED,
DJI_20241217091149_0117_D.JPG,17988157780765678007,true,true,true,INCLUDED,
DJI_20241217091151_0118_D.JPG,773063846669602377,true,true,true,INCLUDED,
DJI_20241217091153_0119_D.JPG,10383390276764817678,true,true,true,INCLUDED,
DJI_20241217091155_0120_D.JPG,18332955561972414376,true,true,true,INCLUDED,
DJI_20241217091157_0121_D.JPG,887689537284811810,true,true,true,INCLUDED,
DJI_20241217091159_0122_D.JPG,995689543826955069,true,true,true,INCLUDED,
DJI_20241217091201_0123_D.JPG,11668976565406219328,true,true,true,INCLUDED,
DJI_20241217091203_0124_D.JPG,16902871642395112371,true,true,true,INCLUDED,
DJI_20241217091205_0125_D.JPG,7494131157142485751,true,true,true,INCLUDED,
DJI_20241217091207_0126_D.JPG,6316511524366388022,true,true,true,INCLUDED,
DJI_20241217091209_0127_D.JPG,8433223021914661521,true,true,true,INCLUDED,
DJI_20241217091211_0128_D.JPG,5632250948475578989,true,true,true,INCLUDED,
DJI_20241217091213_0129_D.JPG,3385097642273929253,true,true,true,INCLUDED,
DJI_20241217091215_0130_D.JPG,2418273706779664737,true,true,true,INCLUDED,
DJI_20241217091217_0131_D.JPG,11742790699388912749,true,true,true,INCLUDED,
