bid,source,branch,base_status,branch_status,base_roof_cov,branch_roof_cov,delta_roof_cov,base_wall_cov,branch_wall_cov,delta_wall_cov,base_ground_cov,branch_ground_cov,delta_ground_cov,base_support_coverage,branch_support_coverage,delta_support_coverage,base_roof_support_cov,branch_roof_support_cov,delta_roof_support_cov,base_wall_support_cov,branch_wall_support_cov,delta_wall_support_cov,base_ground_support_cov,branch_ground_support_cov,delta_ground_support_cov,base_F,branch_F,delta_F,base_h_err,branch_h_err,delta_h_err,base_vol_ratio,branch_vol_ratio,delta_vol_ratio,base_chamfer,branch_chamfer,delta_chamfer,base_open_edges,branch_open_edges,delta_open_edges,base_nonmanifold_edges,branch_nonmanifold_edges,delta_nonmanifold_edges
B0,E2_Mutual_rendered,Stage3Algo-v1c-ground,OK,OK,0.7706666666666667,0.7706666666666667,0.0,0.9623333333333334,0.9626666666666667,0.0003333333333332966,1.0,0.9996666666666667,-0.0003333333333332966,0.5923333333333333,0.592,-0.0003333333333332966,0.854,0.854,0.0,0.692,0.691,-0.0010000000000000009,0.266,0.262,-0.0040000000000000036,0.959110599478714,0.9430709783825174,-0.01603962109619661,0.5267500991966507,0.603126173909434,0.07637607471278329,1.101200743096035,1.106312714743379,0.005111971647344005,0.22915601091957324,0.23591948610688895,0.0067634751873157095,0.0,0.0,0.0,0.0,0.0,0.0
B1,E2_Mutual_rendered,Stage3Algo-v1c-ground,OK,OK,0.7803333333333333,0.7803333333333333,0.0,0.9293333333333333,0.933,0.003666666666666707,0.963,1.0,0.03700000000000003,0.48933333333333334,0.48833333333333334,-0.0010000000000000009,0.927,0.927,0.0,0.513,0.494,-0.019000000000000017,0.055,0.051,-0.0040000000000000036,0.9140608933454877,0.954489494208719,0.0404286008632313,0.32589166941419023,0.459060592296769,0.13316892288257876,0.8318275308772364,0.87945617595458,0.047628645077343656,0.26164930122034225,0.2523782824992465,-0.009271018721095758,0.0,0.0,0.0,0.0,0.0,0.0
B2,E2_Mutual_rendered,Stage3Algo-v1c-ground,OK,OK,1.0,1.0,0.0,0.9883333333333333,0.9876666666666667,-0.0006666666666665932,1.0,0.998,-0.0020000000000000018,0.49,0.4883333333333333,-0.0016666666666667052,1.0,1.0,0.0,0.38,0.379,-0.0010000000000000009,0.111,0.11,-0.0010000000000000009,0.9931585836549756,0.9710266884064189,-0.022131895248556632,0.4710039968325521,0.5459994051829806,0.0749954083504285,2.081555328295899,2.0928067578019798,0.011251429506080601,0.2004784417331288,0.20821660182589602,0.007738160092767232,0.0,0.0,0.0,0.0,0.0,0.0
B8,E2_Mutual_rendered,Stage3Algo-v1c-ground,OK,OK,1.0,1.0,0.0,0.9823333333333333,0.9816666666666667,-0.0006666666666665932,0.606,0.0,-0.606,0.513,0.5113333333333333,-0.0016666666666667052,1.0,1.0,0.0,0.488,0.486,-0.0020000000000000018,0.057,0.056,-0.0010000000000000009,0.9175338841974635,0.8975251353441608,-0.020008748853302727,0.46113781590596403,0.537560666731169,0.07642285082520495,1.5768500644137617,1.5855602605301018,0.008710196116340052,0.2181518403308031,0.2260295738087757,0.007877733477972604,0.0,0.0,0.0,0.0,0.0,0.0
B6,E2_Mutual_rendered,Stage3Algo-v1c-ground,OK,OK,0.5246666666666666,0.5246666666666666,0.0,0.932,0.9303333333333333,-0.0016666666666667052,1.0,1.0,0.0,0.41733333333333333,0.422,0.004666666666666652,0.74,0.74,0.0,0.381,0.374,-0.007000000000000006,0.064,0.086,0.021999999999999992,0.931374727863768,0.9316008050089445,0.00022607714517652866,3.38937412340141,3.094730840747978,-0.294643282653432,0.6638984274781619,0.6765885727455858,0.012690145267423958,0.23824001664625477,0.24817219111462951,0.009932174468374744,0.0,0.0,0.0,0.0,0.0,0.0
B3,E2_Mutual_rendered,Stage3Algo-v1c-ground,OK,OK,0.156,0.156,0.0,0.6216666666666667,0.608,-0.013666666666666716,0.896,0.8576666666666667,-0.03833333333333333,0.25533333333333336,0.25300000000000006,-0.0023333333333332984,0.301,0.301,0.0,0.443,0.426,-0.017000000000000015,0.066,0.078,0.011999999999999997,0.43840797720797725,0.4313863577863578,-0.0070216194216194405,1.8207417446001521,1.3942714166985333,-0.4264703279016189,0.9731816247712521,0.9996218970175201,0.026440272246267993,1.0762153717867158,1.0737357009301338,-0.0024796708565819614,0.0,0.0,0.0,0.0,0.0,0.0
B123,E2_Mutual_rendered,Stage3Algo-v1c-ground,OK,OK,0.15,0.15,0.0,0.6403333333333333,0.6383333333333333,-0.0020000000000000018,0.947,0.7996666666666666,-0.14733333333333332,0.3123333333333333,0.31466666666666665,0.002333333333333354,0.289,0.289,0.0,0.603,0.598,-0.0050000000000000044,0.079,0.08,0.0010000000000000009,0.5762228645758057,0.5297232002514933,-0.046499664324312406,0.05493656572977912,0.1021441128572107,0.04720754712743158,0.7385642480606636,0.7514886024671322,0.012924354406468663,0.8631629411907014,0.8855224534785401,0.022359512287838723,0.0,0.0,0.0,0.0,0.0,0.0
B126,E2_Mutual_rendered,Stage3Algo-v1c-ground,OK,OK,0.15566666666666668,0.15566666666666668,0.0,0.6223333333333333,0.6183333333333333,-0.0040000000000000036,0.9623333333333334,0.365,-0.5973333333333334,0.24666666666666667,0.24733333333333332,0.0006666666666666488,0.267,0.267,0.0,0.488,0.482,-0.006000000000000005,0.045,0.045,0.0,0.5403327171903882,0.443520876369327,-0.0968118408210612,1.1424515213034923,0.9959250853661317,-0.1465264359373606,0.48903272092103717,0.49906022321685184,0.010027502295814672,1.0381567046756128,1.061172729091779,0.023016024416166125,0.0,0.0,0.0,0.0,0.0,0.0
B50,E2_Mutual_rendered,Stage3Algo-v1c-ground,OK,OK,0.553,0.553,0.0,0.9473333333333334,0.9476666666666667,0.0003333333333332966,1.0,1.0,0.0,0.4323333333333333,0.42933333333333334,-0.002999999999999947,0.909,0.909,0.0,0.34,0.328,-0.01200000000000001,0.013,0.012,-0.0009999999999999992,0.9349016252191223,0.9272418441628472,-0.007659781056275183,0.27220380881142603,0.05604635792524704,-0.216157450886179,1.004370275011915,1.0239850624236702,0.019614787411755152,0.22850182087213686,0.2531985798867786,0.024696759014641717,0.0,0.0,0.0,0.0,0.0,0.0
B104,E2_Mutual_rendered,Stage3Algo-v1c-ground,OK,OK,1.0,1.0,0.0,0.9166666666666666,0.9993333333333333,0.08266666666666667,0.0,1.0,1.0,0.745,0.695,-0.050000000000000044,1.0,1.0,0.0,0.831,0.759,-0.07199999999999995,0.386,0.306,-0.08000000000000002,0.8275055271682864,1.0,0.1724944728317136,0.6116163007342417,0.2669626106112406,-0.34465369012300107,0.7344306125677919,0.8317732087747263,0.09734259620693442,0.2219298171623314,0.15475404613720278,-0.06717577102512862,0.0,0.0,0.0,0.0,0.0,0.0
