bid,bid_int,source,class_id,class_name,point_count,semantic_entropy_mean,semantic_confidence_mean,normal_consistency_mean,weight_mean,y_mean,y_median,y_p10,y_p90,z_mean,z_median,distance_to_gt_reference_ground_plane_mean,distance_to_predicted_GroundSurface_mean,distance_to_predicted_RoofSurface_mean,distance_to_predicted_same_surface_mean,semantic_confidence_vs_geometric_error_corr,normal_confidence_vs_geometric_error_corr,focus_case
B8,8,E1_Baseline_rendered,3,ground,91,0.09026924934964832,0.394760515336152,0.947164679031621,0.4159820891998626,-0.37780394011617197,-0.09751535207033157,-0.41179177165031433,0.0181732177734375,8.8411908359318,6.617611885070801,0.6901645865353991,0.8179389312341805,14.080333285916437,0.8179389312341805,-0.09833928503617709,0.06731387761841119,False
B8,8,E2_Mutual_rendered,1,roof,2784,0.02329974904887683,0.9885875278248869,0.9821230018308645,1.0061366856312273,-14.516273264227243,-14.567569732666016,-14.79348964691162,-14.063394260406493,12.282173618845556,12.354465961456299,13.917273264227243,14.411656228880862,0.3213013176622132,0.3213013176622132,-0.025943451771463243,-0.04536315157821393,False
B8,8,E2_Mutual_rendered,2,wall,1513,0.026547028209713844,0.8637281097742555,0.8684743589481436,0.8703839679723218,-8.509143393597537,-8.759063720703125,-13.461932945251466,-3.0480552673339854,10.496484439103554,7.518112659454346,7.910471303824783,8.4099565218004,5.907544740394986,0.3692684515614413,-0.028813389387742666,-0.056443742600038975,False
B8,8,E2_Mutual_rendered,3,ground,75,0.048943988000197954,0.50479408065478,0.9817980077192476,0.5291106315453847,-0.10468138515949249,-0.0130615234375,-0.3502151310443878,0.03504162728786468,6.292865810394287,6.4387946128845215,0.5005370613050459,0.5226381842202752,14.421526612610933,0.5226381842202752,-0.5846715438695954,-0.01777373661739012,False
B6,6,E1_Baseline_rendered,1,roof,2065,0.053826801365900435,0.9747464662747002,0.9310741822475596,0.988712205595312,-16.443359521399397,-16.687828063964844,-17.301837158203124,-14.929337501525877,-52.72673505917011,-52.798057556152344,15.894359521399393,15.621514585337259,0.569198930316883,0.569198930316883,-0.22272103780426725,-0.41419654593663763,True
B6,6,E1_Baseline_rendered,2,wall,1117,0.09630952884744177,0.8929935898648487,0.7749122507318904,0.9018262357400162,-11.647332799573402,-12.932625770568848,-16.956375885009766,-3.740942668914795,-51.73094414255933,-51.6455078125,11.0983327995734,10.831059125346215,4.092328967999104,0.6616583723674863,-0.024303899627700125,-0.35285223942357524,True
B6,6,E1_Baseline_rendered,3,ground,90,0.2703018472012546,0.3120310352080398,0.9246919354786248,0.3120310352080398,-0.8444353543221951,-0.6751038432121277,-1.3276939153671266,-0.024996185302733957,-51.8603948381212,-51.90250587463379,0.6082006869163779,0.8810805506329653,13.396664397427566,0.8810805506329653,0.1402372050177996,-0.14839481927697304,True
B6,6,E2_Mutual_rendered,1,roof,2086,0.044828602076805675,0.9758451987890132,0.9227998107283822,0.9868248016756539,-16.431449058986235,-16.693015098571777,-17.30486488342285,-14.761420726776123,-52.68766150469977,-52.73394203186035,15.882449058986232,15.816275895494474,0.6434545699076937,0.6434545699076937,-0.1407416740697769,-0.2759871610101941,True
B6,6,E2_Mutual_rendered,2,wall,1056,0.06938744717432445,0.8925009522530617,0.7713681383937147,0.9004817843493639,-11.977853487161072,-13.109691143035889,-17.058855056762695,-4.48345160484314,-51.76288787885146,-51.67204475402832,11.42885348716107,11.366168043907571,3.6106601636869207,0.6982017048624776,0.03962128649910607,-0.3138213452631287,True
B6,6,E2_Mutual_rendered,3,ground,63,0.2169604612484811,0.2900932672477904,0.9666890818593078,0.2900932672477904,-0.6312533574444907,-0.3299576938152313,-1.1280157089233398,0.09692687988281251,-50.71949253385029,-50.139644622802734,0.5442848901786501,0.7847485982705248,13.107608175879955,0.7847485982705248,0.12436323979896469,-0.09034195431181374,True
B3,3,E1_Baseline_rendered,1,roof,21917,0.02859271295835328,0.9472091722210736,0.902187410187199,0.9638365688948984,-9.483587856388889,-5.208770751953125,-21.884182357788085,-3.3289029598236084,-27.4527329897725,-27.43622589111328,9.018587856388887,8.705746403764735,1.4667324540328894,1.4667324540328894,0.17534799892131434,-0.02736527617947238,True
B3,3,E1_Baseline_rendered,2,wall,5062,0.08367919107982817,0.9094009414471241,0.44724701115235155,0.9155867258002168,-13.082218724352623,-13.021454811096191,-22.19658660888672,-3.6637706041336,-22.768827883729063,-13.958200931549072,12.617218724352622,12.307061151807451,2.085465539212579,1.366515316986683,0.11605942624070077,0.0896808608195961,True
B3,3,E1_Baseline_rendered,3,ground,788,0.2054393570221973,0.3854749969060197,0.9181491813831435,0.3854749969060197,-0.7641503160549351,-0.290134072303772,-1.7946372985839842,0.011967522837221677,-31.22824711969056,-32.79100036621094,0.7061029465586954,1.170247290479407,3.500814155514667,1.170247290479407,0.10038789211396022,0.029338452560298156,True
B3,3,E2_Mutual_rendered,1,roof,21962,0.021697180019120958,0.9476376817392994,0.8993289105361525,0.9639883849370535,-9.498667639783253,-5.214962005615234,-21.92139415740967,-3.3274856567382813,-27.47239541808782,-27.466134071350098,9.033667639783253,8.874168128547568,1.422247050440679,1.422247050440679,0.15482444930645,-0.013695787509771892,True
B3,3,E2_Mutual_rendered,2,wall,5152,0.06262392598290807,0.9083277788157835,0.4982240914660625,0.9152207525464365,-12.954517078817307,-12.863039493560791,-22.16426811218262,-3.7129474163055414,-22.284555228831977,-13.613736629486084,12.489517078817308,12.332420960056348,2.2371287446571215,1.3343427744130365,0.13025100863366762,0.18073833441605364,True
